tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
SEMAFORO 3/200 BICI,7,53341,1236,1990-10-31T00:00:00Z,-3.69824988095139,40.4335465226534
SEMAFORO 3/200 BICI,7,53459,279,1968-09-01T00:00:00Z,-3.70342346945472,40.4454985417967
SEMAFORO 3/200 BICI,7,53458,279,1968-09-01T00:00:00Z,-3.70331034021759,40.4452824820628
SEMAFORO 2/200 PEATON - BICI,7,53467,281,1968-01-19T00:00:00Z,-3.70293264434049,40.4443670601143
SEMAFORO 3/200 BICI,7,53462,281,1968-01-19T00:00:00Z,-3.7028292781071,40.4441670993341
SEMAFORO 3/200 BICI,7,53461,281,1968-01-19T00:00:00Z,-3.7029472211882,40.4444150619273
SEMAFORO 3/200 BICI,7,20925,281,2017-10-06T00:00:00Z,-3.70272865955265,40.4440666100774
SEMAFORO 3/200 BICI,7,53470,280,1968-09-01T00:00:00Z,-3.70245238096353,40.4432926711365
SEMAFORO 3/200 BICI,7,53469,280,1968-09-01T00:00:00Z,-3.70234224786351,40.4430676096578
SEMAFORO 3/200 BICI,7,19824,280,2017-07-06T00:00:00Z,-3.70227558010213,40.4430155729455
SEMAFORO 3/200 BICI,7,53438,188,1966-06-09T00:00:00Z,-3.70192607955387,40.4422164846322
SEMAFORO 3/200 BICI,7,53439,188,1966-06-09T00:00:00Z,-3.70198376484605,40.4422683177523
SEMAFORO 3/200 BICI,7,53437,188,1966-06-09T00:00:00Z,-3.70181156206391,40.4418784530538
SEMAFORO 3/200 BICI,7,19112,1236,2017-07-04T00:00:00Z,-3.69812442928385,40.4333773008413
SEMAFORO 3/200 BICI,7,53422,472,1971-11-19T00:00:00Z,-3.70083537297277,40.439548551395
SEMAFORO 3/200 BICI,7,53423,472,1971-11-19T00:00:00Z,-3.70075673994024,40.43950089957
SEMAFORO 3/200 BICI,7,53424,472,1971-11-19T00:00:00Z,-3.70125621036472,40.4405264418654
SEMAFORO 3/200 BICI,7,19840,472,2017-05-20T00:00:00Z,-3.70118089299247,40.4404789020696
SEMAFORO 3/200 BICI,7,53420,79,1960-01-01T00:00:00Z,-3.7002744043576,40.4382903492107
SEMAFORO 3/200 BICI,7,20931,279,2017-06-20T00:00:00Z,-3.7032396747968,40.4452537394274
SEMAFORO 3/200 BICI,7,19834,188,2017-02-06T00:00:00Z,-3.70176620326498,40.4418173345355
SEMAFORO 3/200 BICI,7,53371,79,1960-01-01T00:00:00Z,-3.70029415802139,40.4383523644065
SEMAFORO 3/200 BICI,7,53374,79,1960-01-01T00:00:00Z,-3.70047035375667,40.4387691477188
SEMAFORO 3/200 BICI,7,53375,79,1960-01-01T00:00:00Z,-3.70041082836883,40.4386397562328
SEMAFORO 3/200 BICI,7,53370,247,1967-09-16T00:00:00Z,-3.69956690868614,40.4366191474032
SEMAFORO 3/200 BICI,7,53234,247,1967-09-16T00:00:00Z,-3.69965300644934,40.4368088651197
SEMAFORO 3/200 BICI,7,19068,247,2017-03-25T00:00:00Z,-3.69949086796448,40.4365674694346
SEMAFORO 2/200 PEATON - BICI,7,53231,480,1971-11-30T00:00:00Z,-3.69924574989066,40.4357956159132
SEMAFORO 3/200 BICI,7,53230,480,1971-11-30T00:00:00Z,-3.69925556544425,40.4358425555591
SEMAFORO 3/200 BICI,7,53232,480,1971-11-30T00:00:00Z,-3.6991578021012,40.4356686214532
SEMAFORO 3/200 BICI,7,19161,79,2017-10-05T00:00:00Z,-3.70043898092399,40.4387676596589
SEMAFORO 3/200 BICI,7,53343,476,1971-11-25T00:00:00Z,-3.69876788096867,40.434684252387
SEMAFORO 3/200 BICI,7,53344,476,1971-11-25T00:00:00Z,-3.69891295546417,40.4352287061432
SEMAFORO 2/200 PEATON - BICI,7,37276,1236,2017-04-14T00:00:00Z,-3.6982394164439,40.4334987097663
SEMAFORO 2/200 PEATON - BICI,7,37264,251,2017-04-27T00:00:00Z,-3.69782732672568,40.4323340985336
SEMAFORO 2/200 PEATON - BICI,7,37263,251,2017-04-13T00:00:00Z,-3.69794751266131,40.4324365898392
SEMAFORO 2/200 PEATON - BICI,7,37286,476,2017-10-06T00:00:00Z,-3.69909774517505,40.4349171930137
SEMAFORO 2/200 PEATON - BICI,7,37285,476,2017-10-06T00:00:00Z,-3.69904559907107,40.4348013831143
SEMAFORO 2/200 PEATON - BICI,7,21033,279,2017-06-22T00:00:00Z,-3.70340880567191,40.4454522248667
