num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;victima;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S001998;12/02/2021;20:30:00;PASEO. CASTELLANA, 67;67;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;10044;Conductor;De 25 a 29 años;Mujer;6;441316,07;4477305,77;N;NULL
2021S002047;13/02/2021;15:00:00;PASEO. CASTELLANA, 243;243;TETUÁN;Caída;Despejado;Bicicleta;10045;Conductor;De 40 a 44 años;Hombre;7;441679,93;4480496,9;N;NULL
2021S002050;13/02/2021;16:20:00;CALL. ANICETO MARINAS, 74;74;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;10046;Conductor;De 25 a 29 años;Hombre;7;438252,79;4475329,36;N;NULL
2021S002050;13/02/2021;16:20:00;CALL. ANICETO MARINAS, 74;74;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;10047;Peatón;Desconocido;Mujer;14;438252,79;4475329,36;N;NULL
2021S002054;13/02/2021;17:15:00;AVDA. MIGUEL HERNANDEZ, 116;116;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;10048;Conductor;De 35 a 39 años;Hombre;1;444824,92;4470090,86;N;NULL
2021S002054;13/02/2021;17:15:00;AVDA. MIGUEL HERNANDEZ, 116;116;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;10049;Conductor;De 35 a 39 años;Hombre;14;444824,92;4470090,86;N;NULL
2021S002207;15/02/2021;8:30:00;PASEO. CASTELLANA / CALL. PADRE FRANCISCO PALAU Y QUER;274;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;10050;Conductor;De 45 a 49 años;Hombre;14;441806,1;4480644,81;N;NULL
2021S002235;16/02/2021;14:20:00;PASEO DE LA CASTELLANA, 2;2;SALAMANCA;Alcance;Despejado;Bicicleta;10051;Conductor;De 35 a 39 años;Hombre;NULL;441498,31;4475301,64;N;NULL
2021S002241;11/02/2021;17:50:00;CALL. VALCARLOS / CALL. QUINTANAVIDES;24;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;10052;Conductor;De 45 a 49 años;Hombre;7;443774,9;4484072,62;N;NULL
2021S002248;16/02/2021;21:00:00;CALL. BEJAR / CALL. AGUSTIN DURAN;15;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;10053;Conductor;De 25 a 29 años;Hombre;2;442893,27;4476380,99;N;NULL
2021S002327;18/02/2021;15:25:00;CALL. GUTIERREZ SOLANA / CALL. MARCELIANO SANTA MARIA;4;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;10054;Conductor;De 50 a 54 años;Hombre;3;441637,53;4477994,39;N;NULL
2021S002349;17/02/2021;19:15:00;AVDA. PLANETARIO, 12;12;ARGANZUELA;Alcance;Despejado;Bicicleta;10055;Conductor;De 40 a 44 años;Hombre;7;442069,48;4471704,21;N;NULL
2021S002354;18/02/2021;18:30:00;CALL. SEDANO / CALL. PRADO ALEGRE;24;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;10056;Conductor;De 10 a 14 años;Hombre;7;434317,31;4472223,36;N;NULL
2021S002359;18/02/2021;20:25:00;AVDA. INSTITUCION LIBRE DE ENSEÑANZA, 41;41;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Bicicleta;10057;Conductor;De 25 a 29 años;Hombre;NULL;446284,42;4475874,13;N;NULL
2021S002383;19/02/2021;12:10:00;AVDA. POBLADOS / AVDA. ABRANTES;106;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;10058;Conductor;De 70 a 74 años;Hombre;2;437506,01;4469493,04;N;NULL
2021S002401;19/02/2021;18:28:00;CALL. CAPITAN BLANCO ARGIBAY, 210;210;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;10059;Conductor;De 50 a 54 años;Hombre;7;439836,48;4480144,74;N;NULL
