distrito,id,descripcion,fecha_inst,longitud,latitud
19,1798,MINERVA - CAMPO DE LA TORRE,2004-06-24T00:00:00Z,-3.60552672277671,40.3969743215099
7,73,PSO. CASTELLANA - BRETON HERREROS,1960-01-01T00:00:00Z,-3.69157547458297,40.4393677168521
19,1926,MINERVA - DEHESA VICALVARO,2006-02-20T00:00:00Z,-3.60750010981982,40.3952187692534
1,381,ATOCHA - SAN EUGENIO,1969-09-16T00:00:00Z,-3.69725066420157,40.4114070768531
5,1680,LOPEZ HOYOS - PADRE CLARET,2001-12-06T00:00:00Z,-3.66492166847223,40.4504083893175
17,1727,VILLALONSO - PUEBLA SANABRIA P.P.,2002-08-22T00:00:00Z,-3.70733867409129,40.3495333290413
12,685,AV. POBLADOS - ORCASUR (1),1976-02-23T00:00:00Z,-3.70066936985136,40.3710246938063
11,1150,AV. ABRANTES 79 - COLEGIO JULIAN BESTEIRO - P.P.,1987-07-17T00:00:00Z,-3.72815241719056,40.3807533050543
6,1291,AV. PABLO IGLESIAS - ALMANSA Y FEDERICO RUBIO,1991-11-18T00:00:00Z,-3.70988532127754,40.4495208115577
8,623,GTA. PIEDRAFITA DE CEBRERO,1974-06-17T00:00:00Z,-3.71191259002772,40.4709291892465
8,974,RIBADAVIA - CHANTADA,1980-05-09T00:00:00Z,-3.71024189854661,40.4723607990694
8,842,MELCHOR FERNANDEZ ALMAGRO - FINISTERRE,1978-01-01T00:00:00Z,-3.70180850997206,40.4772660561602
5,1629,SERRANO - TAMBRE - NERVION,2000-05-25T00:00:00Z,-3.68437546631533,40.4468871301208
4,2186,MARIA MOLINA - LOPEZ HOYOS,1960-01-01T00:00:00Z,-3.68535044463441,40.4378235888941
4,165,VELAZQUEZ - JOSE ORTEGA GASSET,1966-02-03T00:00:00Z,-3.68372275788747,40.430306922183
4,163,VELAZQUEZ - JORGE JUAN,1966-02-15T00:00:00Z,-3.68426394502614,40.4237784603334
4,53,PPE. VERGARA - MARIA MOLINA,1960-01-01T00:00:00Z,-3.67914103268784,40.4374234592128
5,1061,COLOMBIA - PUERTO RICO,1982-07-13T00:00:00Z,-3.67439627491637,40.4570254765918
2,1875,PSO. PONTONES - ALEJANDRO DUMAS,2005-01-02T00:00:00Z,-3.71911155442555,40.404173838555
2,776,PSO. PONTONES - PSO. MELANCOLICOS,1978-01-01T00:00:00Z,-3.72041947496733,40.4040241070137
2,529,PSO. IMPERIAL - RDA. SEGOVIA,1972-11-10T00:00:00Z,-3.71834540243914,40.410941284883
6,735,BRAVO MURILLO - SAN ENRIQUE,1977-06-30T00:00:00Z,-3.70226153735545,40.4561776951162
12,821,AV. POBLADOS - RAFAELA YBARRA,1978-01-01T00:00:00Z,-3.71228121862026,40.3733468874314
12,1219,AV. POBLADOS - Cº VIEJO VILLAVERDE,1990-08-13T00:00:00Z,-3.7106690929819,40.3729031366514
11,292,GRAL. RICARDOS - SALLABERRY,1968-08-03T00:00:00Z,-3.72093189733783,40.3949695019975
10,768,RAFAEL FINAT 44 - COLEGIO,1992-07-31T00:00:00Z,-3.77127473780252,40.3782631645719
11,459,OCA - EDUARDO MORALES,1971-09-28T00:00:00Z,-3.73743764292418,40.3893555222281
6,984,AVIADOR ZORITA - REINA MERCEDES,1981-09-01T00:00:00Z,-3.69829258671102,40.4510143387541
7,1232,SAN FRANCISCO SALES - AV. PABLO IGLESIAS,1990-10-23T00:00:00Z,-3.70748464021215,40.4458341887537
13,1185,AV. DE LA ALBUFERA - M-40 ESTE,1990-01-17T00:00:00Z,-3.63375430652455,40.3845593993728
20,1643,NIZA - JULIA GARCIA BOUTAN,2000-07-26T00:00:00Z,-3.60702410849182,40.4300311380231
11,912,CNO. VIEJO LEGANES - ALVAREZ ABELLAN,1979-02-03T00:00:00Z,-3.72988279289746,40.3827593664077
11,741,CNO. VIEJO LEGANES - CLARA CAMPOAMOR,1977-08-08T00:00:00Z,-3.73268890416135,40.3793014357188
8,2168,CERRO MINGUETE - SENDA DEL INFANTE,2013-10-15T00:00:00Z,-3.71899919358784,40.4868383671301
8,1818,CNO. DE SANTIAGO - PORTOMARIN,2004-02-08T00:00:00Z,-3.66659902384868,40.5114602623664
8,2004,PALAS DEL REY - MIRALLOS,2007-07-05T00:00:00Z,-3.66795671926276,40.5075849039259
8,2000,PALAS DEL REY - TOQUES,2007-07-05T00:00:00Z,-3.66875572742028,40.5080926705767
8,2261,PALAS DEL REY - SAN JULIAN DEL CAMINO - TRIACASTELA,2017-02-15T00:00:00Z,-3.67113974330257,40.5097189670429
8,4584,PLAZA DEL OBRADOIRO,2020-05-22T00:00:00Z,-3.66429946036381,40.513356902056
10,474,ILLESCAS - SESEÑA,1971-11-23T00:00:00Z,-3.76559470121424,40.3967814328297
10,619,PADRE PIQUER - SESEÑA,1974-09-05T00:00:00Z,-3.76842192858999,40.3949622711789
10,745,"PADRE PIQUER, 36 - P.P.",1977-09-15T00:00:00Z,-3.76754200033428,40.392376481165
10,1811,AV. DE LA PESETA - VIOLONCHELOS - P.P.,2004-07-29T00:00:00Z,-3.76455559457151,40.3672583739196
8,2256,VALCARLOS - SAN JUAN ORTEGA,2016-11-29T00:00:00Z,-3.66973914018513,40.5006656511441
8,1819,CNO. DE SANTIAGO - PSO. TIERRA DE MELIDE,2004-02-08T00:00:00Z,-3.66828368511273,40.5099630927524
4,175,CONDE PEÑALVER - AYALA,1966-02-06T00:00:00Z,-3.67554903271412,40.4272762842321
7,86,BRAVO MURILLO - DONOSO CORTES - VIRIATO,1960-01-01T00:00:00Z,-3.70431193112691,40.4360197530032
7,88,BRAVO MURILLO - FERNANDEZ RIOS,1960-01-01T00:00:00Z,-3.70433005880089,40.434892033413
7,93,FUENCARRAL - HARTZEMBUSCH,1960-01-01T00:00:00Z,-3.70279101570309,40.4301360058126
1,35,SAGASTA - FRANCISCO ROJAS,1960-01-01T00:00:00Z,-3.69941880032838,40.4283994839882
13,1297,SIERRA TOLEDANA - PUERTO CANENCIA,1992-03-01T00:00:00Z,-3.66042724894818,40.4009424216765
14,1354,ARROYO BELINCOSO - P.P.,1992-12-16T00:00:00Z,-3.65273109783166,40.4081499581768
14,1033,HACIENDA PAVONES - CORREGIDOR ALONSO TOBAR - P.P.,1981-06-11T00:00:00Z,-3.6481349326303,40.4041266216627
14,1078,PL. C. CONDE MACEDA TABOADA,1983-05-30T00:00:00Z,-3.6431883027112,40.403068648921
14,2117,CDOR. DIEGO VALDERRABANO 70 - INSTITUTO  - P.P.,2011-04-01T00:00:00Z,-3.65803293330155,40.4124771046175
11,2112,AGUACATE - GUAYABA,2010-10-21T00:00:00Z,-3.74765587779795,40.3716818137805
11,2193,AV. DE LA PESETA - DINERO P.P.,2014-08-09T00:00:00Z,-3.74981744682778,40.3623842920022
