"tipo_elem";"distrito";"id";"id_cruce";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
"SEMAFORO 2/200 PEATON - BICI";16;53116;2263;"2017-03-15 00:00:00";444469.310024927;4483246.49116644;-3.65533314467456;40.4980677088636
"SEMAFORO 2/200 PEATON - BICI";16;53117;2263;"2017-03-15 00:00:00";444486.739874619;4483267.28842436;-3.65512928539616;40.4982562257713
"SEMAFORO 2/200 PEATON - BICI";16;53121;2263;"2017-03-15 00:00:00";444481.278824066;4483260.59871363;-3.65519314267575;40.4981955966084
"SEMAFORO 2/200 PEATON - BICI";16;53122;2263;"2017-03-15 00:00:00";444475.226159965;4483253.2263798;-3.65526392137978;40.4981287784604
"SEMAFORO 2/200 PEATON - BICI";16;53126;2262;"2017-03-15 00:00:00";444269.642871979;4483414.44424203;-3.65770410106024;40.499567317134
"SEMAFORO 2/200 PEATON - BICI";16;53127;2262;"2017-03-15 00:00:00";444275.22009764;4483420.84425784;-3.65763884833034;40.4996253457683
"SEMAFORO 2/200 PEATON - BICI";16;53128;2262;"2017-03-15 00:00:00";444286.968848593;4483435.01572947;-3.65750144992401;40.4997537973479
"SEMAFORO 2/200 PEATON - BICI";16;53129;2262;"2017-03-15 00:00:00";444281.391620227;4483428.2499942;-3.65756667075917;40.4996924742328
"SEMAFORO 2/200 PEATON - BICI";16;40875;2115;"2010-11-08 00:00:00";445032.900038079;4481674.43788729;-3.64854611340251;40.4839434558598
"SEMAFORO 2/200 PEATON - BICI";16;40874;2033;"2007-10-19 00:00:00";445165.837038145;4481798.0109082;-3.64698839958827;40.4850654502287
"SEMAFORO 2/200 PEATON - BICI";16;40873;2033;"2007-10-19 00:00:00";445157.040698753;4481802.70723245;-3.64709258763655;40.4851071759014
"SEMAFORO 2/200 PEATON - BICI";16;40872;2033;"2007-10-19 00:00:00";445148.798442771;4481807.17307922;-3.64719021862659;40.4851468618371
"SEMAFORO 2/200 PEATON - BICI";16;40871;2033;"2007-10-19 00:00:00";445138.959949463;4481812.41018449;-3.64730674937928;40.4851933900697
"SEMAFORO 2/200 PEATON - BICI";16;40869;1215;"1990-07-30 00:00:00";446845.198367061;4477975.89408477;-3.62685453765998;40.4507430093955
"SEMAFORO 2/200 PEATON - BICI";16;40863;1215;"1990-07-30 00:00:00";446911.087402291;4477985.10709248;-3.62607832260616;40.4508302161584
"SEMAFORO 2/200 PEATON - BICI";16;40861;1215;"1990-07-30 00:00:00";446872.195338764;4478057.06381132;-3.62654297170424;40.4514759575937
"SEMAFORO 2/200 PEATON - BICI";16;40859;1215;"1990-07-30 00:00:00";446857.272168855;4478054.60546544;-3.62671874681661;40.4514528574689
"SEMAFORO 2/200 PEATON - BICI";16;28810;1335;"1992-08-28 00:00:00";446642.803226551;4479958.34670725;-3.62940790097276;40.4685890468901
"SEMAFORO 2/200 PEATON - BICI";16;28809;1335;"1992-08-28 00:00:00";446639.340185957;4479944.86747816;-3.62944761537427;40.4684673964556
"SEMAFORO 2/200 PEATON - BICI";16;28803;1267;"1991-05-21 00:00:00";447593.108700433;4478802.67633699;-3.61810316957655;40.4582386240408
"SEMAFORO 2/200 PEATON - BICI";16;28802;1267;"1991-05-21 00:00:00";447596.804680756;4478806.43170591;-3.61805989046935;40.4582726875913
"SEMAFORO 2/200 PEATON - BICI";16;28801;1267;"1991-05-21 00:00:00";447612.126001683;4478842.74264299;-3.61788219275364;40.4586007629437
"SEMAFORO 2/200 PEATON - BICI";16;28800;1267;"1991-05-21 00:00:00";447614.389894691;4478846.23747365;-3.61785578145203;40.4586323890598
"SEMAFORO 2/200 PEATON - BICI";16;28799;1267;"1991-05-21 00:00:00";447671.527506298;4478857.76229246;-3.6171828659829;40.4587398110865
"SEMAFORO 2/200 PEATON - BICI";16;28798;1267;"1991-05-21 00:00:00";447681.728447113;4478852.20049541;-3.61706210021704;40.4586903495896
"SEMAFORO 2/200 PEATON - BICI";16;28797;1267;"1991-05-21 00:00:00";447699.039576905;4478851.36954747;-3.61685786876335;40.4586839536494
"SEMAFORO 2/200 PEATON - BICI";16;28796;1267;"1991-05-21 00:00:00";447706.986376165;4478847.3552731;-3.61676381556398;40.4586482909204
"SEMAFORO 2/200 PEATON - BICI";16;28791;1267;"1991-05-21 00:00:00";447626.859298368;4478718.49649084;-3.61769818108447;40.4574824123464
"SEMAFORO 2/200 PEATON - BICI";16;28790;1267;"1991-05-21 00:00:00";447620.067684541;4478722.67586372;-3.61777862303875;40.4575196344436
"SEMAFORO 2/200 PEATON - BICI";16;28789;1267;"1991-05-21 00:00:00";447605.666503446;4478732.14134637;-3.61794924513398;40.4576039970069
"SEMAFORO 2/200 PEATON - BICI";16;28788;1267;"1991-05-21 00:00:00";447599.569690213;4478735.62039972;-3.61802143539066;40.4576349538651
"SEMAFORO 2/200 PEATON - BICI";16;28787;1509;"1997-12-10 00:00:00";447603.897295012;4478672.69087758;-3.61796520329475;40.4570683221283
"SEMAFORO 2/200 PEATON - BICI";16;28786;1509;"1997-12-10 00:00:00";447613.172229957;4478685.71691721;-3.61785689473934;40.4571862527642
"SEMAFORO 2/200 PEATON - BICI";16;54806;4532;"2018-12-26 00:00:00";445916.904400864;4481830.11998393;-3.63812981903837;40.4854039706908
"SEMAFORO 2/200 PEATON - BICI";16;28735;1419;"1995-06-13 00:00:00";447052.096998267;4479281.71295998;-3.62452363448868;40.4625197536717
"SEMAFORO 2/200 PEATON - BICI";16;28734;1419;"1995-06-13 00:00:00";447052.507882369;4479294.19256144;-3.6245198295481;40.4626322028973
"SEMAFORO 2/200 PEATON - BICI";16;36172;1936;"2006-03-08 00:00:00";444329.050533557;4482886.54755906;-3.65695665406076;40.4948157830217
"SEMAFORO 2/200 PEATON - BICI";16;36173;1936;"2006-03-08 00:00:00";444333.040517912;4482871.09987771;-3.65690821515751;40.4946768911906
"SEMAFORO 2/200 PEATON - BICI";16;36174;1936;"2006-03-08 00:00:00";444336.723459048;4482867.89402647;-3.65686447500425;40.4946482584992
"SEMAFORO 2/200 PEATON - BICI";16;36176;1932;"2006-03-01 00:00:00";444883.339210385;4482909.74808385;-3.65041807520134;40.4950617793455
