id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
285005098,ARGANZUELA,PALOS-DE-MOGUER,10 CALLE FERROCARRIL,10_CALLE_FERROCARRIL,28045,"441029,58","441029,58-4472500,52","4472500,52",Abierto,CERVECERIA 100 MONTADITOS,Anual,Abierta,"36,45","36,45",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,11,11
280018624,ARGANZUELA,ACACIAS,25 PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS,25_PASEO_JUAN_ANTONIO_VALLEJO-NAJERA_BOTAS,28005,"439882,59","439882,59-4472605,53","4472605,53",Abierto,PRYCE CAFE,Estacional,Abierta,"12,06","35,64",Acera,8:00:00,1:30:00,10:00:00,0:00:00,8:00:00,1:30:00,10:00:00,0:00:00,11,0
20000557,ARGANZUELA,PALOS-DE-MOGUER,4 CALLE ANCORA,4_CALLE_ANCORA,28045,"441174,58","441174,58-4472701,52","4472701,52",Abierto,RESTAURANTE ABADIA,Anual,Abierta,"42,12","42,12",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,13,0
20000566,ARGANZUELA,DELICIAS,139 PASEO DELICIAS,139_PASEO_DELICIAS,28045,"441036,58","441036,58-4471519,52","4471519,52",Abierto,EL KUBO LOCO,Anual,Abierta,"28,7","28,7",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,11,11
285004782,ARGANZUELA,CHOPERA,18 CALLE GUILLERMO DE OSMA,18_CALLE_GUILLERMO_DE_OSMA,28045,"440774,58","440774,58-4471714,52","4471714,52",Abierto,COSTELLO RÍO,Anual,Abierta,"65,72","65,72",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,18,18
270374350,ARGANZUELA,ACACIAS,3 CALLE MAJUELO,3_CALLE_MAJUELO,28005,"440004,59","440004,59-4472733,53","4472733,53",Abierto,"PASTELERÍAS, PANADERÍAS Y CAFETERÍAS LOS REYUNOS",Anual,Abierta,"22,1","22,1",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
270279687,ARGANZUELA,IMPERIAL,47 PASEO MELANCOLICOS,47_PASEO_MELANCOLICOS,28005,"438883,6","438883,6-4472897,54","4472897,54",Abierto,CASA VALENTIN,Anual,Abierta,"23,76","23,76",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
270508174,VILLAVERDE,LOS-ANGELES,54 CALLE LA CANCION DEL OLVIDO,54_CALLE_LA_CANCION_DEL_OLVIDO,28041,"440663,55","440663,55-4468003,51","4468003,51",Abierto,KEBAB TRES FUEGOS,Anual,Abierta,"25,92","12,96",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,4
170002043,VILLAVERDE,SAN-CRISTOBAL,22 PLAZA PINAZO,22_PLAZA_PINAZO,28021,"441260,52","441260,52-4466085,5","4466085,5",Abierto,BAR CAFE LOS PINAZOS,Anual,Abierta,"19,5","19,5",Calle peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,5,5
270408288,CHAMARTIN,CIUDAD-JARDIN,4 CALLE NIEREMBERG,4_CALLE_NIEREMBERG,28002,"443100,59","443100,59-4477584,5","4477584,5",Abierto,SAL Y SAL DE TAPAS,Anual,Abierta,"9,05","9,05",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6
