provincia,URI_provincia,municipio,URI_municipio,estacion,magnitud,punto_muestreo,ano,mes,dia,h01,v01,h02,v02,h03,v03,h04,v04,h05,v05,h06,v06,h07,v07,h08,v08,h09,v09,h10,v10,h11,v11,h12,v12,h13,v13,h14,v14,h15,v15,h16,v16,h17,v17,h18,v18,h19,v19,h20,v20,h21,v21,h22,v22,h23,v23,h24,v24
Madrid Province,https://wikidata.org/entity/Q24004405,Torrejón de Ardoz,https://wikidata.org/entity/Q24012681,4,7,28148004-7-8,2021,10,1,1,V,1,V,1,V,2,V,5,V,12,V,26,V,,N,,N,,N,16,V,8,V,6,V,7,V,6,V,4,V,2,V,2,V,2,V,12,V,10,V,10,V,2,V,3,V
Madrid Province,https://wikidata.org/entity/Q24004405,Torrejón de Ardoz,https://wikidata.org/entity/Q24012681,4,8,28148004-8-8,2021,10,1,16,V,11,V,19,V,25,V,33,V,40,V,45,V,,N,,N,,N,37,V,26,V,23,V,29,V,34,V,31,V,35,V,61,V,74,V,91,V,77,V,66,V,47,V,48,V
Madrid Province,https://wikidata.org/entity/Q24004405,Torrejón de Ardoz,https://wikidata.org/entity/Q24012681,4,9,28148004-9-49,2021,10,1,15,V,13,V,12,V,11,V,11,V,11,V,11,V,21,V,25,V,26,V,27,V,28,V,28,V,29,V,28,V,28,V,28,V,12,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Torrejón de Ardoz,https://wikidata.org/entity/Q24012681,4,10,28148004-10-49,2021,10,1,21,V,26,V,22,V,18,V,17,V,15,V,14,V,17,V,19,V,14,V,31,V,41,V,50,V,42,V,38,V,40,V,36,V,29,V,28,V,33,V,36,V,39,V,11,V,38,V
Madrid Province,https://wikidata.org/entity/Q24004405,Torrejón de Ardoz,https://wikidata.org/entity/Q24012681,4,12,28148004-12-8,2021,10,1,18,V,13,V,21,V,27,V,40,V,59,V,84,V,,N,,N,,N,60,V,38,V,32,V,40,V,43,V,37,V,39,V,64,V,78,V,110,V,92,V,82,V,50,V,53,V
Madrid Province,https://wikidata.org/entity/Q24004405,Torrejón de Ardoz,https://wikidata.org/entity/Q24012681,4,14,28148004-14-6,2021,10,1,39,V,40,V,29,V,18,V,9,V,3,V,3,V,16,V,14,V,,N,,N,57,V,74,V,74,V,75,V,82,V,77,V,48,V,27,V,3,V,5,V,5,V,12,V,8,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,1,28016001-1-38,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,6,28016001-6-48,2021,10,1,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.5,V,0.4,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,7,28016001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,,N,,N,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,8,28016001-8-8,2021,10,1,3,V,3,V,3,V,3,V,3,V,4,V,3,V,4,V,3,V,4,V,3,V,,N,,N,3,V,3,V,3,V,4,V,4,V,5,V,5,V,5,V,3,V,4,V,3,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,9,28016001-9-49,2021,10,1,2,V,5,V,5,V,5,V,6,V,6,V,2,V,1,V,2,V,3,V,4,V,1,V,2,V,17,V,18,V,9,V,7,V,11,V,10,V,9,V,6,V,3,V,4,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,10,28016001-10-49,2021,10,1,10,V,14,V,11,V,9,V,8,V,9,V,4,V,1,V,3,V,7,V,6,V,5,V,5,V,6,V,9,V,10,V,10,V,11,V,14,V,15,V,13,V,13,V,12,V,10,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,12,28016001-12-8,2021,10,1,5,V,5,V,5,V,5,V,5,V,6,V,5,V,6,V,5,V,6,V,5,V,,N,,N,5,V,5,V,5,V,6,V,6,V,7,V,7,V,7,V,5,V,6,V,5,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,14,28016001-14-6,2021,10,1,78,V,74,V,73,V,70,V,66,V,55,V,61,V,62,V,70,V,64,V,78,V,92,V,94,V,93,V,97,V,101,V,103,V,108,V,105,V,99,V,91,V,88,V,81,V,89,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,20,28016001-20-59,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,30,28016001-30-59,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,42,28016001-42-2,2021,10,1,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,44,28016001-44-2,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,El Atazar,https://wikidata.org/entity/Q1772153,1,431,28016001-431-59,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Valdemoro,https://wikidata.org/entity/Q840373,1,7,28161001-7-8,2021,10,1,7,V,8,V,7,V,4,V,19,V,14,V,22,V,30,V,21,V,7,V,5,V,2,V,3,V,3,V,2,V,2,V,1,V,1,V,2,V,1,V,1,V,1,V,7,V,8,V
Madrid Province,https://wikidata.org/entity/Q24004405,Valdemoro,https://wikidata.org/entity/Q840373,1,8,28161001-8-8,2021,10,1,63,V,67,V,62,V,53,V,58,V,50,V,51,V,50,V,41,V,23,V,15,V,11,V,10,V,9,V,10,V,9,V,9,V,14,V,33,V,20,V,15,V,17,V,65,V,65,V
Madrid Province,https://wikidata.org/entity/Q24004405,Valdemoro,https://wikidata.org/entity/Q840373,1,9,28161001-9-49,2021,10,1,23,V,23,V,20,V,21,V,18,V,17,V,18,V,18,V,21,V,21,V,21,V,15,V,14,V,14,V,14,V,12,V,11,V,10,V,12,V,14,V,13,V,23,V,32,V,29,V
Madrid Province,https://wikidata.org/entity/Q24004405,Valdemoro,https://wikidata.org/entity/Q840373,1,12,28161001-12-8,2021,10,1,73,V,80,V,72,V,59,V,88,V,71,V,84,V,96,V,72,V,33,V,23,V,14,V,14,V,13,V,14,V,12,V,11,V,16,V,36,V,22,V,18,V,19,V,76,V,77,V
Madrid Province,https://wikidata.org/entity/Q24004405,Valdemoro,https://wikidata.org/entity/Q840373,1,14,28161001-14-6,2021,10,1,3,V,2,V,2,V,6,V,1,V,3,V,4,V,9,V,19,V,40,V,56,V,82,V,103,V,110,V,110,V,112,V,111,V,99,V,69,V,79,V,81,V,73,V,13,V,6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,1,28171001-1-38,2021,10,1,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,6,28171001-6-48,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,7,28171001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,3,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,8,28171001-8-8,2021,10,1,5,V,5,V,6,V,5,V,5,V,5,V,6,V,6,V,6,V,6,V,10,V,6,V,5,V,3,V,3,V,4,V,4,V,5,V,5,V,6,V,11,V,7,V,6,V,7,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,9,28171001-9-49,2021,10,1,10,V,9,V,10,V,9,V,9,V,8,V,8,V,6,V,3,V,2,V,2,V,2,V,4,V,3,V,6,V,8,V,15,V,15,V,19,V,21,V,21,V,20,V,18,V,16,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,10,28171001-10-49,2021,10,1,11,V,9,V,14,V,13,V,12,V,11,V,12,V,11,V,9,V,10,V,7,V,9,V,9,V,9,V,12,V,12,V,20,V,22,V,25,V,26,V,25,V,24,V,24,V,24,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,12,28171001-12-8,2021,10,1,7,V,7,V,8,V,7,V,7,V,7,V,8,V,9,V,8,V,9,V,15,V,9,V,7,V,5,V,5,V,6,V,6,V,7,V,7,V,8,V,13,V,9,V,8,V,9,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villa del Prado,https://wikidata.org/entity/Q320398,1,14,28171001-14-6,2021,10,1,65,V,62,V,59,V,60,V,57,V,51,V,52,V,50,V,56,V,66,V,72,V,88,V,103,V,114,V,114,V,112,V,115,V,105,V,93,V,85,V,73,V,67,V,61,V,47,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villarejo de Salvanés,https://wikidata.org/entity/Q24012650,1,7,28180001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,8,V,13,V,5,V,3,V,3,V,2,V,2,V,2,V,1,V,1,V,2,V,2,V,2,V,2,V,1,V,2,V,3,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villarejo de Salvanés,https://wikidata.org/entity/Q24012650,1,8,28180001-8-8,2021,10,1,11,V,7,V,10,V,6,V,8,V,22,V,35,V,24,V,14,V,13,V,7,V,8,V,8,V,7,V,7,V,12,V,22,V,42,V,70,V,56,V,67,V,50,V,36,V,21,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villarejo de Salvanés,https://wikidata.org/entity/Q24012650,1,9,28180001-9-49,2021,10,1,11,V,11,V,13,V,17,V,22,V,21,V,22,V,23,V,21,V,23,V,18,V,15,V,12,V,12,V,14,V,20,V,54,V,27,V,21,V,20,V,19,V,19,V,18,V,17,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villarejo de Salvanés,https://wikidata.org/entity/Q24012650,1,12,28180001-12-8,2021,10,1,13,V,9,V,12,V,8,V,10,V,35,V,55,V,32,V,19,V,18,V,10,V,11,V,11,V,9,V,9,V,15,V,25,V,45,V,72,V,58,V,71,V,54,V,38,V,23,V
Madrid Province,https://wikidata.org/entity/Q24004405,Villarejo de Salvanés,https://wikidata.org/entity/Q24012650,1,14,28180001-14-6,2021,10,1,79,V,79,V,69,V,67,V,64,V,46,V,33,V,39,V,58,V,64,V,75,V,91,V,109,V,121,V,118,V,118,V,105,V,83,V,48,V,65,V,48,V,54,V,58,V,73,V
Madrid Province,https://wikidata.org/entity/Q24004405,Colmenar Viejo,https://wikidata.org/entity/Q55480,2,6,28045002-6-48,2021,10,1,0.5,V,0.5,V,0.5,V,0.4,V,0.5,V,0.6,V,0.6,V,0.8,V,0.6,V,0.6,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.6,V,0.5,V,0.6,V,0.6,V,0.6,V,0.5,V
Madrid Province,https://wikidata.org/entity/Q24004405,Colmenar Viejo,https://wikidata.org/entity/Q55480,2,7,28045002-7-8,2021,10,1,1,V,1,V,1,V,1,V,3,V,14,V,12,V,33,V,14,V,7,V,10,V,5,V,4,V,4,V,3,V,3,V,3,V,5,V,11,V,3,V,9,V,5,V,7,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Colmenar Viejo,https://wikidata.org/entity/Q55480,2,8,28045002-8-8,2021,10,1,7,V,6,V,6,V,9,V,26,V,54,V,56,V,68,V,38,V,22,V,24,V,16,V,14,V,13,V,14,V,17,V,19,V,39,V,68,V,29,V,59,V,46,V,41,V,21,V
Madrid Province,https://wikidata.org/entity/Q24004405,Colmenar Viejo,https://wikidata.org/entity/Q55480,2,10,28045002-10-49,2021,10,1,16,V,17,V,15,V,12,V,12,V,19,V,24,V,36,V,33,V,13,V,20,V,16,V,12,V,11,V,12,V,10,V,10,V,12,V,22,V,19,V,23,V,25,V,12,V,12,V
Madrid Province,https://wikidata.org/entity/Q24004405,Colmenar Viejo,https://wikidata.org/entity/Q55480,2,12,28045002-12-8,2021,10,1,9,V,8,V,8,V,11,V,31,V,75,V,74,V,118,V,59,V,33,V,40,V,23,V,21,V,18,V,18,V,21,V,23,V,47,V,86,V,33,V,72,V,54,V,52,V,24,V
Madrid Province,https://wikidata.org/entity/Q24004405,Colmenar Viejo,https://wikidata.org/entity/Q55480,2,14,28045002-14-6,2021,10,1,76,V,75,V,74,V,73,V,55,V,36,V,33,V,18,V,37,V,48,V,53,V,68,V,76,V,84,V,86,V,88,V,87,V,65,V,39,V,61,V,37,V,46,V,51,V,65,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,1,28047002-1-38,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,7,28047002-7-8,2021,10,1,1,V,1,V,2,V,6,V,35,V,67,V,94,V,56,V,39,V,21,V,5,V,3,V,3,V,1,V,3,V,2,V,3,V,7,V,13,V,7,V,2,V,1,V,1,V,1,V
