@id	@lon	@lat	name
143098102	-3.6895993	40.4855440	Casa Mouriño
143098109	-3.6897672	40.4856113	Cafetería Jeymon
143098196	-3.6902926	40.4857917	Bar "La Toledana"
143111687	-3.6890846	40.4873350	Cafetería JEYMON
143111695	-3.6895729	40.4870950	Las Torres
150760824	-3.7173167	40.4473599	La friolera
150760847	-3.7149013	40.4463777	Condemar
150760857	-3.7143080	40.4468248	Taberna la Tortuga
151223381	-3.6903193	40.4875148	Bar Derby
151223394	-3.6892092	40.4867692	Taberna Restaurante Txamizo
151223404	-3.6898293	40.4859977	Pollos "El Sabroso"
151223419	-3.6895029	40.4854963	Restaurante Fereva
151223441	-3.6868917	40.4849503	Bar "annais"
160739518	-3.7297735	40.4486523	Cafetería y comidas
167301835	-3.6926831	40.4096055	McDonald's
167301919	-3.6966965	40.4109882	Gujarat
167301973	-3.6978097	40.4115676	Fuente de la Fama
167302029	-3.6957127	40.4108575	Casablanca
167302052	-3.6957181	40.4111028	A Cañada
167302088	-3.6956871	40.4124960	La Tabernita de San Juan
167302111	-3.6961583	40.4124453	Fever
167302123	-3.6963071	40.4124270	Arrocería Gala
167302132	-3.6943165	40.4127079	La Platería
167302180	-3.6939658	40.4122937	El Fogón Verde
167302439	-3.6956850	40.4128038	La Hidria
167302513	-3.6956873	40.4129838	La Esquina
167302521	-3.6951865	40.4125537	La Fetén
167302527	-3.6949558	40.4125743	D'Bóveda
167302640	-3.6957012	40.4131780	El Diario
167302641	-3.6956999	40.4136254	La Fábrica
167302645	-3.6957073	40.4135119	Los Gatos
167302652	-3.6957010	40.4133633	La Anchoíta
167302661	-3.6957085	40.4134319	El Rábano
167302675	-3.6960696	40.4136237	Terra Mundi
167302687	-3.6957781	40.4137383	Taberna de la Dolores
167302693	-3.6957942	40.4141167	Taberna de la Daniela
167302764	-3.6955887	40.4137161	Granja Blanca
167302774	-3.6958434	40.4145630	La Taberna de Jose
167302888	-3.6966322	40.4169233	Edelweiss
167302891	-3.6965924	40.4171806	El Secreto de Castilla
167302905	-3.6966034	40.4173325	Sagardi
167302916	-3.6970761	40.4168278	Bar
167302928	-3.6971908	40.4168220	Vegetariano
170909887	-3.7022372	40.4043334	Fórmula Nietos
170951330	-3.7016814	40.4036196	La Cuadra
170951384	-3.7016510	40.4035317	Döner Kebab
170951653	-3.7015443	40.4041266	Los chiquitos
170951665	-3.7014278	40.4039506	Bar Díaz
170951688	-3.7009208	40.4040925	La Amistad II
170951714	-3.7014847	40.4047549	A Cañada
170951743	-3.7006404	40.4036669	Indalo
170951897	-3.7000905	40.4038030	El Encuentro
170951928	-3.6995978	40.4037373	El Valle
170952060	-3.6986721	40.4049362	Hnos Valdivieso
170952439	-3.6973199	40.4051914	Hong
170952456	-3.6971953	40.4050149	Granadilla
170992208	-3.6974369	40.4027377	Telepizza
170992672	-3.6959215	40.4041585	Bar Teide
170992697	-3.6963438	40.4039297	Döner Kebab
170992698	-3.6964406	40.4038286	Bar
170992707	-3.6956117	40.4047334	Chin Chin
170992709	-3.6952969	40.4050712	Restaurante Indio
170992713	-3.6964274	40.4043696	Croquetería Ven y verás
170992725	-3.6960055	40.4048223	Bar
178820881	-3.7121461	40.4151763	La Mayor
178820898	-3.7111249	40.4154807	La Amarilla
178820903	-3.7113374	40.4154405	Tapería Mayor
178820924	-3.7115508	40.4152606	Arcade
178820939	-3.7102080	40.4156552	Cruz Blanca
178820965	-3.7094547	40.4153729	Taste Gallery
