ID,Date,Address,Number,District,AccidentType,Weather,Lesividad
58298bfeedc1d6c8966f8effe008cd86,23/4/21,CALL. FRANCISCO LARGO CABALLERO / AVDA. INSTITUCION LIBRE DE ENSEÑANZA,-,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,3
074b582806c0ba8dd9d9aefb3b3bf11f,23/4/21,CALL. GAZTAMBIDE,23,CHAMBERÍ,Caída,Despejado,2
22f50f0000b48ea214a320a8b779329a,25/4/21,CALL. SERRANO,44,SALAMANCA,Caída,Lluvia débil,7
96a084fa2832c647e3530aa8d785105f,25/4/21,PASEO. ACACIAS / CALL. NOGALES,-,ARGANZUELA,Colisión múltiple,LLuvia intensa,7
ab51f8a0d2198510a37bae8524e11695,25/4/21,PASEO. REY,22,MONCLOA-ARAVACA,Atropello a persona,LLuvia intensa,8
c8ae60aa9f7038bd954546e513efadfe,25/4/21,PASEO. REY,22,MONCLOA-ARAVACA,Atropello a persona,LLuvia intensa,14
deb8b986e18e18754487b9935e364117,25/4/21,PASEO. MARCELINO CAMACHO / CALL. GENERAL RICARDOS,-,CARABANCHEL,Colisión fronto-lateral,Despejado,8
ffc3b2d35a2fa8a882205c9b12b4b32c,25/4/21,PASEO. MARCELINO CAMACHO / CALL. GENERAL RICARDOS,-,CARABANCHEL,Colisión fronto-lateral,Despejado,8
461f75ca198d61a690ad1638840ccd1e,24/4/21,CALL. JOSE PAULETE,5,PUENTE DE VALLECAS,Caída,Despejado,2
92e3e87ba7593065e275140fe373e1e1,24/4/21,METRO. RONDA DE LA COMUNICACION,0,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,6
1578738bf147a3007679e65e67c53dc3,24/4/21,METRO. RONDA DE LA COMUNICACION,0,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,14
ace988f6e5bc55532a7b1a146d38d40e,25/4/21,CALL. TINTOREROS -C/ CUCHILLEROS Y PUERTA CERRADA,-,CENTRO,Alcance,Lluvia débil,1
52f91ef1960b418636028d7488357362,26/4/21,CALL. PLAYA DE LA CALETA / CALL. VALHONDO,-,BARAJAS,Colisión fronto-lateral,Despejado,7
3312a854a257175c24d04d9304abe958,26/4/21,PASEO. PRADO,48,CENTRO,Colisión lateral,Despejado,6
1ba0da4557a14ec693fcf7bfa992f31b,28/4/21,CALL. BRAVO MURILLO,137,TETUÁN,Alcance,LLuvia intensa,7
fabf4fef76e011adca842ed57798dddc,27/4/21,CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA,-,CHAMBERÍ,Alcance,Despejado,14
79222f40f3269c01144bb8d0d4c409f6,27/4/21,AVDA. POBLADOS / CALL. DOBLA,-,CARABANCHEL,Colisión lateral,Despejado,2
9a598124deea61ee043bad54bb02b5d5,27/4/21,CALL. CERILLERAS / AVDA. POBLADOS,-,CARABANCHEL,Colisión fronto-lateral,Despejado,7
3b2ab0225ba5e791e2f66d577eddbc80,28/4/21,CMNO. VIEJO DE VICALVARO / AVDA. DAROCA,-,VICÁLVARO,Caída,Nublado,2
6d0227489ef0065cee61809fd769df4b,28/4/21,CALL. CARLOS MARTIN ALVAREZ,2,PUENTE DE VALLECAS,Caída,Despejado,7
9f6a03e1f32a197889d99ddb5f76fe95,29/4/21,CALL. CHIQUINQUIRA,60,HORTALEZA,Caída,Despejado,1
f2581b221bdf47fe217d55c8d0612e16,29/4/21,CALL. ARTURO SORIA / CUSTA. SAGRADO CORAZON,-,CIUDAD LINEAL,Atropello a persona,Nublado,14
ad9ee98b31933c74199b768b49ad70d5,29/4/21,CALL. ARTURO SORIA / CUSTA. SAGRADO CORAZON,-,CIUDAD LINEAL,Atropello a persona,Nublado,3
3c1335267a74dbe5464e3da753de84da,29/4/21,AVDA. PORTUGAL,3,LATINA,Caída,Lluvia débil,7
fb28f67fdefd381f67d0530141a23537,5/1/21,PLAZA. COLON / PASEO. RECOLETOS,-,CENTRO,Alcance,Despejado,8
314aa9c7612bb7b670d5938e2a178c87,30/4/21,CALL. CONDESA DE VENADITO / CALL. MARTINEZ VILLERGAS,-,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,3
3891118794f6e027c068bbb1063ee8e8,1/5/21,AVDA. VALDEMARIN / CMNO. LAVADERO,-,MONCLOA-ARAVACA,Caída,Despejado,6
16247d44a311341fe43a1af77cb73db6,2/5/21,CALL. DOCTOR ESQUERDO,47,SALAMANCA,Caída,Despejado,1
c874af77498ecab34eb241e2bd813c28,2/5/21,CALL. AFUERAS A VALVERDE / CALL. ISLA DE RODAS,-,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,7
74e03ddc83d111335810369fff92761b,3/5/21,PISTA. CRISTO DE EL PARDO,17,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,2
32aba7ccdf00d64b3cbfc1149c9b9ea3,4/6/21,CALL. JOSE ANTONIO NOVAIS / CALL. RAMIRO DE MAEZTU,-,MONCLOA-ARAVACA,Caída,Despejado,3
f2ebc8b2e405c9268af0eef5c74d40e2,4/6/21,CALL. JOSE ANTONIO NOVAIS / CALL. RAMIRO DE MAEZTU,-,MONCLOA-ARAVACA,Caída,Despejado,14
cb4223f5ccdcd5ad38397152b9a76418,4/5/21,CALL. LOS YEBENES,6,LATINA,Colisión fronto-lateral,Despejado,7
d33c9fe382eeb2a7b962226611128a82,5/5/21,CALL. JEMENUÑO / PASEO. MELANCOLICOS,-,ARGANZUELA,Caída,Despejado,3
644debfd5d9bcde2e13d425f34248d3f,5/5/21,CUSTA. SAN VICENTE,8,MONCLOA-ARAVACA,Alcance,Despejado,8
1e98916cfa0775af82f79676ee11b97f,5/5/21,CALL. VICENTE BLASCO IBAÑEZ / CALL. ENRIQUE AZCOAGA,-,HORTALEZA,Colisión fronto-lateral,Despejado,3
4bf5d36f8b8a5493636f6e110278c8d0,5/5/21,CALL. MANUEL AGUILAR MUÑOZ / PASEO. ALAMEDA DE OSUNA,-,BARAJAS,Colisión frontal,Despejado,7
bad0db5caf948e722af4f3e0a6ac3b8c,5/5/21,CALL. ALHAMBRA / CALL. CUART DE POBLET,-,LATINA,Colisión fronto-lateral,Despejado,3
541f698dfe0032c85b70d5c09d7a51c9,7/5/21,CALL. SEGOVIA / CALL. BEATRIZ GALINDO,-,CENTRO,Alcance,Despejado,1
ed6d5eb8e45bf8d18810e788cd2d70d7,7/5/21,PLAZA. SAN JUAN DE LA CRUZ / CALL. ZURBANO,-,CHAMBERÍ,Colisión fronto-lateral,Despejado,3
8607d193f7edda3dcd4a3b42a4c16ad4,7/5/21,CTRA. PARQUE DE ATRACCIONES,1,MONCLOA-ARAVACA,Caída,Despejado,3
dc4a544182f24545b192e33ae1ba768c,7/5/21,CMNO. PRINCIPE,2,MONCLOA-ARAVACA,Caída,Despejado,2
aeb9b8b3960255977ef2dd0063abaa69,8/5/21,CALL. SANTANDER / CALL. MELQUIADES ALVAREZ,-,CHAMBERÍ,Colisión fronto-lateral,Despejado,2
009cd0f15d5b59b7963b6aed7f9abc33,8/5/21,CALL. MARCELO USERA,131,USERA,Alcance,Despejado,7
54146de6bfba5a1c72623d39c2752a30,8/5/21,AVDA. LOS ROSALES / AUTOV. M-40,-,USERA,Alcance,Despejado,2
d75a8b877a590e4cfd07db3fb17f3eca,9/6/21,CALL. SANTA ENGRACIA,80,CHAMBERÍ,Alcance,Despejado,7
f7f6872afff63b81942a393a955dfe60,9/5/21,CALL. ALCALA,211,SALAMANCA,Alcance,Despejado,7
2cc2afb896720c4009966086dcb7cd4d,9/5/21,AVDA. CAMILO JOSE CELA,29,SALAMANCA,Caída,Lluvia débil,7
2a4e3c0de2a7cb503886342aeb1f1a77,9/5/21,CALL. MAYORAZGO DE DUARTE,40,VICÁLVARO,Caída,Despejado,2
2c52b1533dbabfb7a99f862828ec77ac,9/5/21,AVDA. MIGUEL HERNANDEZ / CALL. TORREMOLINOS,-,PUENTE DE VALLECAS,Caída,Nublado,2
22359d14dcd470f036043b81e1dce0ba,9/5/21,CALL. PRINCESA,43,MONCLOA-ARAVACA,Caída,Despejado,1
ca716eb751680eb99c6fff00dc448e61,10/5/21,PLAZA. MANUEL BECERRA,6,SALAMANCA,Caída,Despejado,2
98a984bb60c3b32f8e5fbc8d626450c6,11/5/21,CALL. GOLONDRINA,52,MONCLOA-ARAVACA,Caída,Despejado,6
7d5e06d3bd1faec139ff6c1894186504,11/5/21,GTA. QUEVEDO / CALL. ARAPILES,-,CHAMBERÍ,Colisión fronto-lateral,Despejado,2
2b32c76474481dc3c8ae36c1309e8736,12/5/21,CALL. ALMAGRO,21,CHAMBERÍ,Colisión lateral,Despejado,1
