ID,Date,IDAddress1,Address1,Same_as_wikidata_address1,IDAddress2,Address2,Same_as_wikidata_address2,Number,IDDistrict,District,Same_as_wikidata_distrito,AccidentType,Weather,Lesividad
572bb12d952b6fe544e20d1db9e98265,2021-02-08,Avenida-De-La-Memoria,Avenida De La Memoria,https://wikidata.org/entity/Q29794262,Plaza-Cardenal-Cisneros,Plaza Cardenal Cisneros,,,Moncloa-Aravaca,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Lluvia débil,2
a72c89d01b425d236e3c01282f0509ad,2021-02-10,Avenida-Los-Rosales,Avenida Los Rosales,,,,,131,Villaverde,Villaverde,https://wikidata.org/entity/Q919536,Alcance,Despejado,2
1059f233759702c39e5ff7f1f3228bb6,2021-02-10,Alcalá-Street,Alcalá Street,https://wikidata.org/entity/Q2424746,,,,48,Centro,Centro,https://wikidata.org/entity/Q1763376,Caída,Nublado,7
56c2d46df1dbb0079d330f13ab864110,2021-02-11,Calle-Del-General-Ricardos,Calle Del General Ricardos,https://wikidata.org/entity/Q5740542,,,,95,Carabanchel,Carabanchel,https://wikidata.org/entity/Q1001991,Caída,Lluvia débil,7
640af3a3c3f0c0f9a3517a54403d831a,2021-02-11,Calle-Valcarlos,Calle Valcarlos,,Calle-Quintanavides,Calle Quintanavides,,,Fuencarral-El-Pardo,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Caída,Despejado,7
58faea52412197e19ddf90fda7dd30eb,2021-02-12,Paseo-De-La-Castellana,Paseo De La Castellana,https://wikidata.org/entity/Q1473674,,,,67,Chamberí,Chamberí,https://wikidata.org/entity/Q1763370,Colisión fronto-lateral,Despejado,6
beeeddbe9b605cf1411636aac8e19646,2021-02-13,Avenida-Miguel-Hernandez,Avenida Miguel Hernandez,,,,,116,Puente-de-Vallecas,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Alcance,Despejado,1
92338928df72b9ab56232211c5676ee9,2021-02-13,Avenida-Miguel-Hernandez,Avenida Miguel Hernandez,,,,,116,Puente-de-Vallecas,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Alcance,Despejado,14
e69238a901248ab338fc5f122ea2d3cd,2021-02-13,Calle-Aniceto-Marinas,Calle Aniceto Marinas,,,,,74,Moncloa-Aravaca,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Despejado,7
0ae775dea5a426b552fbccc293f9eaaf,2021-02-13,Calle-Aniceto-Marinas,Calle Aniceto Marinas,,,,,74,Moncloa-Aravaca,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Despejado,14
aba75eed12b4166a040827f5de7f66cc,2021-02-13,Paseo-De-La-Castellana,Paseo De La Castellana,https://wikidata.org/entity/Q1473674,,,,243,Tetuán,Tetuán,https://wikidata.org/entity/Q1773540,Caída,Despejado,7
c9b7e28d7e25ea9bc8ec775ffb84ec0d,2021-02-15,Calle-De-Alfonso-Xii,Calle De Alfonso Xii,https://wikidata.org/entity/Q5659170,,,,18,Retiro,Retiro,https://wikidata.org/entity/Q2002296,Caída,Despejado,1
49d75497e508677399093c5f10bd91f3,2021-02-15,Glorieta-Marques-De-Vadillo,Glorieta Marques De Vadillo,,Calle-De-Antonio-De-Leyva,Calle De Antonio De Leyva,https://wikidata.org/entity/Q42240205,,Carabanchel,Carabanchel,https://wikidata.org/entity/Q1001991,Alcance,Despejado,1
bcfc1510236342107d7ea906a1546c68,2021-02-15,Paseo-De-La-Castellana,Paseo De La Castellana,https://wikidata.org/entity/Q1473674,Calle-Padre-Francisco-Palau-Y-Quer,Calle Padre Francisco Palau Y Quer,,,Chamartín,Chamartín,https://wikidata.org/entity/Q1766348,Colisión lateral,Despejado,14
ffae3c462755a459ba4e220914ba1eb0,2021-02-16,Calle-Bejar,Calle Bejar,,Calle-Agustin-Duran,Calle Agustin Duran,,,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Colisión fronto-lateral,Despejado,2
90b5a142953e6e753cf2932619852d3e,2021-02-16,Calle-Valle-De-Pinares-Llanos,Calle Valle De Pinares Llanos,,Calle-Riscos-De-Polanco,Calle Riscos De Polanco,,,Fuencarral-El-Pardo,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Caída,Despejado,7
2c3152e5ab785f159a631cf6afe71064,2021-02-16,Paseo-De-La-Castellana,Paseo De La Castellana,https://wikidata.org/entity/Q1473674,,,,2,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Alcance,Despejado,7
66ab5f378ac711459e14007698f0e741,2021-02-17,Avenida-Del-Planetario,Avenida Del Planetario,https://wikidata.org/entity/Q17622122,,,,12,Arganzuela,Arganzuela,https://wikidata.org/entity/Q2000929,Alcance,Despejado,7
b387bdd00e56d3251ef3c3948fd65522,2021-02-18,Avenida-De-La-Institución-Libre-De-Enseñanza,Avenida De La Institución Libre De Enseñanza,https://wikidata.org/entity/Q5740959,,,,41,San-Blas,San Blas,https://wikidata.org/entity/Q2001937,Colisión lateral,Despejado,7
12bad5e012f0ca7490d39ea7310fe491,2021-02-18,Glorieta-Antonio-Perpiña,Glorieta Antonio Perpiña,,Avenida-Juan-Antonio-Samaranch,Avenida Juan Antonio Samaranch,,,Hortaleza,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión lateral,Despejado,7
c43548d5502f25794549df6edf352ce0,2021-02-18,Calle-Sedano,Calle Sedano,,Calle-Prado-Alegre,Calle Prado Alegre,,,Latina,Latina,https://wikidata.org/entity/Q794954,Colisión fronto-lateral,Despejado,7
e5db22ba1f478b4fff8d71e98d5ab576,2021-02-18,Calle-De-Gutiérrez-Solana,Calle De Gutiérrez Solana,https://wikidata.org/entity/Q28531457,Calle-De-Marceliano-Santa-María,Calle De Marceliano Santa María,https://wikidata.org/entity/Q28531054,,Chamartín,Chamartín,https://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,3
a6629081adc9d314258af027e2415268,2021-02-19,Calle-Alhambra,Calle Alhambra,,,,,30,Latina,Latina,https://wikidata.org/entity/Q794954,Colisión lateral,Despejado,3
80b0c49180c962d23dd141a000e68c54,2021-02-19,Calle-De-Nuestra-Señora-De-Valverde,Calle De Nuestra Señora De Valverde,https://wikidata.org/entity/Q56256719,,,,138,Fuencarral-El-Pardo,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Caída,Despejado,14
81ebc8c8e907be79c9063385fcba1bfa,2021-02-19,Capitán-Blanco-Argibay-Street,Capitán Blanco Argibay Street,https://wikidata.org/entity/Q27038685,,,,210,Tetuán,Tetuán,https://wikidata.org/entity/Q1773540,Colisión fronto-lateral,Despejado,7
121d5e332ecf19d4e6e94aac64b59abe,2021-02-19,Calle-Sandalia-Navas,Calle Sandalia Navas,,,,,17,Fuencarral-El-Pardo,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Caída,Despejado,2
36a7c18a8793d75bc81b202184df1c9e,2021-02-19,Calle-Moralzarzal,Calle Moralzarzal,,,,,,Fuencarral-El-Pardo,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Caída,Despejado,2
a4a396c0b0abdaa2b08a6e32700af31d,2021-02-19,Avenida-De-Los-Poblados,Avenida De Los Poblados,https://wikidata.org/entity/Q26795575,Avenida-Abrantes,Avenida Abrantes,,,Carabanchel,Carabanchel,https://wikidata.org/entity/Q1001991,Choque contra obstáculo fijo,Despejado,2
041c7a817c23b3e9ad91e300444085ad,2021-02-20,Calle-De-Embajadores,Calle De Embajadores,https://wikidata.org/entity/Q5740826,Calle-De-Sebastián-Herrera,Calle De Sebastián Herrera,https://wikidata.org/entity/Q68987411,,Arganzuela,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Despejado,2
