ID;Date;Address;Number;District;AccidentType;Weather;Lesividad
d8ac5b980ef0f0cafc642b7161752f56;2021-03-19;CALL. BARCELO;3;CENTRO;Caída;Despejado;5
89bd76b7601da3405e79752c97d54b57;2021-03-18;CALL. CLAUDIO COELLO / CALL. PADILLA;-;SALAMANCA;Colisión fronto-lateral;Despejado;7
5392e27c884cb4960dc5a3a2b49f0904;2021-03-18;CALL. EVANGELIOS;1;USERA;Colisión frontal;Despejado;6
857380de791372f04ed23cd8a4788337;2021-03-18;CALL. JOSE DE CADALSO / CALL. MAESTRA JUSTA FREIRE;-;LATINA;Colisión fronto-lateral;Despejado;1
669ccb0fe34fae32c6ccc0312f2c3ef3;2021-03-18;CALL. JOSE DE CADALSO / CALL. MAESTRA JUSTA FREIRE;-;LATINA;Colisión fronto-lateral;Despejado;14
1b4a14254a391b816e6ada84b2cde500;2021-03-19;CALL. DOCTOR ESQUERDO / CALL. ASTROS;-;RETIRO;Colisión fronto-lateral;Despejado;2
bdceecf034941a6597f5e60f069a047d;2021-03-19;CALL. VIA DE DUBLIN / AUTOV. M-11;-;BARAJAS;Colisión fronto-lateral;Despejado;7
c73a2eca5674b3dbb39dc483bbfe51ae;2021-03-20;AVDA. GUADALAJARA;69;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;1
47616dbd97c95f9cbb40aa94198a918f;2021-03-20;ANILLO VERDE KM,58-CAMINO DE LA CAÑADA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;6
4760f6df7ecf3cc78bbd56e986002d5b;2021-03-20;ANILLO VERDE KM,58-CAMINO DE LA CAÑADA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;7
9886f7ff36bb1e9bdfe6d24740ec3ad8;2021-03-20;AUTOV. M-500;0;MONCLOA-ARAVACA;Caída;Despejado;2
c8e161e4c0dc3800ff0f178ea9fa422e;2021-03-21;AVDA. ALBUFERA;23;PUENTE DE VALLECAS;Caída;Despejado;1
e7aaaa321b52f8a42fb166f2a06818d9;2021-03-21;CALL. CLAVEL;5;CENTRO;Colisión lateral;Despejado;7
04df079a7c2df2d9261f26b08805f821;2021-03-21;PASEO. YESERIAS / CALL. NAVES;-;ARGANZUELA;Caída;Despejado;1
0968c1a290ee6078809a160b43e2ef19;2021-03-22;CALL. HUESCA / CALL. HERMANO GARATE;-;TETUÁN;Colisión fronto-lateral;Despejado;
16b4a8b5a4a820fd57e1994155c0add1;2021-03-22;AVDA. CARONDELET;37;HORTALEZA;Caída;Despejado;7
532fbafb746d1339f8349832a367a234;2021-03-23;CALL. PUERTO RICO;15;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;7
ac1dbc205d770e53b23462dbc55c6af6;2021-03-23;CALL. PALAS DE REY;4;FUENCARRAL-EL PARDO;Caída;Despejado;2
31ba6b19d741b9c1b09a22dc1c32659c;2021-03-23;CALL. PALAS DE REY;4;FUENCARRAL-EL PARDO;Caída;Despejado;14
e3f0b4152ca9024c1d1ac88d74d9c1d0;2021-03-23;FCO. PI Y MARGALL / AVDA. NICETO ALCALA ZAMORA;-;HORTALEZA;Colisión lateral;Despejado;7
7fb6514f528a7192a3538305d58bbdae;2021-03-24;CALL. CAMPAÑA / CTRA. COLMENAR VIEJO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;;7
60d700139413d190592c130c9aa82e54;2021-03-25;IDB. PARQUE LINEAL DEL MANZANARES;0;PUENTE DE VALLECAS;Caída;Despejado;1
702120081eccb4753b2e1e12078cc841;2021-03-25;AVDA. CERRO MILANO / CALL. CAÑADA DEL SANTISIMO;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;7
1704a0019b4526c0bd64e63b77a0ffd6;2021-03-25;CALL. SERRANO;74;SALAMANCA;Caída;Despejado;2
afce171554c81ae61dbce82ee81ca86e;2021-03-25;PASEO. CASTELLANA;156;CHAMARTÍN;Colisión fronto-lateral;Despejado;7
c744dcbe451a41b6d3322912dce70fd6;2021-03-27;AVENIDA DE LOS POBLADOS CON AVENIDA DEL EURO;-;LATINA;Caída;Despejado;7
ea846d8decd02783d33cac99b5faea40;2021-03-26;C/ CAPITAN BLANCO ARGIBAY, 192 (farola 77 parque );-;TETUÁN;Caída;Despejado;1
67651b50d5f10d88132ff818d4b17b7b;2021-03-27;CALL. FRANCISCO Y JACINTO ALCANTARA;1;MONCLOA-ARAVACA;Caída;Despejado;7
26919ab22ce555892a97821de024d7b6;2021-03-27;CALL. ATOCHA;3;CENTRO;Colisión lateral;;
85f848f64091d9820aa6053e53efe3de;2021-03-27;CALL. ALFONSO XII / PASEO. INFANTA ISABEL;-;RETIRO;Colisión fronto-lateral;Despejado;
62fd2b4cd236cfd681389b5e6e84dea5;2021-03-28;PASEO. ESPERANZA;5;ARGANZUELA;Caída;Despejado;1
83bae54763b09d34a49efa2c0267fde0;2021-03-28;CALL. ALBERTO DE PALACIO / AVDA. NICETO ALCALA ZAMORA;-;HORTALEZA;Colisión lateral;Despejado;
cd02bdd351bea673cdacc24da8551dda;2021-03-28;RONDA. ATOCHA;27;ARGANZUELA;Colisión lateral;Despejado;7
ac96f2e2ea53d2bbafec67b591c43b05;2021-03-29;AVDA. ENTREVIAS / CALL. MEJORANA;-;PUENTE DE VALLECAS;Caída;Despejado;6
0c41d82e89f4a779b0ebc3ad06fe26c9;2021-03-31;CALL. ANTEQUERA;23;USERA;Caída;Despejado;1
f08ddbd8427f1d067775d5d229515f7a;2021-03-31;PASEO. EDUARDO DATO / CALL. ZURBANO;-;CHAMBERÍ;Alcance;Despejado;6
4bd30ab8bd2d723b878120a1ec78fab5;2021-03-30;CALL. COMUNEROS DE CASTILLA;4;CARABANCHEL;Colisión frontal;;
7c1b00c5d6c171be4f340051d4019162;2021-03-31;CÑADA. REAL DE MERINAS;64;VICÁLVARO;Colisión fronto-lateral;;
647d71dc755e5aba61068554a855b268;2021-03-31;CALL. SEVILLA / CALL. ARLABAN;-;CENTRO;Choque contra obstáculo fijo;Despejado;7
f6d5a3b66b3cc02359346687b647ebb5;2021-03-31;CALL. IRUN;1;MONCLOA-ARAVACA;Caída;Despejado;1
6b82a4ccc73b863755fdec6162257439;2021-03-31;CALL. IRUN;1;MONCLOA-ARAVACA;Caída;Despejado;7
7851fbff5241f54199febaf75a19cfee;2021-03-31;CALL. SEGOVIA;49;ARGANZUELA;Caída;Despejado;1
5bae277263cedb1459774170166dce63;2021-03-31;AVDA. MANZANARES;216;USERA;Caída;Despejado;2
ff995fe4e9cde82e933355a5ab674f75;2021-04-01;CALL. ALCALA / AUTOV. M-30;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;
0f664f92bfc8d5e3e3cace71d746e3cf;2021-04-03;PASEO. ERMITA DEL SANTO;16;LATINA;Caída;Despejado;3
38eb0e076f98f7a6a0763ba39796318f;2021-04-03;CALL. CASALARREINA / AVDA. DAROCA;-;VICÁLVARO;Caída;Despejado;2
a5d28c171c84ce1c01d1af479815523d;2021-04-03;C/ GRAN VIA72;-;CENTRO;Caída;Despejado;6
45174203558f7bda83e138be25272d22;2021-04-03;CALL. SAN ANTONIO DE PADUA / CALL. ANTONIO SALVADOR;-;USERA;Colisión frontal;Despejado;7
55740e8fe234259ffaec6d7b69e9b3a5;2021-04-03;CALL. GRAN VIA;80;CENTRO;Colisión fronto-lateral;Despejado;1
99c7659181c81e9d73b5c505053094ec;2021-04-03;PQUE. MADRID RIO, +00650I  (TOBOGANES);-;ARGANZUELA;Atropello a persona;Despejado;14
9b82540d1046fda13e08d4c91b7520ed;2021-04-03;PQUE. MADRID RIO, +00650I  (TOBOGANES);-;ARGANZUELA;Atropello a persona;Despejado;7
8ace069f1efa921c1c225e9a284f3c0e;2021-04-03;GTA. SIETE HERMANAS / PASEO. CASTAÑOS;-;MONCLOA-ARAVACA;Atropello a animal;Despejado;2
04b78ab34eae1919979626f73cc8dc43;2021-04-04;CALL. ARTURO SORIA / AUTOV. M-11;-;CIUDAD LINEAL;Caída;Despejado;1
