ESTACION,MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
40,12,2021,10,03,00031,00012,00007,00005,00005,00005,00005,00006,00006,00008,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
47,7,2021,10,03,00002,00001,00001,00001,00001,00001,00001,00001,00001,00001,00002,00003,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
47,8,2021,10,03,00028,00013,00008,00006,00006,00006,00006,00006,00007,00008,00011,00015,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
47,9,2021,10,03,00013,00009,00007,00003,00002,00006,00002,00002,00004,00002,00003,00008,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
47,10,2021,10,03,00019,00015,00012,00006,00004,00007,00003,00004,00006,00005,00006,00011,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
47,12,2021,10,03,00030,00015,00010,00008,00008,00007,00008,00008,00009,00010,00014,00019,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
48,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
48,8,2021,10,03,00030,00023,00016,00012,00009,00007,00007,00007,00007,00010,00013,00020,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
48,9,2021,10,03,00012,00009,00009,00008,00006,00006,00004,00001,00001,00005,00003,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
48,10,2021,10,03,00020,00016,00013,00012,00004,00006,00007,00004,00001,00006,00005,00007,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
48,12,2021,10,03,00032,00025,00018,00013,00010,00008,00008,00009,00009,00011,00015,00022,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
49,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
49,8,2021,10,03,00017,00012,00009,00007,00005,00005,00005,00005,00005,00007,00008,00012,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
49,12,2021,10,03,00018,00013,00010,00008,00007,00007,00006,00007,00007,00009,00010,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
49,14,2021,10,03,63.04,63.52,53.16,43.39,41.12,39.90,41.68,40.37,39.51,35.98,30.76,25.37,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
50,7,2021,10,03,00006,00005,00004,00003,00006,00002,00002,00006,00006,00007,00009,00013,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
50,8,2021,10,03,00036,00027,00021,00014,00011,00008,00008,00011,00012,00016,00019,00023,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
50,9,2021,10,03,00014,00010,00006,00001,00002,00005,00001,00003,00006,00001,00007,00013,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
50,10,2021,10,03,00022,00018,00014,00005,00003,00009,00001,00006,00010,00004,00012,00017,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
50,12,2021,10,03,00046,00034,00028,00019,00021,00011,00011,00020,00022,00027,00032,00043,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
