PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,DATE,D01,V01
28,79,8,35,2019-01-01T01:00:00Z,0.4,V
28,79,8,35,2019-02-01T01:00:00Z,0.1,V
28,79,8,35,2019-03-01T01:00:00Z,0.4,V
28,79,8,35,2019-04-01T00:00:00Z,0.2,V
28,79,8,35,2019-05-01T00:00:00Z,0.3,V
28,79,8,35,2019-06-01T00:00:00Z,0.2,V
28,79,8,35,2019-07-01T00:00:00Z,0.2,V
28,79,8,35,2019-08-01T00:00:00Z,0,N
28,79,8,35,2019-09-01T00:00:00Z,0.9,V
28,79,8,35,2019-10-01T00:00:00Z,2.6,V
28,79,8,35,2019-11-01T01:00:00Z,2.1,V
28,79,8,35,2019-12-01T01:00:00Z,0.8,V
28,79,8,42,2019-01-01T01:00:00Z,1.95,V
28,79,8,42,2019-02-01T01:00:00Z,1.54,V
28,79,8,42,2019-03-01T01:00:00Z,1.67,V
28,79,8,42,2019-04-01T00:00:00Z,1.64,V
28,79,8,42,2019-05-01T00:00:00Z,1.53,V
28,79,8,42,2019-06-01T00:00:00Z,1.64,V
28,79,8,42,2019-07-01T00:00:00Z,1.62,V
28,79,8,42,2019-08-01T00:00:00Z,0,N
28,79,8,42,2019-09-01T00:00:00Z,1.9,V
28,79,8,42,2019-10-01T00:00:00Z,1.88,V
28,79,8,42,2019-11-01T01:00:00Z,1.57,V
28,79,8,42,2019-12-01T01:00:00Z,1.65,V
28,79,8,43,2019-01-01T01:00:00Z,1.81,V
28,79,8,43,2019-02-01T01:00:00Z,1.49,V
28,79,8,43,2019-03-01T01:00:00Z,1.57,V
28,79,8,43,2019-04-01T00:00:00Z,1.59,V
28,79,8,43,2019-05-01T00:00:00Z,1.48,V
28,79,8,43,2019-06-01T00:00:00Z,1.54,V
28,79,8,43,2019-07-01T00:00:00Z,1.55,V
28,79,8,43,2019-08-01T00:00:00Z,0,N
28,79,8,43,2019-09-01T00:00:00Z,1.55,V
28,79,8,43,2019-10-01T00:00:00Z,1.62,V
28,79,8,43,2019-11-01T01:00:00Z,1.47,V
28,79,8,43,2019-12-01T01:00:00Z,1.58,V
28,79,8,44,2019-01-01T01:00:00Z,0.13,V
28,79,8,44,2019-02-01T01:00:00Z,0.05,V
28,79,8,44,2019-03-01T01:00:00Z,0.1,V
28,79,8,44,2019-04-01T00:00:00Z,0.06,V
28,79,8,44,2019-05-01T00:00:00Z,0.06,V
28,79,8,44,2019-06-01T00:00:00Z,0.1,V
28,79,8,44,2019-07-01T00:00:00Z,0.07,V
28,79,8,44,2019-08-01T00:00:00Z,0,N
28,79,8,44,2019-09-01T00:00:00Z,0.35,V
28,79,8,44,2019-10-01T00:00:00Z,0.27,V
28,79,8,44,2019-11-01T01:00:00Z,0.1,V
28,79,8,44,2019-12-01T01:00:00Z,0.07,V
28,79,11,7,2019-01-01T01:00:00Z,39,V
28,79,11,7,2019-02-01T01:00:00Z,5,V
28,79,11,7,2019-03-01T01:00:00Z,9,V
28,79,11,7,2019-04-01T00:00:00Z,11,V
28,79,11,7,2019-05-01T00:00:00Z,3,V
28,79,11,7,2019-06-01T00:00:00Z,6,V
28,79,11,7,2019-07-01T00:00:00Z,6,V
28,79,11,7,2019-08-01T00:00:00Z,4,V
28,79,11,7,2019-09-01T00:00:00Z,8,V
28,79,11,7,2019-10-01T00:00:00Z,30,V
28,79,11,7,2019-11-01T01:00:00Z,2,V
28,79,11,7,2019-12-01T01:00:00Z,4,V
28,79,11,8,2019-01-01T01:00:00Z,68,V
28,79,11,8,2019-02-01T01:00:00Z,22,V
28,79,11,8,2019-03-01T01:00:00Z,48,V
28,79,11,8,2019-04-01T00:00:00Z,43,V
28,79,11,8,2019-05-01T00:00:00Z,19,V
28,79,11,8,2019-06-01T00:00:00Z,43,V
28,79,11,8,2019-07-01T00:00:00Z,35,V
28,79,11,8,2019-08-01T00:00:00Z,22,V
28,79,11,8,2019-09-01T00:00:00Z,44,V
28,79,11,8,2019-10-01T00:00:00Z,63,V
28,79,11,8,2019-11-01T01:00:00Z,14,V
28,79,11,8,2019-12-01T01:00:00Z,31,V
28,79,11,12,2019-01-01T01:00:00Z,127,V
28,79,11,12,2019-02-01T01:00:00Z,29,V
28,79,11,12,2019-03-01T01:00:00Z,62,V
28,79,11,12,2019-04-01T00:00:00Z,61,V
28,79,11,12,2019-05-01T00:00:00Z,24,V
28,79,11,12,2019-06-01T00:00:00Z,52,V
28,79,11,12,2019-07-01T00:00:00Z,45,V
28,79,11,12,2019-08-01T00:00:00Z,28,V
28,79,11,12,2019-09-01T00:00:00Z,57,V
28,79,11,12,2019-10-01T00:00:00Z,109,V
28,79,11,12,2019-11-01T01:00:00Z,18,V
28,79,11,12,2019-12-01T01:00:00Z,37,V
28,79,11,20,2019-01-01T01:00:00Z,2.0,V
28,79,11,20,2019-02-01T01:00:00Z,0.5,V
28,79,11,20,2019-03-01T01:00:00Z,1.5,V
