Ward_ID,Ward_Name,Same_As_Wikidata_Ward,District_Name,Same_As_Wikidata_District,District_ID,Shape_Leng,Shape_Area
33,Aluche,https://wikidata.org/entity/Q31140,Latina,https://wikidata.org/entity/Q794954,10,"7267,78656","2849809,707"
30,Campamento,https://wikidata.org/entity/Q31169,Latina,https://wikidata.org/entity/Q794954,10,"16523,70181","9191379,465"
9,Cuatro Vientos,https://wikidata.org/entity/Q5191881,Latina,https://wikidata.org/entity/Q794954,10,"10117,75419","5430118,612"
21,Las Águilas,https://wikidata.org/entity/Q5971372,Latina,https://wikidata.org/entity/Q794954,10,"7627,752998","3609602,617"
29,Comillas,https://wikidata.org/entity/Q955844,Carabanchel,https://wikidata.org/entity/Q1001991,11,"4257,855716","666096,1285"
26,Opañel,https://wikidata.org/entity/Q3813756,Carabanchel,https://wikidata.org/entity/Q1001991,11,"4492,831497","1107286,044"
36,San Isidro,https://wikidata.org/entity/Q3813733,Carabanchel,https://wikidata.org/entity/Q1001991,11,"6149,55255","1899332,06"
19,Vista Alegre,https://wikidata.org/entity/Q3813741,Carabanchel,https://wikidata.org/entity/Q1001991,11,"6437,032314","1589225,482"
16,Puerta Bonita,https://wikidata.org/entity/Q3813762,Carabanchel,https://wikidata.org/entity/Q1001991,11,"5985,243377","1608625,387"
8,Buenavista,https://wikidata.org/entity/Q953929,Carabanchel,https://wikidata.org/entity/Q1001991,11,"11586,85546","5613180,402"
15,Abrantes,https://wikidata.org/entity/Q3773949,Carabanchel,https://wikidata.org/entity/Q1001991,11,"5494,747451","1564570,609"
6,Orcasitas,https://wikidata.org/entity/Q3773941,Usera,https://wikidata.org/entity/Q953368,12,"4664,667436","1356362,732"
12,Orcasur,https://wikidata.org/entity/Q10341270,Usera,https://wikidata.org/entity/Q953368,12,"6014,653673","1387349,575"
10,San Fermín (Madrid),https://wikidata.org/entity/Q71758,Usera,https://wikidata.org/entity/Q953368,12,"5876,026696","1475399,064"
17,Almendrales,https://wikidata.org/entity/Q9604761,Usera,https://wikidata.org/entity/Q953368,12,"3727,308432","780140,8801"
25,Moscardó,https://wikidata.org/entity/Q11937679,Usera,https://wikidata.org/entity/Q953368,12,"4248,710272","908787,6515"
13,El Zofío,https://wikidata.org/entity/Q71751,Usera,https://wikidata.org/entity/Q953368,12,"3742,722801","774025,5366"
14,Pradolongo,https://wikidata.org/entity/Q10352360,Usera,https://wikidata.org/entity/Q953368,12,"4785,097917","1095651,854"
20,Entrevías,https://wikidata.org/entity/Q71756,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,"11034,98765","5971941,777"
