Bus_ID,BusStation_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District,X,Y,Bus_Lines
2525,PLAZA DE MANUEL BECERRA,Plaza,de,Manuel Becerra,N,16,28028,4,443401,4475653,106
2526,CTRA.BOADILLA MONTE-CARABIAS,Ctra,de,Boadilla del Monte,N,2,28024,10,434963,4472546,65
2527,VALLE DE TOBALINA-CIUDAD DE FRIAS,Calle,del,Valle de Tobalina,N,48,28021,17,439452,4466041,T41
2528,LAGUNA DEL MARQUESADO-SAN ERASMO,Calle,de la,Laguna del Marquesado,N,37,28021,17,440046,4465233,T41
2529,NECTAR-ESFINGE,Calle,del,Néctar,S/N,S/N,28022,20,448386,4477376,48
2530,ESFINGE-CANAL DEL BOSFORO,Calle,de la,Esfinge,S/N,S/N,28022,20,448496,4477180,48
2531,AVDA DE BURGOS-BUGANVILLA,Avda,de,Burgos,N,6,28036,5,442827,4480504,14
2532,VALLE PINARES LLANOS-V.CONDESA,Calle,del,Valle de Pinares Llanos,N,1,28035,8,439328,4482120,N21
2533,AVDA.OROVILLA-DULZURA,Avda,,Orovilla,N,62,28041,17,441545,4467854,"23, N13"
2534,PILAR LORENGAR-ANDREA JORDAN,Calle,de,Pilar Lorengar,N,9,28021,17,441785,4467424,N13
2535,BOJ-AV.LOS ANDES,Calle,de,Boj,N,5,28042,16,447690,4478748,153
2536,SANDALO-AV.LOS PRUNOS,Calle,de,Sándalo,N,23,28042,16,447763,4478636,153
2537,CALLE DE ARCOS DE JALÓN,Calle,de,Arcos de Jalón,S/N,S/N,28037,20,447953,4475379,153
2538,SUECIA-PASEO DE GINEBRA,Calle,de,Suecia,N,44,28022,20,448870,4475192,"140, 153, E2"
2539,CALLE DE INOCENTA DE MESA,Calle,de,Inocenta de Mesa,N,17,28037,20,447895,4477109,153
2540,DEYANIRA 17,Calle,de,Deyanira,N,19,28022,20,450195,4477324,"77, N5"
2541,DEYANIRA-EUTERPE,Calle,de,Deyanira,N,15,28022,20,449891,4477366,"77, N5"
2542,SAN MARIO-CNO.DE PERALES,Calle,de,San Mario,N,1,28041,12,441459,4470180,78
2543,AVDA DE GUADALAJARA,Avda,de,Guadalajara,S/N,S/N,28022,20,448686,4475299,153
2544,CALLE DE INOCENTA DE MESA,Calle,de,Inocenta de Mesa,N,46,28037,20,447896,4477096,153
2545,CONDE DE LAS POSADAS-GUADALAJARA,Calle,del,Conde de las Posadas,N,7,28042,16,448000,4478508,153
2546,NICOLAS SALMERON-HNOS.Gª NOBLEJAS,Calle,de,Nicolás Salmerón,S/N,S/N,28017,15,447092,4474541,"70, 106, N7"
2547,CARLOS MARTIN ALVAREZ-ARROYO OLIVAR,Calle,de,Carlos Martín Álvarez,N,2,28018,13,443959,4471654,"57, N10"
2548,CEMENTERIO DE LA ALMUDENA PARADA 11,Lugar,,Cementerio de la Almudena,S/N,S/N,28017,15,445278,4475123,110
2549,GRAL.ORAA-Pº CASTELLANA,Calle,del,General Oraa,N,1,28006,4,441754,4476553,"16, 61"
2550,HNOS.GARCIA NOBLEJAS-ASCAO,Calle,de los,Hermanos García Noblejas,S/N,S/N,28037,15,446312,4476165,"4, 38, 48, 70"
2551,ISAAC PERAL-PZA.CRISTO REY,Calle,de,Isaac Peral,N,40,28015,7,439241,4476898,"1, 44, 62, 82, 132, C1"
2552,CTRA.FUENCARRAL A ALCOBENDAS S/N,Ctra,de,Fuencarral a Alcobendas,N,7,28050,8,442572,4485139,T61
2553,BERROCAL-LIMONITA,Calle,del,Berrocal,N,11,28021,17,442705,4466307,"85, 123, N12"
2554,MANUEL AGUILAR MUÑOZ-AV.LOGROÑO,Calle,de,Manuel Aguilar Muñoz,N,2,28042,21,449945,4479233,"105, 112, 115, 151"
2555,AV.LOGROÑO-TINTIN Y MILU,Avda,de,Logroño,N,227,28042,21,450265,4479510,"105, 112, 115, N4"
2556,FCO. PI Y MARGALL-NICETO ALCALA ZAMORA,Avda,de,Francisco Pi y Margall,N,7,28050,16,445224,4482119,"172, 174, 172SF"
2557,ANA DE AUSTRIA-NICETO ALCALA ZAMORA,Calle,de,Ana de Austria,N,34,28050,16,444668,4483327,"172, 173, 172SF, N1"
2558,J.JOSE MTNEZ.SECO-E.MACARENA,Calle,de,Juan José Martínez Seco,N,2,28021,17,441431,4467231,"85, 123"
2559,AVENIDA OROVILLA-SILVINA,Avda,,Orovilla,N,24,28041,12,441319,4468791,123
2560,AV. OROVILLA-SILVINA,Avda,,Orovilla,N,23,28041,12,441340,4468804,123
2561,ARROYO POZUELO-GLORIETA RIO ZANCARA,Calle,de la,Fluorita,N,24,28023,9,434117,4478469,160
2562,GOYA-VELAZQUEZ,Calle,de,Goya,N,31,28001,4,442031,4475398,"21, 53"
2563,GENERAL RICARDOS-PAULINA ODIAGA,Calle,del,General Ricardos,N,78,28019,11,438724,4471922,"34, 35, 118, 119, N26"
2564,AV.MEDITERRANEO-ABTAO,Avda,del,Mediterráneo,N,26,28007,3,442958,4473343,"14, 32, 63"
2565,GRAL.RICARDOS-COMTE.FENTANES,Calle,del,General Ricardos,N,52,28019,11,438899,4472046,"34, 35, 118, 119, N26"
2566,GRAL.RICARDOS-MANUEL CARMONA,Calle,del,General Ricardos,N,28,28019,11,439077,4472170,"34, 35, 118, 119, N26"
2567,GENERAL RICARDOS-SALABERRY,Calle,del,General Ricardos,N,55,28019,11,438903,4472027,"34, 35, 118, 119, N26"
2568,SANCHIDRIAN-CTRA.CARABANCHEL A ARAVACA,Calle,de,Sanchidrián,N,2,28024,10,434408,4472249,65
2569,CTRA.CCHEL.A ARAVACA-COLONIA JARDIN,Calle,de,Fuentesauco,N,44,28024,10,434405,4472328,H
2570,Cº CAMPAMENTO-SAN ROBERTO,Paseo,de la,Venta,N,2,28011,10,435637,4473082,"55, 65"
2571,JOAQUIN TURINA-CTRA.BARRIO FORTUNA,Calle,de,Joaquín Turina,N,49,28054,10,435167,4469641,34
2572,JOAQUIN TURINA-GRAL.MILLAN ASTRAY,Calle,de,Joaquín Turina,N,49,28044,10,435160,4469664,34
2573,FORGES-MINERVA,Calle,de,Forges,N,15,28032,19,449097,4473050,106
