FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/05/2021;ES33;1-;189;76;37;39;40;73;154;263;362;506;755;1003
01/05/2021;ES33;1=;1067;1237;1288;759;611;896;930;973;1034;805;688;767
01/05/2021;ES33;2-;93;53;33;29;38;38;86;141;210;297;433;580
01/05/2021;ES33;2=;717;764;707;417;367;505;543;438;512;368;382;358
01/05/2021;ES34;1-;238;69;77;59;60;66;71;77;106;149;183;300
01/05/2021;ES34;1=;339;241;251;319;175;256;281;198;218;188;131;137
01/05/2021;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES36;1-;83;61;73;39;61;188;183;352;513;746;954;1132
01/05/2021;ES36;1=;1394;1278;918;1014;1202;1076;1224;1314;1112;1418;1340;228
01/05/2021;ES36;2-;81;47;52;43;58;164;163;289;470;860;1301;1605
01/05/2021;ES36;2=;1914;1605;961;1021;1464;1631;1711;1443;866;818;669;140
01/05/2021;ES37;1-;55;47;37;26;46;112;204;406;615;807;1034;1268
01/05/2021;ES37;1=;1289;1175;713;834;934;935;928;945;809;992;970;235
01/05/2021;ES37;2-;50;24;15;34;56;219;375;477;692;909;1200;1452
01/05/2021;ES37;2=;1780;1569;786;794;1112;1332;1440;1375;873;742;573;142
01/05/2021;ES38;1-;31;17;3;9;7;13;35;75;147;37;284;461
01/05/2021;ES38;1=;508;491;419;231;258;305;338;349;318;269;275;214
01/05/2021;ES38;2-;25;18;0;6;6;19;41;64;100;32;280;365
01/05/2021;ES38;2=;349;385;362;204;227;297;327;292;298;257;233;133
01/05/2021;ES39;1-;388;0;39;27;21;38;61;209;353;396;551;705
01/05/2021;ES39;1=;1050;1161;1455;1285;712;775;1062;1115;1155;1112;971;994
01/05/2021;ES39;2-;482;0;52;28;22;27;60;181;311;573;803;1138
01/05/2021;ES39;2=;1580;1700;1712;1324;814;883;1145;1213;1115;966;835;878
01/05/2021;ES40;1-;60;56;45;32;55;118;183;243;352;469;635;736
01/05/2021;ES40;1=;742;776;501;521;625;682;731;716;540;614;586;125
01/05/2021;ES40;2-;69;47;37;39;65;203;314;362;559;809;1056;1254
01/05/2021;ES40;2=;1415;1133;692;793;901;929;941;937;824;823;821;217
01/05/2021;ES41;1-;100;73;63;46;74;120;201;362;552;698;790;773
01/05/2021;ES41;1=;910;920;682;601;691;656;699;718;648;660;527;180
01/05/2021;ES41;2-;63;49;34;40;65;121;179;269;354;535;690;89
01/05/2021;ES41;2=;294;624;576;538;624;646;653;617;507;547;431;164
01/05/2021;ES42;1-;45;29;31;26;26;62;55;157;251;366;513;610
01/05/2021;ES42;1=;664;632;409;443;498;548;600;574;402;482;398;92
01/05/2021;ES42;2-;24;27;14;10;15;63;45;109;244;312;456;628
01/05/2021;ES42;2=;709;609;356;297;486;532;587;558;422;349;342;64
01/05/2021;ES43;1-;110;44;45;42;40;58;107;176;231;69;443;555
01/05/2021;ES43;1=;602;694;524;404;373;568;565;590;519;351;398;308
01/05/2021;ES43;2-;184;46;45;28;22;23;57;99;148;42;291;441
01/05/2021;ES43;2=;526;567;482;364;380;394;409;447;486;400;553;404
01/05/2021;ES44;1-;131;90;78;73;64;164;238;5373;511;773;1168;1573
01/05/2021;ES44;1=;1486;1371;1076;1060;1141;1336;1457;1391;985;808;826;277
01/05/2021;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES45;1-;157;139;89;70;80;173;189;337;600;766;1271;1738
01/05/2021;ES45;1=;1806;1792;1246;1126;1391;1559;1767;1801;1309;1199;988;263
01/05/2021;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES46;1-;56;40;30;30;53;131;216;253;421;574;741;817
01/05/2021;ES46;1=;790;686;483;511;565;571;593;544;519;559;367;129
01/05/2021;ES46;2-;51;40;24;38;56;126;175;238;369;495;645;742
01/05/2021;ES46;2=;865;693;492;490;588;617;607;575;546;586;424;117
01/05/2021;ES47;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES47;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES47;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES47;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES48;1-;42;25;24;29;42;122;155;287;390;499;653;777
01/05/2021;ES48;1=;758;576;433;388;551;633;565;540;464;454;379;95
