Underground_ID,Underground_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,X,Y
122,ALONSO MARTINEZ,Plaza,de,Alonso Martínez,N,4,28004,7,441076,4475672
123,TETUAN,Calle,de,Bravo Murillo,N,264,28020,6,440909,4479318
124,LA GAVIA,Avda,del,Ensanche de Vallecas,N,16,28031,18,448028,4469234
125,GOYA,Calle,de,Alcalá,N,96,28009,4,442773,4475306
126,PRINCIPE DE VERGARA,Calle,de,Alcalá,N,123,28009,4,442414,4475131
127,RETIRO,Calle,de,Alcalá,N,81,28009,3,441892,4474842
128,SANTO DOMINGO,Calle,de,San Bernardo,N,11,28013,1,440051,4474969
129,SAN BERNARDO,Calle,de,San Bernardo,N,94,28015,7,440261,4475933
130,LAS SUERTES,Calle,de,Cañada del Santísimo,N,45,28031,18,449206,4468453
131,VALDECARROS,Avda,del,Ensanche de Vallecas,N,120,28031,18,449744,4468099
132,IGLESIA,Gta,del,Pintor Sorolla,N,2,28010,7,440825,4476473
133,GRAN VIA,Calle,,Gran Vía,N,23,28013,1,440572,4474820
134,BAMBU,Calle,del,Bambú,N,14,28036,5,442778,4481108
135,PRINCIPE PIO,Paseo,de la,Florida,N,2,28008,9,439002,4474950
136,PRINCIPE PIO,Paseo,de la,Florida,N,2,28008,9,439002,4474946
137,PRINCIPE PIO,Paseo,de la,Florida,N,2,28008,9,439002,4474942
138,CUZCO,Paseo,de la,Castellana,N,162,28046,5,441619,4479076
139,SANTIAGO BERNABEU,Paseo,de la,Castellana,N,97,28046,5,441569,4478317
140,PUERTA DEL SUR,Avda,de la,Libertad,N,2,28924,2,431138,4466601
141,JOAQUIN VILUMBRALES,Avda,de la,Libertad,N,13,28925,2,431560,4467108
142,ABRANTES,Avda,de,Abrantes,N,77,28025,11,438322,4470489
143,PORTAZGO,Avda,de la,Albufera,N,131,28018,13,444208,4471756
144,SAN BLAS,Calle,de,Pobladura del Valle,N,27,28037,20,447903,4475651
145,SIMANCAS,Calle,del,Castillo de Madrigal de las Altas Torres,N,15,28037,20,447033,4475657
146,PINAR DE CHAMARTIN,Calle,de,Arturo Soria,N,330,28033,15,443592,4481471
147,PINAR DE CHAMARTIN,Calle,de,Arturo Soria,N,330,28033,15,443595,4481471
148,OPERA,Plaza,de,Isabel II,N,9,28013,1,439930,4474612
149,OPERA,Plaza,de,Isabel II,N,9,28013,1,439936,4474612
150,PLAZA ELIPTICA,Plaza,de,Fernández Ladreda,N,2,28025,11,439145,4470901
151,AVENIDA DE AMERICA,Avda,de,América,N,9,28002,5,442727,4476804
152,AVENIDA DE AMERICA,Avda,de,América,N,9,28002,5,442732,4476804
153,AVENIDA DE AMERICA,Avda,de,América,N,9,28002,5,442737,4476804
154,MANUEL BECERRA,Plaza,de,Manuel Becerra,N,1,28028,4,443340,4475675
155,CUATRO CAMINOS,Gta,de,Cuatro Caminos,N,2,28020,6,440412,4477814
156,CUATRO CAMINOS,Gta,de,Cuatro Caminos,N,10,28020,6,440416,4477814
157,COLONIA JARDIN,Calle,de,Arenas de San Pedro,N,2,28024,10,434373,4472315
158,PARQUE OESTE,Calle,de,Estambul,N,5,28922,1,427977,4466703
159,UNIVERSIDAD REY JUAN CARLOS,Calle,,Tulipán,N,2,28933,2,426025,4465526
160,PRADILLO,Calle,de,Agustina de Aragón,N,23,28931,4,426630,4464028
161,HOSPITAL DE MOSTOLES,Calle,del,Río Sella,N,10,28934,4,425790,4463464
162,CONSERVATORIO,Avda,de las,Arcas del Agua,N,5,28905,3,436724,4460780
163,LORANCA,Calle,de la,Alegría,N,4,28942,9,428915,4461245
164,HOSPITAL DE FUENLABRADA,Cmno,del,Molino,N,3,28942,7,430711,4460001
165,PARQUE EUROPA,Calle,de,Francia,N,34,28943,7,431569,4459929
166,CANAL,Calle,de,Bravo Murillo,N,40,28015,7,440374,4476864
167,QUEVEDO,Gta,de,Quevedo,N,1,28015,7,440369,4476288
168,ARROYO CULEBRO,Paseo,de,Juan José Rosón,N,1,28905,3,435780,4460288
169,ALONSO DE MENDOZA,Calle,del,Greco,N,6,28904,3,437507,4461613
170,LOS ESPARTALES,Avda,,Rigoberta Menchú,N,3,28903,2,439095,4464199
171,ALTO DEL ARENAL,Calle,de,Santillana del Mar,N,21,28038,13,445348,4471427
172,JULIAN BESTEIRO,Avda,,Rey Juan Carlos I,N,23,28915,4,436177,4465391
173,DELICIAS,Paseo,de las,Delicias,N,60,28045,2,441200,4472583
174,SAN NICASIO,Avda,,Mar Mediterráneo,SN,S/N,28918,3,434207,4465565
175,MIGUEL HERNANDEZ,Calle,de,León Felipe,N,4,28038,13,445831,4471151
176,SAN FRANCISCO,Avda,de los,Poblados,N,102,28054,11,437365,4469694
177,AVIACION ESPAÑOLA,Paseo,de,Extremadura,N,463,28024,10,433570,4470841
178,PINAR DEL REY,Avda,de la,Gran Vía de Hortaleza,N,47,28043,16,445119,4480112
179,LA ELIPA,Avda,del,Marqués de Corbera,N,58,28017,15,444928,4475520
180,ESTADIO METROPOLITANO,Avda,de,Arcentales,N,28,28022,20,449206,4476242
181,RIVAS VACIAMADRID,Calle,,Areneros,N,6,28529,1,455885,4464542
182,BUENOS AIRES,Avda,de la,Albufera,N,179,28038,13,444612,4471631
183,PAVONES,Calle,de la,Hacienda de Pavones,N,342,28030,14,446214,4472613
184,VILLAVERDE ALTO,Calle,del,Valle de Tobalina,N,56,28021,17,439638,4466082
185,VENTAS,Calle,de,Alcalá,N,204,28028,4,443817,4476002
186,MANUELA MALASAÑA,Plaza,,Sol de 9001,SN,S/N,28938,4,426690,4462623
187,PLAZA DE CASTILLA,Paseo,de la,Castellana,N,189,28046,6,441684,4480016
