PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
"Coruna, A",15,Muros,15053,San Francisco,San Francisco,800,Playa resguardada,Fina,42.758833,-9.073722,http://www.turismo.gal/ficha-recurso?cod_rec=10128
"Coruna, A",15,Oleiros,15058,Bastiagueiro,Perillo (Santa Locaia),580,Playa abierta,Fina,43.340722,-8.362361,http://www.turismo.gal/ficha-recurso?cod_rec=10258
"Coruna, A",15,Oleiros,15058,Espineiro,,310,Playa resguardada,Fina,43.382777,-8.3425,http://www.turismo.gal/ficha-recurso?cod_rec=265406054
"Coruna, A",15,Oleiros,15177,Mera,A Lagoa - Maianca (San Cosme),200,Playa resguardada,Fina,43.379055,-8.33775,http://www.turismo.gal/ficha-recurso?cod_rec=10254
"Coruna, A",15,Oleiros,15058,Santa Cristina,Perillo (Santa Locaia),1800,Playa abierta,Fina,43.339777,-8.380083,http://www.turismo.gal/ficha-recurso?cod_rec=9877
"Coruna, A",15,Oleiros,15178,Porto Naval,A Aguieira - Dorneda (San Martino),180,Playa resguardada,Cantos rodados,43.353389,-8.346555,http://www.turismo.gal/ficha-recurso?cod_rec=11434
"Coruna, A",15,Ponteceso,15110,Balares,Cospindo (San Tirso),350,Playa resguardada,Fina,43.241665,-8.945277,http://www.turismo.gal/recurso/-/detalle/11448/balares
"Coruna, A",15,Ponteceso,15114,Ermida,Corme Aldea (Santo Adran),200,Playa resguardada,Fina,43.26389,-8.95,http://www.turismo.gal/recurso/-/detalle/10286/ermida
"Coruna, A",15,Ponteceso,15114,Osmo,Corme Porto (Nosa Senora dos Remedios),150,Playa resguardada,Fina,43.294167,-8.902778,http://www.turismo.gal/recurso/-/detalle/10284/osmo
"Coruna, A",15,Ortigueira,15061,Morouzos,San Martino,2100,Playa abierta,Fina,43.703528,-7.848361,http://www.turismo.gal/ficha-recurso?cod_rec=9848
"Coruna, A",15,Valdovino,15550,Meiras - Do Rio,Taraza - Meiras (San Vicente),220,Playa resguardada,Fina,43.613333,-8.184027,http://www.turismo.gal/ficha-recurso?cod_rec=10107
"Coruna, A",15,Valdovino,15550,Frouxeira,Valdovino - Valdovino (Santalla),3500,Playa abierta,Fina,43.615833,-8.151111,http://www.turismo.gal/ficha-recurso?cod_rec=10106
"Coruna, A",15,Valdovino,15550,Baleo,Figueredo - Pantin (Santiago),400,Playa resguardada,Fina,43.645337,-8.102255,http://www.turismo.gal/ficha-recurso?cod_rec=10202
"Coruna, A",15,Valdovino,15550,Pantin,O Rodo - Pantin (Santiago),950,Playa resguardada,Fina,43.639444,-8.109861,http://www.turismo.gal/ficha-recurso?cod_rec=10105
"Coruna, A",15,Valdovino,15550,Villarube,A Atalaia - Villarrube (San Martino),1420,Playa resguardada,Fina,43.642694,-8.072027,http://www.turismo.gal/ficha-recurso?cod_rec=10200
Lugo,27,Burela,27902,A Marosa,Burela (Santa Maria),300,Playa abierta,Fina,43.67486,-7.372333,http://www.turismo.gal/ficha-recurso?cod_rec=9841
Lugo,27,Burela,27902,Ril,Burela (Santa Maria),,Playa abierta,Fina,43.671444,-7.364583,http://www.turismo.gal/ficha-recurso?cod_rec=258852442
Lugo,27,Cervo,27890,O Torno,San Cibrao - Lieiro (Santa Maria),700,Playa resguardada,Fina,43.698333,-7.438889,http://www.turismo.gal/ficha-recurso?cod_rec=10174
Lugo,27,Foz,27019,Llas,Marzan,760,Playa abierta,Fina,43.580277,-7.262778,http://www.turismo.gal/ficha-recurso?cod_rec=9836
Lugo,27,Foz,27789,Pampillosa,Foz,170,Playa abierta,Fina,43.593333,-7.294083,http://www.turismo.gal/ficha-recurso?cod_rec=10162
Lugo,27,Foz,27019,As Polas,,280,Playa abierta,Fina,43.620277,-7.318333,http://www.turismo.gal/ficha-recurso?cod_rec=10163
Lugo,27,Foz,27019,Peizas,San Martino de Mondonedo,540,Playa abierta,Fina,43.5875,-7.27861,http://www.turismo.gal/ficha-recurso?cod_rec=10161
Lugo,27,Ribadeo,27051,As Catedrais,,880,,,43.554221,-7.155308,http://www.turismo.gal/ficha-recurso?cod_rec=32008
Lugo,27,Ribadeo,27051,Os Castros-Illas,A Rochela - A Devesa (Santalla),500,Playa abierta,Fina,43.55534,-7.132955,http://www.turismo.gal/ficha-recurso?cod_rec=9823
Lugo,27,"Vicedo, O",27064,Abrela,Abrela - Suegos (Santa Maria),950,Playa resguardada,Fina,43.701667,-7.612778,http://www.turismo.gal/ficha-recurso?cod_rec=9853
Lugo,27,"Vicedo, O",27064,Xilloi,Xilloi - O Vicedo (Santo Estevo),940,Playa resguardada,Fina,43.743777,-7.650277,http://www.turismo.gal/ficha-recurso?cod_rec=9852
Lugo,27,Viveiro,27863,Area,Area - Faro (San Xiao),1200,Playa resguardada,Fina,43.694166,-7.57611,http://www.turismo.gal/ficha-recurso?cod_rec=10146
Lugo,27,Xove,27025,Esteiro,Ceranzos - Xuances (San Pedro),400,Playa abierta,Fina,43.711944,-7.559139,http://www.turismo.gal/ficha-recurso?cod_rec=10148
Pontevedra,36,Baiona,36003,A Barbeira,Baiona (Santa Maria),220,Playa resguardada,Fina,42.123805,-8.848777,http://www.turismo.gal/ficha-recurso?cod_rec=10523
Pontevedra,36,Baiona,36003,Os Frades,Baiona (Santa Maria),100,Playa abierta,Gruesa,42.125638,-8.851583,http://www.turismo.gal/ficha-recurso?cod_rec=10524
Pontevedra,36,Baiona,36000,Cuncheira,Baiona (Santa Maria),55,Playa abierta,Gruesa,42.12225,-8.851556,http://www.turismo.gal/recurso/-/detalle/10525/cuncheira
Pontevedra,36,Baiona,36003,A Ribeira,Baiona (Santa Maria),150,Playa resguardada,Fina,42.121834,-8.849305,http://www.turismo.gal/recurso/-/detalle/10522/a-ribeira
Pontevedra,36,Bueu,36004,Area de Bon,Bon de Arriba - Beluso (Santa Maria),1000,Playa abierta,Fina,42.314361,-8.818888,http://www.turismo.gal/ficha-recurso?cod_rec=10464
Pontevedra,36,Bueu,36004,Lagos,Montemogos - Beluso (Santa Maria),250,Playa resguardada,Fina,42.324508,-8.825548,http://www.turismo.gal/ficha-recurso?cod_rec=10135
Pontevedra,36,Bueu,36004,Portomaior,Castrelo - Cela (Santa Maria),750,Playa abierta,Fina,42.334527,-8.768388,http://www.turismo.gal/ficha-recurso?cod_rec=10132
Pontevedra,36,Bueu,36004,Lamapan,,800,Playa abierta,Fina,42.341944,-8.7525,http://www.turismo.gal/ficha-recurso?cod_rec=11370
Pontevedra,36,Cangas,36008,Areabrava,Vilanova - O Hio (Santo Andre),800,Playa resguardada,Fina,42.291333,-8.844889,http://www.turismo.gal/ficha-recurso?cod_rec=10478
Pontevedra,36,Cangas,36008,Areamilla,Balea - Darbo (Santa Maria),150,Playa resguardada,Fina,42.249916,-8.794333,http://www.turismo.gal/ficha-recurso?cod_rec=10486
Pontevedra,36,Cangas,36008,Limens,Limens,500,Playa resguardada,Fina,42.259972,-8.814028,http://www.turismo.gal/ficha-recurso?cod_rec=36672
Pontevedra,36,Cangas,36008,Melide,Donon,250,Playa abierta,Fina,42.251833,-8.866417,http://www.turismo.gal/ficha-recurso?cod_rec=10483
Pontevedra,36,Cangas,36008,Menduina,Menduina - Aldan (San Cibran),250,Playa resguardada,Fina,42.295583,-8.820249,http://www.turismo.gal/ficha-recurso?cod_rec=10466
Pontevedra,36,Cangas,36008,Nerga,Nerga - O Hio (Santo Andre),1000,Playa resguardada,Fina,42.258858,-8.840135,http://www.turismo.gal/ficha-recurso?cod_rec=10485
Pontevedra,36,Cangas,36008,Rodeira,Cangas,1100,Playa resguardada,Fina,42.261778,-8.769694,http://www.turismo.gal/ficha-recurso?cod_rec=10136
Pontevedra,36,"Guarda, A",36023,Area Grande,A Guarda (Santa Maria),300,Playa resguardada,Fina,41.91025,-8.876166,http://www.turismo.gal/ficha-recurso?cod_rec=10526
Pontevedra,36,"Guarda, A",36023,O Muino,O Muino - Camposancos (Santa Isabel),2000,Playa abierta,Fina,41.876444,-8.862944,http://www.turismo.gal/ficha-recurso?cod_rec=10529
Pontevedra,36,"Illa de Arousa, A",36901,Area da Secada,"Illa de Arousa, A (San Xulian)",500,Playa resguardada,Fina,42.567972,-8.887111,http://www.turismo.gal/ficha-recurso?cod_rec=10092
Pontevedra,36,"Illa de Arousa, A",36901,Camaxe,A Illa de Arousa,,Playa resguardada,Gruesa,42.544389,-8.867499,http://www.turismo.gal/ficha-recurso?cod_rec=258852417
Pontevedra,36,Marin,36026,Aguete,Aguete - Seixo (Nosa Senora do Carme),920,Playa resguardada,Fina,42.37386,-8.731472,http://www.turismo.gal/ficha-recurso?cod_rec=10140
Pontevedra,36,Marin,36026,Mogor,O Monte - Mogor (San Xurxo),400,Playa resguardada,Fina,42.385972,-8.719416,http://www.turismo.gal/ficha-recurso?cod_rec=10139
Pontevedra,36,Marin,36026,O Santo,Casas - Ardan (Santa Maria),350,Playa resguardada,Fina,42.348889,-8.751444,http://www.turismo.gal/ficha-recurso?cod_rec=10454
Pontevedra,36,Marin,36026,Portocelo,O Monte - Mogor (San Xurxo),225,Playa resguardada,Fina,42.390027,-8.71425,http://www.turismo.gal/ficha-recurso?cod_rec=10138
Pontevedra,,Moana,36950,O Con,O Con- Tiran (San Xoan),150,Playa abierta,Fina,42.271083,-8.740527,http://www.turismo.gal/ficha-recurso?cod_rec=10143
Pontevedra,36,Nigran,36035,Patos,Patos - Panxon (San Xoan),600,Playa resguardada,Fina,42.154778,-8.824333,http://www.turismo.gal/ficha-recurso?cod_rec=9815
Pontevedra,36,Nigran,36035,Praia America,"Praia America, A",1900,Playa resguardada,Fina,42.133194,-8.817444,http://www.turismo.gal/ficha-recurso?cod_rec=9814
Pontevedra,36,Nigran,36035,Panxon,Nigran,1000,Playa resguardada,Fina,42.14147,-8.819777,http://www.turismo.gal/recurso/-/detalle/10520/panxon
Pontevedra,36,Poio,36041,Cabeceira,Campelo - Poio (San Xoan),200,Playa resguardada,Fina,42.422453,-8.6823,http://www.turismo.gal/ficha-recurso?cod_rec=9796
Pontevedra,36,Poio,36041,Xiorto,,300,Playa resguardada,Fina,42.402889,-8.756639,http://www.turismo.gal/ficha-recurso?cod_rec=9784
Pontevedra,36,Ponte Caldelas,36820,Praia fluvial A Calzada,Paseo de Manuel Gordo Boullosa - Ponte Caldelas (Santa Eulalia),,,,42.39131,-8.491745,http://www.turismo.gal/ficha-recurso?cod_rec=280383672
Pontevedra,36,Redondela,36045,Cesantes (dereita),Cesantes (San Pedro),,Playa resguardada,Gruesa,42.304472,-8.616528,http://www.turismo.gal/ficha-recurso?cod_rec=10124
Pontevedra,36,Sanxenxo,36979,Paxararinas,Paxarinas - Adina (Santa Maria),100,Playa resguardada,Fina,42.391639,-8.844083,http://www.turismo.gal/ficha-recurso?cod_rec=9753
Pontevedra,36,Sanxenxo,36051,Areas Gordas,A Lanzada,250,Playa abierta,Fina,42.430972,-8.87261,http://www.turismo.gal/ficha-recurso?cod_rec=9746
Pontevedra,36,Sanxenxo,36051,Baltar,Baltar - Adina (Santa Maria),600,Playa resguardada,Fina,42.398722,-8.822555,http://www.turismo.gal/ficha-recurso?cod_rec=9778
Pontevedra,36,Sanxenxo,36051,Bascuas,Aios - Noalla (Santo Estevo),210,Playa abierta,Fina,42.404139,-8.858139,http://www.turismo.gal/ficha-recurso?cod_rec=9750
Pontevedra,36,Sanxenxo,36051,Canelas,Canelas - Adina (Santa Maria),400,Playa abierta,Fina,42.389972,-8.831833,http://www.turismo.gal/ficha-recurso?cod_rec=9754
Pontevedra,36,Sanxenxo,36051,Foxos,A Lanzada - Noalla (Santo Estevo),350,Playa abierta,Fina,42.427138,-8.873694,http://www.turismo.gal/ficha-recurso?cod_rec=9748
Pontevedra,36,Sanxenxo,36051,Major,Major,600,Playa abierta,Fina,42.413694,-8.866583,http://www.turismo.gal/ficha-recurso?cod_rec=9749
Pontevedra,36,Sanxenxo,36051,Montalvo,Montalvo,900,Playa abierta,Fina,42.398944,-8.848194,http://www.turismo.gal/ficha-recurso?cod_rec=9751
Pontevedra,36,Sanxenxo,36051,O Espineiro - A Lanzada,,2300,Playa abierta,Fina,42.441258,-8.872075,http://www.turismo.gal/ficha-recurso?cod_rec=9739
Pontevedra,36,Sanxenxo,36051,Pragueira,Pragueira,300,Playa abierta,Fina,42.409472,-8.862528,http://www.turismo.gal/ficha-recurso?cod_rec=10450
Pontevedra,36,Sanxenxo,36051,Silgar,Padrinan (San Xenxo),600,Playa abierta,Fina,42.401472,-8.812917,http://www.turismo.gal/ficha-recurso?cod_rec=9757
Pontevedra,36,Vigo,36057,A Punta,,200,Playa resguardada,Fina,42.260028,-8.697027,http://www.turismo.gal/ficha-recurso?cod_rec=17431
Pontevedra,36,Vigo,36057,Argazada,Vigo,410,Playa resguardada,Fina,42.215944,-8.776055,http://www.turismo.gal/ficha-recurso?cod_rec=30565
Pontevedra,36,Vigo,36057,Canido,Canido - Oia (San Miguel),300,Playa resguardada,Fina,42.194139,-8.796805,http://www.turismo.gal/ficha-recurso?cod_rec=10127
Pontevedra,36,Vigo,36057,Figueiras (Illas Cies),,300,Playa abierta,Fina,42.231083,-8.900611,http://www.turismo.gal/ficha-recurso?cod_rec=10481
Pontevedra,36,Vigo,36057,Fontaina,Breadouro - Coruxo (San Salvador),280,Playa resguardada,Fina,42.199555,-8.786416,http://www.turismo.gal/ficha-recurso?cod_rec=10508
Pontevedra,36,Vigo,36057,O Vao,Fontenla - Coruxo (San Salvador),800,Playa resguardada,Fina,42.197222,-8.792166,http://www.turismo.gal/ficha-recurso?cod_rec=10126
Pontevedra,36,Vigo,36660,Os Muinos - Fortinon,A Corveira - Saians (San Xurxo),150,Playa resguardada,Fina,42.17461,-8.813806,http://www.turismo.gal/ficha-recurso?cod_rec=10514
Pontevedra,36,Vigo,36005,Rodas (Illas Cies),Illas Cies,1200,Playa abierta,Fina,42.222916,-8.902917,http://www.turismo.gal/ficha-recurso?cod_rec=10480
Pontevedra,36,Vigo,36057,Tombo do Gato,,180,Playa resguardada,Fina,42.220083,-8.775749,http://www.turismo.gal/ficha-recurso?cod_rec=30566
Pontevedra,36,Vilagarcia de Arousa,36060,Bamio,O Campanario - Bamio (San Xens),130,Playa resguardada,Fina,42.632694,-8.7615,http://www.turismo.gal/ficha-recurso?cod_rec=11353
Pontevedra,36,Vilagarcia de Arousa,36060,Preguntoiro,Vilaxoan -  Sobran (San Martino),200,Playa resguardada,Fina,42.585916,-8.790777,http://www.turismo.gal/ficha-recurso?cod_rec=11356
