IdBiciMad,numPlaces,longitude,latitude,PostalAddress
125,24,-3.6948316,40.4353128, CALLE  DE FERNANDEZ DE LA HOZ  29
126,24,-3.7017424,40.4345672, CALLE  DEL GENERAL ALVAREZ DE CASTRO  4
127,24,-3.7083987,40.4339055, CALLE  DE FERNANDO EL CATOLICO  19
128,24,-3.7155506,40.4390329, CALLE  DE CEA BERMUDEZ  59
128 ampliacion,3,-3.7156915,40.4390391, CALLE  DE CEA BERMUDEZ  59
129,24,-3.6982818,40.4384684, CALLE  DE JOSE ABASCAL  33
130,20,-3.7017071,40.4417195, CALLE  DE SANTA ENGRACIA  129
131,24,-3.704022,40.4417543, CALLE  DE BRAVO MURILLO  44
132,24,-3.7035911,40.4463889, CALLE  DE SANTA ENGRACIA  168
133,24,-3.7000292,40.4471673, CALLE  DE DULCINEA  3
134,24,-3.6955114,40.444027, CALLE  DE MARIA DE GUZMAN  58
135,24,-3.6928901,40.4414845, PLAZA  DE SAN JUAN DE LA CRUZ  S/N
136,24,-3.6908127,40.4452833, PASEO  DE LA CASTELLANA  106
137,24,-3.6852925,40.4454958, PLAZA  DE LA REPUBLICA ARGENTINA  6
138,24,-3.6915818,40.4456884, PASEO  DE LA CASTELLANA  frente 108
139,24,-3.6904495,40.4393558, CALLE  DE JOSE GUTIERREZ ABASCAL  S/N
140,24,-3.6829045,40.438628, CALLE  DE VELAZQUEZ  134
140 ampliación,3,-3.6829127,40.4385198, CALLE  DE VELAZQUEZ  134
141,12,-3.6892902,40.4354253, PASEO  DE LA CASTELLANA  43
142,24,-3.6880402,40.4335262, PASEO  DE LA CASTELLANA  S/N
143,24,-3.6782355,40.434616, CALLE  DE DIEGO DE LEON  54
144,24,-3.6754628,40.4323192, CALLE  DE JUAN BRAVO  50
145,24,-3.671401,40.4297717, CALLE  DE JOSE ORTEGA Y GASSET  87
146,18,-3.67879,40.4442406, CALLE  DE MARIA FRANCISCA  1
147,24,-3.6795811,40.4483353, AVENIDA  DEL DOCTOR ARCE  45
148,24,-3.6816993,40.4510203, CALLE  DE SERRANO  210
149,24,-3.6878512,40.4498448, PASEO  DE LA HABANA  42
150,24,-3.690541,40.4491125, PASEO  DE LA CASTELLANA  S/N
151,24,-3.6952023,40.4488617, CALLE  DE ORENSE  10
152,24,-3.6989497,40.4527163, AVENIDA  DEL GENERAL PERON  frente 4
153,24,-3.6930894,40.45235, AVENIDA  DEL GENERAL PERON  frente 36
154,24,-3.6946736,40.4547769, CALLE  DE ORENSE  36
155,24,-3.700864,40.4572863, CALLE  DE SAN GERMÁN  55
156,24,-3.6913229,40.4592406, CALLE  DE SOR ANGELA DE LA CRUZ  2
157,24,-3.6893305,40.459282, PASEO  DE LA CASTELLANA  S/N
158,24,-3.6847049,40.45862, AVENIDA  DE ALBERTO ALCOCER  22 A
159,24,-3.6837348,40.4542549, PASEO  DE LA HABANA  63
160,24,-3.6766176,40.4571995, CALLE  DE COLOMBIA  7
161,24,-3.7220624,40.4221372, PASEO  DE LA FLORIDA  8
161 ampliacion,3,-3.7219659,40.4220566, PASEO  DE LA FLORIDA  6
162,24,-3.7107559,40.4035176, PASEO  DE LOS OLMOS  28
163,21,-3.7064372,40.4036349, PASEO  DE LA  0 ESPERANZA 0833333333333333
164,24,-3.6944851,40.3971366, PASEO  DE LAS DELICIAS  94
165,27,-3.6976134,40.3928841, PASEO  DE LA CHOPERA  frente 49
166,24,-3.7133382,40.4139396, CALLE  DE SEGOVIA  21
167,24,-3.7176456,40.4137331, CALLE  DE SEGOVIA  47 A
168,24,-3.6959159,40.4045828, PASEO  DE SANTA MARIA DE LA CABEZA  frente 32
169,24,-3.713846,40.401578, CALLE  DE TOLEDO  181
170,24,-3.704403,40.4011039, PASEO  DE LA ESPERANZA  21
171,24,-3.6984459,40.3997626, CALLE  DE EMBAJADORES  97
172,24,-3.6935448,40.4008683, CALLE  DE BUSTAMANTE  1
173,24,-3.7023615,40.3981757, PASEO  DE LA ESPERANZA  59
174,27,-3.7063771,40.397417, PASEO  DE LAS YESERIAS  8
175,21,-3.6983033,40.3962687, CALLE  DE JAIME EL CONQUISTADOR  30
176,24,-3.6936302,40.3942411, CALLE  DE ALICANTE  3
177,24,-3.694087,40.3915019, CALLE  DE BOLIVAR  3
178,24,-3.6788939,40.4030242, CALLE  DE LEON GIL DE PALACIO  1
179,24,-3.6690602,40.3979341, AUTOVIA M-30  S/N
180,24,-3.6759244,40.3941252, CALLE  DE LA RETAMA  5
181,27,-3.67664,40.4181748, CALLE  DE IBIZA  18
182,24,-3.6655023,40.4187145, CALLE  DEL ALCALDE SAINZ DE BARANDA  90
