IdTrafficLight,installDate,longitude,latitude,IdCross
40686,Fri May 16 00:00:00 Cet 1975,-3.62933265418631,40.426267630179,658
40692,Fri May 16 00:00:00 Cet 1975,-3.62973361402221,40.42607757628,658
40711,Sun May 25 00:00:00 Cet 1975,-3.62870748642596,40.4240413503318,663
40704,Sun May 25 00:00:00 Cet 1975,-3.62788813637196,40.4249514792865,663
40706,Sun May 25 00:00:00 Cet 1975,-3.62769482916157,40.4248867225705,663
40713,Sun May 25 00:00:00 Cet 1975,-3.62783149981638,40.4240635992518,663
40709,Sun May 25 00:00:00 Cet 1975,-3.62906213991709,40.4242767012085,663
40712,Sun May 25 00:00:00 Cet 1975,-3.6279198886168,40.4240276965723,663
3361,Sun May 25 00:00:00 Cet 1975,-3.62805579882873,40.4239029832275,663
3362,Sun May 25 00:00:00 Cet 1975,-3.62797352029074,40.4239345456108,663
3367,Tue May 22 00:00:00 Cet 1973,-3.62636768434368,40.4222667297763,569
3451,Fri Dec 05 00:00:00 Cet 1975,-3.62535966333534,40.4206310330615,681
3452,Fri Dec 05 00:00:00 Cet 1975,-3.62543317989878,40.4205931761912,681
3453,Fri Dec 05 00:00:00 Cet 1975,-3.62548159927089,40.420509233272,681
3454,Fri Dec 05 00:00:00 Cet 1975,-3.62556971194226,40.4204726878733,681
28751,Wed Dec 18 00:00:00 Cet 1991,-3.61657553941537,40.4595606542334,1295
