hasIdBycicleParking,description,state,installDate,PostalAddress
169252,"SITUADO APARCABICICLETAS, CERCANO A COLEGIO SAGRADO CORAZON",OPERATIVO,,CALLE PARAGUAY
169332,"SITUADO APARCABICICLETAS, CENTRO MEDICO MILENIUM COSTA RICA",OPERATIVO,,PLAZA JOSE MARIA SOLER
169946,"SITUADO APARCABICICLETAS, COLEGIO NUESTRA SEÑORA DE LA MERCED",OPERATIVO,,"Avenida de Alfonso XIII, Madrid"
170048,"SITUADO APARCABICICLETAS, JUNTO A PLAZA RUTILIO GARCIS",OPERATIVO,,CALLE GUILLERMO DE OSMA
170099,"SITUADO APARCABICICLETAS, JUNTO A JARDIN DE GLORIA FUERTES",OPERATIVO,,"Avenida de Alfonso XIII, Madrid"
170181,"SITUADO APARCABICICLETAS, EMBAJADA DE COSTA RICA",OPERATIVO,,"Calle de Juan Hurtado de Mendoza, Madrid"
170579,"SITUADO APARCABICICLETAS, COLEGIO PUBLICO MIGUEL DE UNAMUNO",OPERATIVO,,CALLE ALICANTE
172923,"SITUADO APARCABICICLETAS, EN EL PARQUE",OPERATIVO,,CALLE RAMIREZ DE PRADO
172981,"SITUADO APARCABICICLETAS, CERCA ESTACION DE METRO PLAZA DE CASTILLA",OPERATIVO,,PLAZA CASTILLA
173321,"SITUADO APARCABICICLETAS, CENTRO DEPORTIVO MUNICIPAL PEÑUELAS",OPERATIVO,,CALLE ARGANDA
173548,"SITUADO APARCABICICLETAS, COLEGIO PUBLICO ARQUITECTO GAUDI",OPERATIVO,,CALLE ROSA JARDON
173555,"SITUADO APARCABICICLETAS, ARCHIVO REGIONAL DE LA COMUNIDAD DE MADRID",OPERATIVO,,"Calle del General Lacy, Madrid"
173669,"SITUADO APARCABICICLETAS, BIBLIOTECA PUBLICA MUNICIPAL PIO BAROJA",OPERATIVO,,CALLE ARGANDA
173919,"SITUADO APARCABICICLETAS, ESTACION DE CERCANIAS DELICIAS",OPERATIVO,,"Paseo de las Delicias, Madrid"
173964,"SITUADO APARCABICICLETAS, AYUNTAMIENTO DE MADRID",OPERATIVO,,calle de Vara de Rey
175086,"SITUADO APARCABICICLETAS, JUNTO A CARRIL BICI",OPERATIVO,,GLORIETA SANTA MARIA DE LA CABEZA
175640,"SITUADO APARCABICICLETAS, ESCUELA INFANTIL EL ALBA",OPERATIVO,,Calle de Toledo
175788,"SITUADO APARCABICICLETAS, I.E.S. GRAN CAPITAN",OPERATIVO,,PASEO MELANCOLICOS
176608,"SITUADO APARCABICICLETAS, POLIDEPORTIVO MPAL GALLUR",OPERATIVO,,CALLE GALLUR
176854,"SITUADO APARCABICICLETAS, POLIDEPORTIVO GALLUR",OPERATIVO,,CALLE GALLUR
177370,"SITUADO APARCABICICLETAS, CENTRO CULTURAL SARA MONTIEL",OPERATIVO,,CARRETERA BOADILLA DEL MONTE
178375,"SITUADO APARCABICICLETAS, CENTRO CULTURAL JOSE LUIS SAMPREDO",OPERATIVO,,CALLE CASTROSERNA
179215,"SITUADO APARCABICICLETAS, CENTRO CONCERTADO COLEGIO LOURDES",OPERATIVO,,CALLE SAN ROBERTO
179635,"SITUADO APARCABICICLETAS, C/SAN LEON 3",OPERATIVO,,CALLE SAN JUAN DE MATA
181120,"SITUADO APARCABICICLETAS, C.P SAN JOSE DE CALASANZ",OPERATIVO,,CALLE MARIA DEL CARMEN
181202,"SITUADO APARCABICICLETAS, CENTRO COMERCIAL LA ERMITA",OPERATIVO,,PASEO ERMITA DEL SANTO
182236,"SITUADO APARCABICICLETAS, COLEGIO PUBLICO BOLIVIA",OPERATIVO,,CALLE VILLAVALIENTE
182617,"SITUADO APARCABICICLETAS, COLEGIO DIVINO MAESTRO",OPERATIVO,,Paseo de Extremadura
182945,"Situado Aparcabicicletas FRENTE AL PARQUE CARAMUEL (Cerca de la canch,Situado Aparcabicicletas FRENTE AL PARQUE CARAMUEL (Cerca de la cancha)",OPERATIVO,,CALLE CARAMUEL
184345,"SITUADO APARCABICICLETAS, SALA DE LECTURA JUNTA MUNICIPAL DE LATINA",OPERATIVO,,Paseo de Extremadura
186568,"SITUADO APARCABICICLETAS, C.P. FERNANDEZ MORATIN",OPERATIVO,,"Avenida de Valladolid, Madrid"
186977,"SITUADO APARCABICICLETAS, CENTRO DEPORTIVO MUNICIPAL JOSE MARIA CAGIGAL",OPERATIVO,,CALLE SANTA FE
187018,"SITUADO APARCABICICLETAS, CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA",OPERATIVO,,CALLE SENDA DEL REY
190946,"SITUADO APARCABICICLETAS, ESTACION DE CERCANIAS ARAVACA ( C/ DE LA GOLONDRINA 104)",OPERATIVO,,Calle Las Golondrinas
191467,"Situado Aparcabicicletas ESTACIÓN DE CERCANÍAS ARAVACA ( C/ de la golondrina cv C/Rosas de Aravac,Situado Aparcabicicletas ESTACIÓN DE CERCANÍAS ARAVACA ( C/ de la golondrina cv C/Rosas de Aravaca)",OPERATIVO,,Calle Las Golondrinas
193973,"SITUADO APARCABICICLETAS, GLORIETA DE ROCIO DURCAL",OPERATIVO,,avenida de Pablo Iglesias
194340,"SITUADO APARCABICICLETAS, CENTRO CULTURAL JUAN GRIS",OPERATIVO,,"Calle de Francos Rodríguez, Madrid"
194451,"SITUADO APARCABICICLETAS, C.P ANDRES MANJON",OPERATIVO,,CALLE MARIA AUXILIADORA
196061,"SITUADO APARCABICICLETAS, PUENTE DE SAN FERNANDO",OPERATIVO,,CARRETERA EL PARDO
201810,"SITUADO APARCABICICLETAS, ESTACION CERCANIAS EL BARRIAL",OPERATIVO,,CALLE RAFAEL BOTI
205202,"SITUADO APARCABICICLETAS, INSTALACION DEPORTIVA VEREDA DE GANAPANES",OPERATIVO,,CALLE BECERREA
205468,"SITUADO APARCABICICLETAS, CENTRO EDUCACION PRIMARIA GUATEMALA",OPERATIVO,,CALLE CELANOVA
205615,"SITUADO APARCABICICLETAS, INSTALACION DEPORTIVA LA CABRERA",OPERATIVO,,CALLE LA CABRERA
205792,"SITUADO APARCABICICLETAS, C.P FEDERICO GARCIA LORCA",OPERATIVO,,CALLE RIBADAVIA
207288,"SITUADO APARCABICICLETAS, I.E.S GREGORIO MARAÑON",OPERATIVO,,AVENIDA EL FERROL
207342,"SITUADO APARCABICICLETAS, CUATRO TORRES BUSINESS AREA",OPERATIVO,,Sinesio Delgado Street
207485,"SITUADO APARCABICICLETAS, C.P LUIS DE GONGORA",OPERATIVO,,CALLE SARRIA
208440,"SITUADO APARCABICICLETAS, C.P. BREOGAN",OPERATIVO,,Calle de Ginzo de Limia
209788,"SITUADO APARCABICICLETAS, INST. DEPORTIVA BASICA ISLA DE TABARCA",OPERATIVO,,CALLE SANTIAGO DE COMPOSTELA
211592,"SITUADO APARCABICICLETAS, PARQUE DEL POBLADO SAN FRANCISCO",OPERATIVO,,CALLE FRESNEDILLAS
211608,"SITUADO APARCABICICLETAS, POLIDEPORTIVO VICENTE DEL BOSQUE",OPERATIVO,,"Avenida de Monforte de Lemos, Madrid"
212414,"SITUADO APARCABICICLETAS, IES PRINCIPE FELIPE",OPERATIVO,,"Avenida de Monforte de Lemos, Madrid"
212758,"SITUADO APARCABICICLETAS, COLEGIO BRAVO MURILLO",OPERATIVO,,CALLE FERMIN CABALLERO
214609,"SITUADO APARCABICICLETAS, COLEGIO LA SALLE",OPERATIVO,,CALLE ISLA DE AROSA
214877,"SITUADO APARCABICICLETAS, COLEGIO PUBLICO ALHAMBRA",OPERATIVO,,CALLE RAMON GOMEZ DE LA SERNA
214966,"SITUADO APARCABICICLETAS, C.P. CARDENAL HERRERA ORIA",OPERATIVO,,CALLE FERMIN CABALLERO
215420,"SITUADO APARCABICICLETAS, CASA DE NIÑOS ARROYOFRESNO",OPERATIVO,,PLAZA PICO SALVAGUARDIA
215681,"SITUADO APARCABICICLETAS, PARROQUIA DE SANTA MARIA DE LA ESPERANZA",OPERATIVO,,Calle de Ginzo de Limia
215745,"SITUADO APARCABICICLETAS, POLIDEPORTIVO LA MASO",OPERATIVO,,AVENIDA VENTISQUERO DE LA CONDESA
216205,"SITUADO APARCABICICLETAS, BARRIO DE ARGENTINA, FRENTE A LA CANCHA",OPERATIVO,,CALLE ROSALIA DE CASTRO
216640,"SITUADO APARCABICICLETAS, INS.DEP/METRO LACOMA",OPERATIVO,,CALLE RISCOS DE POLANCO
216786,"SITUADO APARCABICICLETAS, C.E.I.P. LORENZO LUZURIAGA",OPERATIVO,,CALLE VALENCIA DE DON JUAN
216969,"SITUADO APARCABICICLETAS, C.P. ENRIQUE GRANADOS",OPERATIVO,,CALLE VIRGEN DE ARANZAZU
217387,"SITUADO APARCABICICLETAS, INSTALACION DEPORTIVA MIRADOR DE LA REINA",OPERATIVO,,CALLE CERRO MINGUETE
217414,"SITUADO APARCABICICLETAS, COLEGIO FOMENTO MONTEALTO",OPERATIVO,,CALLE LA MASO
