IdBiciMad,numPlaces,longitude,latitude,PostalAddress
70,24,-3.6777994,40.4152203,"Avenida de Menéndez Pelayo, Madrid"
71,24,-3.674021,40.4160054,CALLE DOCE DE OCTUBRE
72,24,-3.669623,40.415721,"Calle del Doctor Esquerdo, Madrid"
73,24,-3.669099,40.411463,PLAZA LOS ASTROS
74,24,-3.6765768,40.4117601,"Avenida de Menéndez Pelayo, Madrid"
75,24,-3.6784149,40.4083387,"Avenida de Menéndez Pelayo, Madrid"
76,24,-3.6751544,40.4072851,AVENIDA MEDITERRANEO
77,22,-3.6707742,40.4063347,PLAZA CONDE DE CASAL
78,24,-3.6745783,40.4005704,CALLE CERRO DE LA PLATA
79,24,-3.6805524,40.4050482,"Avenida de Menéndez Pelayo, Madrid"
080_a,24,-3.6904816,40.4074122,"Avenida de la Ciudad de Barcelona, Madrid"
080_b,27,-3.6907238,40.407626,"Avenida de la Ciudad de Barcelona, Madrid"
81,24,-3.6919663,40.4095758,"Cuesta de Moyano, Madrid"
82,24,-3.669683,40.4084793,"Calle de Lira, Madrid"
83,24,-3.6745339,40.4132589,CALLE PIO BAROJA
84,24,-3.6726923,40.4033695,"Calle del Doctor Esquerdo, Madrid"
85,27,-3.6799299,40.4211415,"Avenida de Menéndez Pelayo, Madrid"
86,21,-3.6933298,40.4185779,Paseo del Prado
87,24,-3.6835631,40.4276717,"Calle de Ayala, Madrid"
88,24,-3.6837471,40.4312077,calle de Velázquez
89,24,-3.6751716,40.4272628,"Calle de Ayala, Madrid"
90,24,-3.6837297,40.4250878,Calle de Goya
090_ampliacion,6,-3.6835613,40.4250791,Calle de Goya
91,24,-3.6788203,40.4261113,Calle de Hermosilla
92,24,-3.6864821,40.4262237,Claudio Coello Street
93,24,-3.6894124,40.4256984,Calle de Goya
94,21,-3.6907044,40.4233686,Paseo de Recoletos
95,24,-3.6869914,40.4226634,Claudio Coello Street
96,27,-3.6820471,40.4220516,Alcalá Street
97,27,-3.6801515,40.4224846,"Avenida de Menéndez Pelayo, Madrid"
98,24,-3.6754079,40.4241911,AVENIDA FELIPE II
99,24,-3.6739638,40.4261048,"Calle de Alcántara, Madrid"
100,24,-3.6738777,40.4247843,Calle de Goya
101,24,-3.6694246,40.4231223,Calle de Jorge Juan
102,24,-3.6840806,40.4211552,Alcalá Street
103,24,-3.6865351,40.4303733,"Calle de José Ortega y Gasset, Madrid"
104,21,-3.6895792,40.4267658,Paseo de la Castellana
105,24,-3.6874745,40.4270684,Serrano Street
106_a,18,-3.6878868,40.4248642,Serrano Street
106_b,18,-3.6878604,40.4250085,Serrano Street
107,24,-3.6884243,40.4215952,Serrano Street
108,27,-3.670653,40.4274425,CALLE LAS MARTIRES CONCEPCIONISTAS
109,24,-3.6815253,40.4301281,"Calle de José Ortega y Gasset, Madrid"
110,24,-3.7201316,40.4347654,paseo de Moret
111_a,24,-3.7174896,40.4335742,calle del Arcipreste de Hita
111_b,24,-3.7177783,40.433982,calle del Arcipreste de Hita
112,24,-3.7248727,40.4326267,paseo de Moret
113,24,-3.7207145,40.4277472,Paseo del Pintor Rosales
114,24,-3.7174151,40.4278211,calle de Quintana
115,24,-3.7169626,40.4253802,PLAZA MARQUES DE CERRALBO
116_a,24,-3.7117588,40.4240632,PLAZA ESPAÑA
116_b,24,-3.7118457,40.4241889,PLAZA ESPAÑA
117,24,-3.7189152,40.4309046,"Calle de Altamirano, Madrid"
118,24,-3.688135,40.4007959,CALLE JUAN MARTIN EL EMPECINADO
119,24,-3.6865777,40.4014567,"Calle de Méndez Álvaro, Madrid"
120,24,-3.6947791,40.4030362,CALLE PALOS DE LA FRONTERA
121,24,-3.6986046,40.4018356,Paseo de Santa María de la Cabeza
122,24,-3.6962626,40.429524,"Calle de Santa Engracia, Madrid"
123,24,-3.7134685,40.4306386,"Calle de Guzmán el Bueno, Madrid"
124,24,-3.6993182,40.4308173,"Calle de Manuel Silvela, Madrid"
125,24,-3.6948316,40.4353128,Fernández de la Hoz street
126,24,-3.7017424,40.4345672,"Calle del General Álvarez de Castro, Madrid"
127,24,-3.7083987,40.4339055,"Calle de Fernando el Católico, Madrid"
128,24,-3.7155506,40.4390329,calle de Cea Bermúdez
128_ampliacion,3,-3.7156915,40.4390391,calle de Cea Bermúdez
129,24,-3.6982818,40.4384684,"Calle de José Abascal, Madrid"
130,20,-3.7017071,40.4417195,"Calle de Santa Engracia, Madrid"
131,24,-3.704022,40.4417543,Calle de Bravo Murillo
132,24,-3.7035911,40.4463889,"Calle de Santa Engracia, Madrid"
