centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,url_colegio,direccion_coor_x,direccion_coor_y
28022281,SANTA MONICA,ESCUELA INFANTIL PRIVADA,PRIVADO,CALLE,de Villamanín,29,28011,079,Madrid,,436205,4473193
28022323,TEIDE II,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA,PRIVADO CONCERTADO,CALLE,Mayor,49,28013,079,Madrid,http://www.teideformacion.com,439841,4474146
28022335,TRABENCO,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de la Reguera de Tomateros,103,28053,079,Madrid,http://www.educa.madrid.org/cc.trabenco.madrid,444111,4469101
28022359,VIDA,ESCUELA INFANTIL PRIVADA,PRIVADO,CALLE,del Corregidor José de Pasamonte,5,28030,079,Madrid,centrovida.es,444921,4473528
28022414,BIENAVENTURADA VIRGEN MARIA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Cullera,17,28047,079,Madrid,www.irlandesasmadrid.org,436573,4472018
28022426,BUENAFUENTE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,PRIVADO CONCERTADO,CALLE,de Protasio Gómez,5,28027,079,Madrid,http://www.colegiobuenafuente.com,445876,4476770
28022475,INSTITUCION PROFESIONAL SALESIANA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,RONDA,de Don Bosco,3,28044,079,Madrid,http://www.salesianoscarabanchel.com,436069,4469559
28022487,NERVION,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,del Nervión,2,28002,079,Madrid,http://www.educa.madrid.org/cc.nervion.madrid,441979,4477565
28022499,NTRA. SRA. DE FATIMA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Manuel Muñoz,30,28026,079,Madrid,http://www.educa.madrid.org/cc.nsdefatima.madrid,440501,4470697
28022505,PRIMERO DE MAYO,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,PRIVADO CONCERTADO,CALLE,de los Barros,11,28053,079,Madrid,http://www.fundacionjosemariadellanos.es,443303,4469784
28022529,CERVANTES,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO CONCERTADO,CALLE,de Elvas,2,28025,079,Madrid,http://www.colegiocervantescarabanchel.es,438441,4470761
28022566,COLEGIO DE JESUS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,del Timón,18,28042,079,Madrid,http://www.colegiodejesus.org,450411,4480399
28022578,JOSE RAMON OTERO,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA,PRIVADO CONCERTADO,CALLE,de Francisco Brizuela,1,28011,079,Madrid,https://www.jrotero.com/nuestro-centro/,437323,4473472
28022633,NTRA. SRA. DE LAS DELICIAS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,PASEO,de las Delicias,67,28045,079,Madrid,http://www.educa.madrid.org/cc.nsdelasdelicias.madrid,441105,4472155
28022724,CIUDAD ESCOLAR,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CTRA,de Colmenar Viejo,"k12,8",28049,079,Madrid,http://www.educa.madrid.org/ies.ciudadescolar.madrid,441939,4486204
28022797,SAN PIO X,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,Reyes Católicos,5,28220,080,Majadahonda,http://www.educa.madrid.org/cp.sanpiodecimo.majadahonda,426053,4480944
28022803,VIRGEN DE LOURDES,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,PRIVADO CONCERTADO,CTRA,M-516 (Boadilla),k. 2,28220,080,Majadahonda,http://colegiovirgendelourdes.es,425271,4478690
28022839,MARIA AUXILIADORA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,Virgen de Iciar,4,28221,080,Majadahonda,http://colegiosalesianasmajadahonda.com/,428904,4480744
28022864,VIRGEN DE LA PEÑA SACRA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Segovia,9,28410,082,Manzanares el Real,http://www.educa.madrid.org/cp.penasacra.manzanares,426702,4508859
28022876,SAN SEBASTIAN,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de la Estación,35,28880,083,Meco,http://www.educa.madrid.org/cp.sansebastian.meco,472635,4489072
28022888,JARAMA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Doctor Gonzalo Sierra,6,28840,084,Mejorada del Campo,http://www.educa.madrid.org/cp.jarama.mejorada,458831,4471835
28022891,VICENTE ALEIXANDRE,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,AVDA,de la Constitución,29,28792,085,Miraflores de la Sierra,http://www.educa.madrid.org/cp.vicentealeixandre.miraflores,435977,4518028
28022918,SAN PABLO,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO CONCERTADO,CALLE,San Pablo,s/n,28792,085,Miraflores de la Sierra,http://sanpablo.corazonistas.org,436029,4518663
28022943,NTRA. SRA. DEL REMOLINO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de San Isidro,8,28710,086,"Molar, El",http://www.educa.madrid.org/cp.remolino.elmolar,450950,4509748
28022967,DIVINO MAESTRO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Calvario,20,28460,087,"Molinos, Los",http://www.educa.madrid.org/cp.divinomaestro.losmolinos,408719,4507605
28022980,SANTA TERESA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Mirasierra,59,28950,089,Moraleja de Enmedio,http://www.educa.madrid.org/cp.santateresa.moraleja,427325,4457229
28022992,SAN MIGUEL ARCANGEL,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CMNO,de Alpedrete,41,28411,090,Moralzarzal,http://www.educa.madrid.org/cp.sanmiguel.moralzarzal,417440,4503145
28023005,CLAUDIO VAZQUEZ,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Grupo Escolar,1,28530,091,Morata de Tajuña,http://www.educa.madrid.org/cp.claudiovazquez.morata,462549,4453470
28023017,ANDRES TORREJON,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Juan de Austria,2,28931,092,Móstoles,http://www.educa.madrid.org/cp.andrestorrejon.mostoles,427282,4464318
28023029,BEATO SIMON DE ROJAS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PASEO,de Goya,3,28931,092,Móstoles,http://www.educa.madrid.org/cp.beatosimonderoj.mostoles,426704,4464353
28023030,LICEO VILLA FONTANA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,AVDA,de Carlos V,27,28936,092,Móstoles,http://www.liceovf.eu,427706,4463450
28023066,VILLA DE MOSTOLES,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,Camino de Humanes,40,28938,092,Móstoles,www.colegio-villademostoles.com,427149,4462893
28023081,BALMES,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,del Río Llobregat,2,28935,092,Móstoles,https://colegiobalmesmostoles.es/,425613,4463321
28023091,LA INMACULADA,ESCUELA INFANTIL PRIVADA,PRIVADO CONCERTADO,CALLE,de la Malvarrosa,6,28937,092,Móstoles,,426902,4463978
28023108,ANTONIO HERNANDEZ,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Pintor Velázquez,13,28933,092,Móstoles,http://www.educa.madrid.org/cp.antoniohernandez.mostoles,426115,4464834
28023111,JUAN PEREZ VILLAAMIL,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,"Veracruz, 34 duplicado",,28936,092,Móstoles,http://www.educa.madrid.org/cp.perezvillamil.mostoles,427384,4463207
28023121,COLEGIO VILLAEUROPA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Benito Pérez Galdós,13,28935,092,Móstoles,http://www.colegio-villaeuropa.com,425383,4463946
28023145,ANTUSANA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Río Sil,60,28935,092,Móstoles,http://www.educa.madrid.org/cp.antusana.mostoles,425203,4463079
28023157,FEDERICO GARCIA LORCA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Francisco Javier Sauquillo,26,28932,092,Móstoles,http://www.educa.madrid.org/cp.garcialorca.mostoles,427232,4465139
28023194,FELIPE TRIGO,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE,del Pintor Velázquez,66,28935,092,Móstoles,http://www.educa.madrid.org/ies.felipetrigo.mostoles,425173,4463689
28023224,NTRA. SRA. DEL CARMEN,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,Chile,4,28938,092,Móstoles,http://www.carmenmostoles.es/,427059,4463410
28023273,PRINCIPE DE ASTURIAS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,del Rosal,2,28491,093,Navacerrada,http://www.educa.madrid.org/cp.principeasturias.navacerrada,413855,4508566
28023297,CARLOS RUIZ,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Luis Zapata,3,28600,096,Navalcarnero,http://www.educa.madrid.org/cp.carlosruiz.navalcarnero,414116,4460179
28023315,SAN LUIS GONZAGA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,Don José María lópez malla,5,28600,096,Navalcarnero,http://www.sanluisgonzaga.org,414548,4459945
28023327,CARMEN MARTIN GAITE,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CTRA,DE CADALSO DE LOS VIDRIOS,s/n,28600,096,Navalcarnero,http://www.educa.madrid.org/ies.carmenmartingai.navalcarnero,413293,4460168
28023364,ISABEL LA CATOLICA,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE,VÍA OLÍMPICA,s/n,28695,099,Navas del Rey,http://www.educa.madrid.org/cp.isabellacatolica.navas,393905,4471644
28023376,INTERNACIONAL EUROVILLAS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,Posada de Castilla I,107,28514,100,Nuevo Baztán,http://www.educa.madrid.org/cc.internacionaleurovillas.nuevobaztan,476899,4467089
28023388,JUAN DE GOYENECHE,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,AVDA,Glasgow,1,28514,100,Nuevo Baztán,http://www.educa.madrid.org/cp.goyeneche.nuevobaztan,479335,4467786
28023443,VIRGEN DE LA RIBERA FUND. HNOS.,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Torrelaguna,23,28860,104,Paracuellos de Jarama,http://www.educa.madrid.org/web/cp.ribera.paracuellos,454982,4484461
28023480,CIUDAD DE MERIDA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,Juan Carlos I,11,28981,106,Parla,http://www.educa.madrid.org/cp.ciudaddemerida.parla,434454,4453704
28023534,MAGERIT,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,Juan Carlos I,6,28981,106,Parla,http://www.educa.madrid.org/cp.magerit.parla,434410,4453582
28023546,VIRGEN DEL CARMEN,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Fuenlabrada,s/n,28981,106,Parla,http://www.educa.madrid.org/cp.carmen.parla,434154,4455267
28023637,NTRA. SRA. DEL CASTILLO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CTRA,de Morata,7,28540,110,Perales de Tajuña,http://www.educa.madrid.org/cp.castillo.perales,470031,4453530
28023662,ISABEL LA CATOLICA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de San Nicolás,8,28320,113,Pinto,http://www.educa.madrid.org/cp.isabellacatolica.pinto,440339,4455422
28023674,EL PRADO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de la Cañada Real de la Mesta,9,28320,113,Pinto,http://www.educa.madrid.org/cp.elprado.pinto,441058,4455470
28023698,NTRA. SRA. DE LA PROVIDENCIA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de San José,1,28320,113,Pinto,,439965,4454906
28023704,SAGRADA FAMILIA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de la Sagrada Familia,3,28320,113,Pinto,http://www.educa.madrid.org/cc.sagradafamilia.pinto,440767,4454763
28023716,SANTO DOMINGO DE SILOS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Santa Teresa,7,28320,113,Pinto,http://www.santodomingodesilos.org,440830,4454574
28023741,LOS ANGELES,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE,Diego de Velázquez,5,28223,115,Pozuelo de Alarcón,http://www.educa.madrid.org/cp.losangeles.pozuelodealarcon,433426,4472530
