ID,MINTDISTRI,NOMBRE_DIS,wikidata_Dis,MINTBARRIO,NOMBRE_BAR,wikidata_Bar,ESTADO,INSTALLDAT,Direccion,wikidata_Dir,MINTNUMERO,MINTNDP,MODELO
156151,5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,,CALLE-CONDE-DE-TORRALBA,,23,20103420,
156740,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas-Ciudad-Real,https://wikidata.org/entity/Q4778,OPERATIVO,,CALLE-PRINCIPE-DE-VERGARA,,139,11021619,
157887,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,PLAZA-ANDRES-SEGOVIA,,2,20120191,
157999,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas-Ciudad-Real,https://wikidata.org/entity/Q4778,OPERATIVO,,"Avenida-del-Doctor-Arce,-Madrid",https://wikidata.org/entity/Q29199638,1,20009078,
158867,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas-Ciudad-Real,https://wikidata.org/entity/Q4778,OPERATIVO,,PASEO-CASTELLANA,,110,11020485,
159396,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,"Calle-de-Suero-de-Quiñones,-Madrid",https://wikidata.org/entity/Q29202471,32,11023997,
161602,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,CALLE-EUGENIO-SALAZAR,,55,31050976,
161723,5,Chamartín,https://wikidata.org/entity/Q1766348,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,,CALLE-PADRE-CLARET,,23,11022999,
161936,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,calle-de-Pradillo,https://wikidata.org/entity/Q55868790,25,20094374,
162245,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las-Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,,PLAZA-LEGAZPI,,1,11009434,
162466,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,CALLE-DOCTOR-MARCO-CORERA,,2,31052956,
162728,2,Arganzuela,https://wikidata.org/entity/Q2000929,27,Atocha,https://wikidata.org/entity/Q3814594,OPERATIVO,,Retama-Street,https://wikidata.org/entity/Q28983516,4,20111962,
162739,2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,,CALLE-MENESES,,4,31022245,
163739,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,"Avenida-de-Alfonso-XIII,-Madrid",https://wikidata.org/entity/Q29397736,23,11023059,
164052,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,"Avenida-de-Ramón-y-Cajal,-Madrid",https://wikidata.org/entity/Q30467128,5,11024265,
165831,2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,,CALLE-BRONCE,,1:00 AM,31025852,
166022,2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,,AVENIDA-PLANETARIO,,16,20064507,
166611,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,,CALLE-HERREROS-DE-TEJADA,,7,31033511,
167171,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,,"Calle-del-Padre-Damián,-Madrid",https://wikidata.org/entity/Q28740210,24,31042940,
167650,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,,"Avenida-de-Alfonso-XIII,-Madrid",https://wikidata.org/entity/Q29397736,97,11025068,
167812,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,,"Calle-de-Juan-Ramón-Jiménez,-Madrid",https://wikidata.org/entity/Q29018444,9,11025560,
168626,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,,PASEO-CASTELLANA,,162,11025623,
168705,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,,avenida-de-Alberto-Alcocer,https://wikidata.org/entity/Q26833742,10,11025619,
168988,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva-España,https://wikidata.org/entity/Q10338128,OPERATIVO,,CALLE-PRINCIPE-DE-VERGARA,,283,31021821,
169252,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva-España,https://wikidata.org/entity/Q10338128,OPERATIVO,,CALLE-PARAGUAY,,8,11026450,
169332,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva-España,https://wikidata.org/entity/Q10338128,OPERATIVO,,PLAZA-JOSE-MARIA-SOLER,,7,31021839,
169946,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva-España,https://wikidata.org/entity/Q10338128,OPERATIVO,,"Avenida-de-Alfonso-XIII,-Madrid",https://wikidata.org/entity/Q29397736,165,11026353,
