MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
154330;SITUADO APARCABICICLETAS - I.E.S. RAMIRO DE MAEZTU;5;CHAMARTIN;51;EL VISO;OPERATIVO;;CALLE;SERRANO;131;31048666;
155190;SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA BASICA SANTA HORTENSIA;5;CHAMARTIN;52;PROSPERIDAD;OPERATIVO;;CALLE;SANTA HORTENSIA;34;31025357;
155947;SITUADO APARCABICICLETAS - FRENTE A IBM;5;CHAMARTIN;52;PROSPERIDAD;OPERATIVO;;CALLE;SANTA HORTENSIA;31;11027467;
155979;SITUADO APARCABICICLETAS - ESTACION DE METRO PROSPERIDAD;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;PLAZA;PROSPERIDAD;3;31008456;
156151;SITUADO APARCABICICLETAS - PLAZA DE HERMINIO MINGUEZ;5;CHAMARTIN;56;CASTILLA;OPERATIVO;;CALLE;CONDE DE TORRALBA;23;20103420;
156740;SITUADO APARCABICICLETAS - COLEGIO PUBLICO PINTOR ROSALES;5;CHAMARTIN;51;EL VISO;OPERATIVO;;CALLE;PRINCIPE DE VERGARA;139;11021619;
157887;SITUADO APARCABICICLETAS - PLAZA DE ANDRES SEGOVIA;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;PLAZA;ANDRES SEGOVIA;2;20120191;
157999;SITUADO APARCABICICLETAS - AL LADO DE LA FUENTE DE LOS DELFINES;5;CHAMARTIN;51;EL VISO;OPERATIVO;;AVENIDA;DOCTOR ARCE;1;20009078;
158867;SITUADO APARCABICICLETAS - CERCA DE ESTACION DE METRO NUEVOS MINISTERIOS;5;CHAMARTIN;51;EL VISO;OPERATIVO;;PASEO;CASTELLANA;110;11020485;
159396;SITUADO APARCABICICLETAS - PLAZA DE RODOLFO Y ERNESTO HALFFTER;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;CALLE;SUERO DE QUIÑONES;32;11023997;
161602;SITUADO APARCABICICLETAS - JARDINES DE PROSPERO SOYNARD;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;CALLE;EUGENIO SALAZAR;55;31050976;
161723;SITUADO APARCABICICLETAS - ESCUELA DE DANZA BROADWAY;5;CHAMARTIN;52;PROSPERIDAD;OPERATIVO;;CALLE;PADRE CLARET;23;11022999;
161936;SITUADO APARCABICICLETAS - POLIDEPORTIVO MUNICIPAL PRADILLO;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;CALLE;PRADILLO;25;20094374;
162245;SITUADO APARCABICICLETAS - ESTACION DE METRO LEGAZPI;2;ARGANZUELA;25;DELICIAS;OPERATIVO;;PLAZA;LEGAZPI;1;11009434;
162466;SITUADO APARCABICICLETAS - ENTRADA PARQUE BERLIN;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;CALLE;DOCTOR MARCO CORERA;2;31052956;
162728;SITUADO APARCABICICLETAS - CENTRO COMERCIAL MENDEZ ALVARO;2;ARGANZUELA;27;ATOCHA;OPERATIVO;;CALLE;RETAMA;4;20111962;
162739;SITUADO APARCABICICLETAS - C/V CALLE ARIEL;2;ARGANZUELA;24;LEGAZPI;OPERATIVO;;CALLE;MENESES;4;31022245;
163739;SITUADO APARCABICICLETAS - C.P. PADRE POVEDA;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;AVENIDA;ALFONSO XIII;23;11023059;
164052;SITUADO APARCABICICLETAS - ENTRADA PARQUE BERLIN;5;CHAMARTIN;53;CIUDAD JARDIN;OPERATIVO;;AVENIDA;RAMON Y CAJAL;5;11024265;
165831;SITUADO APARCABICICLETAS - ESTACION DE METRO ARGANZUELA PLANETARIO;2;ARGANZUELA;24;LEGAZPI;OPERATIVO;;CALLE;BRONCE;1:00 AM;31025852;
166022;SITUADO APARCABICICLETAS - EN EL PLANETARIO;2;ARGANZUELA;24;LEGAZPI;OPERATIVO;;AVENIDA;PLANETARIO;16;20064507;
166611;SITUADO APARCABICICLETAS - AL LADO DEL AYUNTAMIENTO;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;;CALLE;HERREROS DE TEJADA;7;31033511;
167171;SITUADO APARCABICICLETAS - POLIDEPORTIVO PADRE DAMIAN;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;;CALLE;PADRE DAMIAN;24;31042940;
167650;SITUADO APARCABICICLETAS - ESCUELA UNIVERSITARIA DE DISEÑO;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;;AVENIDA;ALFONSO XIII;97;11025068;
167812;SITUADO APARCABICICLETAS - JUNTO A ZONA AJARDINADA;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;;CALLE;JUAN RAMON JIMENEZ;9;11025560;
168626;SITUADO APARCABICICLETAS - MINISTERIO DE HACIENDA. METRO CUZCO;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;;PASEO;CASTELLANA;162;11025623;
168705;SITUADO APARCABICICLETAS - FRENTE A EDIFICIO COMERCIAL;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;;AVENIDA;ALBERTO ALCOCER;10;11025619;
168988;SITUADO APARCABICICLETAS - PLAZA REPUBLICA DOMINICANA;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;CALLE;PRINCIPE DE VERGARA;283;31021821;
169252;SITUADO APARCABICICLETAS - CERCANO A COLEGIO SAGRADO CORAZON;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;CALLE;PARAGUAY;8;11026450;
169332;SITUADO APARCABICICLETAS - CENTRO MEDICO MILENIUM COSTA RICA;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;PLAZA;JOSE MARIA SOLER;7;31021839;
169946;SITUADO APARCABICICLETAS - COLEGIO NUESTRA SEÑORA DE LA MERCED;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;AVENIDA;ALFONSO XIII;165;11026353;
170048;SITUADO APARCABICICLETAS - JUNTO A PLAZA RUTILIO GARCIS;2;ARGANZUELA;23;CHOPERA;OPERATIVO;;CALLE;GUILLERMO DE OSMA;10;11008976;
170099;SITUADO APARCABICICLETAS - JUNTO A JARDIN DE GLORIA FUERTES;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;AVENIDA;ALFONSO XIII;180;31013778;
170181;SITUADO APARCABICICLETAS - EMBAJADA DE COSTA RICA;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;CALLE;JUAN HURTADO DE MENDOZA;1;31008516;
170579;SITUADO APARCABICICLETAS - COLEGIO PUBLICO MIGUEL DE UNAMUNO;2;ARGANZUELA;25;DELICIAS;OPERATIVO;;CALLE;ALICANTE;7;11009480;
172923;SITUADO APARCABICICLETAS - EN EL PARQUE;2;ARGANZUELA;25;DELICIAS;OPERATIVO;;CALLE;RAMIREZ DE PRADO;6;11009534;
172981;SITUADO APARCABICICLETAS - CERCA ESTACION DE METRO PLAZA DE CASTILLA;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;PLAZA;CASTILLA;9;20131087;
173321;SITUADO APARCABICICLETAS - CENTRO DEPORTIVO MUNICIPAL PEÑUELAS;2;ARGANZUELA;22;ACACIAS;OPERATIVO;;CALLE;ARGANDA;42;20065138;
173548;SITUADO APARCABICICLETAS - COLEGIO PUBLICO ARQUITECTO GAUDI;5;CHAMARTIN;55;NUEVA ESPAÑA;OPERATIVO;;CALLE;ROSA JARDON;6;20102934;
