id,Gis_X,Gis_Y,FechadeAlta,Distrito,same_as_wikidata_distrito,Barrio,same_as_wikidata_barrio,NFinca,TipodeReserva,NumerodePlazas,Longitud,Latitud,DireccionNew,same_as_wikidata_direccion,Direccion
56,440335.43,4474443.96,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,24,-3.7032875,40.418484,PLAZA DEL CARMEN,,CARMEN.PLAZA.DEL.1
57,439536.86,4475688.34,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,BiciMAD,24,-3.7128181,40.4296363,CALLE DE SANTACRUZDEMARCENADO,,SANTACRUZDEMARCENADO.CALLE.DE.24
58,440791.91,4474859.51,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,33,BiciMAD,24,-3.6979458,40.4222601,CALLE DE AUGUSTOFIGUEROA,,AUGUSTOFIGUEROA.CALLE.DE.33
59,440271.27,4475221.1,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,30,BiciMAD,21,-3.7041167,40.4254802,CALLE DEL ESPIRITUSANTO,,ESPIRITUSANTO.CALLE.DEL.30
60,441616.3,4474541.2,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,7,BiciMAD,24,-3.6881994,40.4194508,PLAZA DELA INDEPENDENCIA,,INDEPENDENCIA.PLAZA.DELA.7
61,442720.29,4474753.26,41813,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,30,BiciMAD,24,-3.675206,40.4214379,"Calle de O'Donnell, Madrid",https://wikidata.org/entity/Q5740859,O'DONNELL.CALLE.DE.30
62,442956.32,4474735.99,41813,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,48,BiciMAD,24,-3.6724223,40.4212986,"Calle de O'Donnell, Madrid",https://wikidata.org/entity/Q5740859,O'DONNELL.CALLE.DE.48
63,443103.74,4474356.79,41813,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,64,BiciMAD,24,-3.6706508,40.4178926,"Calle de Ibiza, Madrid",https://wikidata.org/entity/Q63247838,IBIZA.CALLE.DE.64
65,441513.53,4474235.07,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,15,BiciMAD,24,-3.6893825,40.4166859,CALLE DE ANTONIOMAURA,,ANTONIOMAURA.CALLE.DE.15
67,441190.08,4473587.45,41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,28,BiciMAD,24,-3.6931349,40.410829,CALLE DE ALMADEN,,ALMADEN.CALLE.DE.28
