id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270471784,VILLAVERDE,LOS-ANGELES,1 CALLE LA CANCION DEL OLVIDO,1_CALLE_LA_CANCION_DEL_OLVIDO,28041,"440717,55","440717,55-4468045,51","4468045,51",Abierto,BAR CASA MONICA,Anual,Abierta,"195,7","195,7",Superficie en parcela privada,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,29,29
270191062,VILLAVERDE,LOS-ANGELES,11 CALLE LA DOLOROSA,11_CALLE_LA_DOLOROSA,28041,"441064,54","441064,54-4467352,51","4467352,51",Abierto,EL PILAR,Anual,Abierta,"86,68","86,68",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,30,30
270181096,VILLAVERDE,SAN-ANDRES,6 CALLE DOMINGO PARRAGA,6_CALLE_DOMINGO_PARRAGA,28021,"439861,53","439861,53-4465979,51","4465979,51",Abierto,EL PORTON,Estacional,Abierta,"21,06","21,06",Acera,8:00:00,1:30:00,10:00:00,0:00:00,8:00:00,1:30:00,10:00:00,0:00:00,9,
170000796,VILLAVERDE,LOS-ANGELES,37 CALLE PAN Y TOROS,37_CALLE_PAN_Y_TOROS,28041,"441057,54","441057,54-4467705,51","4467705,51",Abierto,BAR EL RINCON DEL QUIJOTE,Anual,Abierta,"53,2","21,6",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,15,5
270250040,VILLAVERDE,LOS-ROSALES,50 CALLE SAHARA,50_CALLE_SAHARA,28041,"441207,54","441207,54-4467290,51","4467290,51",Abierto,DI MADRID,Anual,Abierta,"231,32",231,Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,38,8
270033525,VILLAVERDE,LOS-ROSALES,56 CALLE SAHARA,56_CALLE_SAHARA,28041,"441188,54","441188,54-4467238,51","4467238,51",Abierto,EL ZAGUAN,Anual,Abierta,"125,37","125,37",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,20,20
170000283,VILLAVERDE,LOS-ROSALES,63 CALLE VILLAJOYOSA,63_CALLE_VILLAJOYOSA,28041,"441323,54","441323,54-4467541,51","4467541,51",Abierto,LA BODEGUILLA IBERICA,Anual,Abierta,"39,64","39,64",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,8
170000006,VILLAVERDE,SAN-CRISTOBAL,251 CALLE GODELLA,251_CALLE_GODELLA,28021,"441690,52","441690,52-4465824,5","4465824,5",Abierto,BAR VIETNAM,Estacional,Abierta,"40,05",,Acera,8:00:00,1:30:00,,,8:00:00,1:30:00,,,11,
270183106,VILLAVERDE,LOS-ANGELES,38 CALLE VIRGEN DE LOS DESAMPARADOS,38_CALLE_VIRGEN_DE_LOS_DESAMPARADOS,28041,"440620,54","440620,54-4466862,51","4466862,51",Abierto,BAR JOSE LUIS,Anual,Abierta,"31,34",20,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,11,5
270057250,ARGANZUELA,DELICIAS,19 CALLE FERROCARRIL,19_CALLE_FERROCARRIL,28045,"440931,58","440931,58-4472464,52","4472464,52",Abierto,CAFETERIA FERROCARRIL,Anual,Abierta,"44,64","44,64",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,14,14
280017278,ARGANZUELA,CHOPERA,1 PLAZA GENERAL MAROTO,1_PLAZA_GENERAL_MAROTO,28045,"440739,58","440739,58-4471734,52","4471734,52",Abierto,RESTARAURANTE  O'PORTIÑO,Anual,Abierta,"94,07","94,07",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,26,26
280018318,ARGANZUELA,ACACIAS,33 CALLE LAUREL,33_CALLE_LAUREL,28005,"440313,59","440313,59-4472551,53","4472551,53",Abierto,LA MARGHERITA,Anual,Abierta,"90,72","90,72",Bulevar,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,28,28
270299459,ARGANZUELA,IMPERIAL,18 CALLE LINNEO,18_CALLE_LINNEO,28005,"438859,6","438859,6-4473750,54","4473750,54",Abierto,RESTAURANTE LA POTA DOURO,Anual,Abierta,"4,68","4,68",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,2,0
10003543,CENTRO,PALACIO,8 PLAZA PUERTA DE MOROS,8_PLAZA_PUERTA_DE_MOROS,28005,"439691,59","439691,59-4473697,53","4473697,53",Abierto,CAÑAS Y TAPAS,Anual,Abierta,"39,57","39,57",Acera,10:00:00,0:00:00,10:00:00,23:00:00,10:00:00,1:30:00,10:00:00,23:00:00,14,14
