id_local,desc_distrito_local,desc_barrio_local,direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,min_ini_LJ_es,hora_fin_LJ_es 1,min_fin_LJ_es,hora_ini_LJ_ra,min_ini_LJ_ra,hora_fin_LJ_ra,min_fin_LJ_ra,hora_ini_VS_es,min_ini_VS_es,hora_fin_VS_es,min_fin_VS_es,hora_ini_VS_ra,min_ini_VS_ra,hora_fin_VS_ra,min_fin_VS_ra,mesas_es,mesas_ra
"270286727,VILLAVERDE,LOS-ANGELES,37 CALLE PAN Y TOROS,28041,""441052,54"",""4467692,51"",Abierto,CASA MONICA,Anual,Abierta,""50,04"",""50,04"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,15,15"
"180000366,VILLA-DE-VALLECAS,SANTA-EUGENIA,9 CALLE CASTRILLO DE AZA,28031,""448357,53"",""4470622,41"",Abierto,EL JARDIN DEL BACO,Anual,Abierta,""97,56"",""97,56"",Acera,10,0,1,0,8,0,0,0,10,0,2,30,8,0,0,0,24,24"
"270324826,VILLA-DE-VALLECAS,SANTA-EUGENIA,10 CALLE PUENTELARRA,28031,""448373,53"",""4470489,41"",Abierto,CERVECERIA LA TOMASA,Anual,Abierta,""48,6"",""48,6"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,15,15"
"270032503,VILLA-DE-VALLECAS,SANTA-EUGENIA,8 CALLE PUENTELARRA,28031,""448410,53"",""4470525,41"",Abierto,BAR  LA HACIENDA,Anual,Abierta,""83,16"",""58,32"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,24,18"
"270184841,VILLA-DE-VALLECAS,SANTA-EUGENIA,7 CALLE PUENTELARRA,28031,""448430,53"",""4470416,41"",Abierto,CERVECERIA LA TORRE,Estacional,Abierta,27,""58,32"",Acera,10,0,1,0,8,0,1,0,10,0,2,30,8,0,1,0,10,18"
"270185092,VILLA-DE-VALLECAS,SANTA-EUGENIA,6 CALLE FUENTESPINA,28031,""448569,53"",""4470101,41"",Abierto,EL JARDIN DE BACO II,Anual,Abierta,""44,38"",""44,38"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,17,17"
"170000673,VILLAVERDE,SAN-ANDRES,15 PASEO ALBERTO PALACIOS,28021,""439620,54"",""4466399,52"",Abierto,D`YISA NAILS,Estacional,Abierta,""25,92"",""25,92"",Calle peatonal,8,0,1,30,10,0,0,0,8,0,1,30,10,0,0,0,8,8"
"270456985,VILLAVERDE,SAN-ANDRES,83 PASEO ALBERTO PALACIOS,28021,""439062,54"",""4466077,52"",Abierto,LAS BEGONIAS,Anual,Abierta,""99,12"",""45,75"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,25,12"
"170000832,VILLAVERDE,LOS-ANGELES,50 CALLE ARECHAVALETA,28041,""440871,54"",""4467123,51"",Abierto,BAR CASA CONEL,Anual,Abierta,""37,08"",""37,08"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,4,4"
"170001203,VILLAVERDE,BUTARQUE,4 CALLE CANCHAL,28021,""442609,52"",""4466445,49"",Abierto,PASTELERIA PANADERIA CAFETERIA CHICO,Anual,Abierta,30,30,Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,10,0"
