id_local,desc_distrito_local,distritos_wikidata,desc_barrio_local,barrios_wikidata,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270228855,Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,39 CALLE MIRASIERRA,39_CALLE_MIRASIERRA,28026,"440269,58","440269,58-4471097,52","4471097,52",Abierto,BAR ALFIL,Estacional,Abierta,"32,61","32,4",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,10,10
270157776,Usera,https://www.wikidata.org/wiki/Q953368,Pradolongo,https://www.wikidata.org/wiki/Q10352360,50 CALLE DOLORES BARRANCO,50_CALLE_DOLORES_BARRANCO,28026,"439993,58","439993,58-4470543,52","4470543,52",Abierto,BAR PISCIS,Anual,Abierta,"20,77","20,77",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,10,10
270438751,Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,131 CALLE ANTONIO LOPEZ,131_CALLE_ANTONIO_LOPEZ,28026,"440593,58","440593,58-4471152,52","4471152,52",Abierto,LA ALEGRIA,Anual,Abierta,"20,52","20,52",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
270477281,Usera,https://www.wikidata.org/wiki/Q953368,San Fermín (Madrid),https://www.wikidata.org/wiki/Q71758,27 CALLE SAN FORTUNATO,27_CALLE_SAN_FORTUNATO,28041,"441484,56","441484,56-4469450,51","4469450,51",Abierto,CAFE BAR MARTIN,Anual,Abierta,"15,84","15,84",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6
270309378,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Las Acacias,https://www.wikidata.org/wiki/Q3319190,3 PASEO ACACIAS,3_PASEO_ACACIAS,28005,"440297,59","440297,59-4472901,53","4472901,53",Abierto,CAFETERIA HINOJAR,Anual,Abierta,"18,9","18,9",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,10,0
285031450,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,1 CALLE BERZOSA DE LOZOYA,1_CALLE_BERZOSA_DE_LOZOYA,28021,"439207,53","439207,53-4465219,52","4465219,52",Abierto,DON GERMAN,Anual,Abierta,"50,86","50,86",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,12,12
170000809,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,3 CALLE CANCHAL,3_CALLE_CANCHAL,28021,"442621,52","442621,52-4466379,49","4466379,49",Abierto,RESTAURANTE PARQUE ROSALES CERVECERIA,Anual,Abierta,"55,43","44,1",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,21,12
285021312,Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,212 AVENIDA MANZANARES,212_AVENIDA_MANZANARES,28026,"440579,58","440579,58-4471302,52","4471302,52",Abierto,EL BAR,Anual,Abierta,"8,47","8,47",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
270519524,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Argüelles,https://www.wikidata.org/wiki/Q64874,11 CALLE MARTIN DE LOS HEROS,11_CALLE_MARTIN_DE_LOS_HEROS,28008,"439456,6","439456,6-4475119,54","4475119,54",Abierto,8 1/2 LIBROS DE CINE,Anual,Abierta,"19,46","19,46",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
270540061,Usera,https://www.wikidata.org/wiki/Q953368,Almendrales,https://www.wikidata.org/wiki/Q9604761,201 CALLE ANTONIO LOPEZ,201_CALLE_ANTONIO_LOPEZ,28026,"440957,57","440957,57-4470488,52","4470488,52",Abierto,MONTEFERRO,Anual,Abierta,"65,55","65,55",Zona de estacionamiento,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,18,18
270417284,Usera,https://www.wikidata.org/wiki/Q953368,Almendrales,https://www.wikidata.org/wiki/Q9604761,204 CALLE ANTONIO LOPEZ,204_CALLE_ANTONIO_LOPEZ,28026,"440752,58","440752,58-4470914,52","4470914,52",Abierto,CAFETERIA 204,Anual,Abierta,"51,3","51,3",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15
270534735,Usera,https://www.wikidata.org/wiki/Q953368,San Fermín (Madrid),https://www.wikidata.org/wiki/Q71758,16 AVENIDA LOS ROSALES,16_AVENIDA_LOS_ROSALES,28041,"441235,55","441235,55-4468763,51","4468763,51",Abierto,PARRILLA BONALMA,Anual,Abierta,"22,8","22,8",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,7,8
270156329,Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,1 CALLE DOLORES SOPEÑA,1_CALLE_DOLORES_SOPEÑA,28026,"439941,59","439941,59-4471234,53","4471234,53",Abierto,BAR LUZON,Anual,Abierta,"48,59","48,59",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15
270280806,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,12 CALLE BOHEMIOS,12_CALLE_BOHEMIOS,28041,"440867,54","440867,54-4467567,51","4467567,51",Abierto,VENTA CARMONA,Anual,Abierta,"64,03","64,03",Calle peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,16
270471784,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,1 CALLE LA CANCION DEL OLVIDO,1_CALLE_LA_CANCION_DEL_OLVIDO,28041,"440717,55","440717,55-4468045,51","4468045,51",Abierto,BAR CASA MONICA,Anual,Abierta,"195,7","195,7",Superficie en parcela privada,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,29,29
270191062,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,11 CALLE LA DOLOROSA,11_CALLE_LA_DOLOROSA,28041,"441064,54","441064,54-4467352,51","4467352,51",Abierto,EL PILAR,Anual,Abierta,"86,68","86,68",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,30,30
170000796,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,37 CALLE PAN Y TOROS,37_CALLE_PAN_Y_TOROS,28041,"441057,54","441057,54-4467705,51","4467705,51",Abierto,BAR EL RINCON DEL QUIJOTE,Anual,Abierta,"53,2","21,6",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,15,5
270250040,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,50 CALLE SAHARA,50_CALLE_SAHARA,28041,"441207,54","441207,54-4467290,51","4467290,51",Abierto,DI MADRID,Anual,Abierta,"231,32",231,Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,38,8
270033525,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,56 CALLE SAHARA,56_CALLE_SAHARA,28041,"441188,54","441188,54-4467238,51","4467238,51",Abierto,EL ZAGUAN,Anual,Abierta,"125,37","125,37",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,20,20
