Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
02.05,"440436,3200000000","4472890,9800000000",40360,02  ARGANZUELA,02-06 PALOS DE MOGUER,57,Taxi,6,40.4045012,-3.7019529,"EMBAJADORES, CALLE, DE, 57",,,,,Línea,"30,80",
02.13,"442429,4100000000","4471801,4600000000",43522,02  ARGANZUELA,02-07 ATOCHA,83,Taxi,77,40.3948265,-3.6783676,"MENDEZ ALVARO, CALLE, DE, 83",,,,,Línea,"88,00",SUPLEMENTO DE TARIFA AUTORIZADO SALIDA ESTACION
02.14,"442677,5000000000","4471787,0600000000",40360,02  ARGANZUELA,02-07 ATOCHA,S/N,Taxi,14,40.3947138,-3.6754432,"RETAMA, CALLE, DE LA, S/N",,,,,Línea,"68,40",
02.15,"441678,3000000000","4472547,7300000000",39085,02  ARGANZUELA,02-06 PALOS DE MOGUER,S/N,Taxi,3,40.401497,-3.6872859,"CANARIAS, CALLE, DE LAS, S/N",,,,,Línea,"15,00",
02.17,"441036,2600000000","4471433,2000000000",39192,02  ARGANZUELA,02-05 DELICIAS,2,Taxi,10,40.3914115,-3.6947482,"LEGAZPI, PLAZA, DE, 2",,,,,Batería,"25,00",
02.20,"442435,7700000000","4471460,8100000000",42025,02  ARGANZUELA,02-04 LEGAZPI,S/N,Taxi,2,40.3917581,-3.6782619,"TITAN, CALLE, DE, S/N",,,,,Línea,"10,10",
02.21,"441154,1400000000","4472816,3700000000",40508,02  ARGANZUELA,02-06 PALOS DE MOGUER,35,Taxi,2,40.4038802,-3.6934872,"DELICIAS, PASEO, DE LAS, 35",,,,,Línea,"9,50",
02.22,"441434,8100000000","4473023,3900000000",40527,02  ARGANZUELA,02-07 ATOCHA,S/N,Taxi,291,40.4057649,-3.6901988,"MENDEZ ALVARO, CALLE, DE, S/N",,,,,Línea,"269,60",
02.23,"438746,0000000000","4473115,8900000000",42037,02  ARGANZUELA,02-01 IMPERIAL,57,Taxi,3,40.4064047,-3.7218934,"VIRGEN DEL PUERTO, PASEO, DE LA, 57",,,,,Línea,"15,00",
02.24,"441983,3900000000","4472205,9200000000",41148,02  ARGANZUELA,02-05 DELICIAS,44,Taxi,10,40.3984391,-3.6836596,"MENDEZ ALVARO, CALLE, DE, 44",,,,,Línea,"50,00",DE 8 A 20 HORAS
