Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
34,"440313,43","4473992,08",41813,01  CENTRO,01-03 CORTES,S/N,BiciMAD,24,40.4144117,-3.7035044,"JACINTO BENAVENTE, PLAZA, DE, S/N",,,,,,,
35,"439730,93","4473970,93",41813,01  CENTRO,01-01 PALACIO,1,BiciMAD,24,40.4141792,-3.7103676,"CORDON, PLAZA, DEL, 1",,,,,,,
36,"439614,82","4474265,33",41813,01  CENTRO,01-01 PALACIO,5,BiciMAD,24,40.4168229,-3.711764,"RAMALES, PLAZA, DE, 5",,,,,,,
37,"439409,3","4473605,14",41813,01  CENTRO,01-01 PALACIO,5,BiciMAD,24,40.4108606,-3.7141234,"SAN FRANCISCO, PLAZA, DE, 5",,,,,,,
38,439637,"4473651,64",41813,01  CENTRO,01-01 PALACIO,1,BiciMAD,24,40.4112961,-3.7114443,"SAN FRANCISCO, CARRERA, DE, 1",,,,,,,
39,439844,"4473646,66",41813,01  CENTRO,01-01 PALACIO,16,BiciMAD,27,40.4112662,-3.7090043,"CEBADA, PLAZA, DE LA, 16",,,,,,,
40,"440207,51","4473923,52",41813,01  CENTRO,01-02 EMBAJADORES,2,BiciMAD,24,40.4137865,-3.7047463,"CONDE DE ROMANONES, CALLE, DEL, 2",,,,,,,
41,"440694,54","4473746,65",43480,01  CENTRO,01-02 EMBAJADORES,56,BiciMAD,18,40.412228,-3.6989898,"ATOCHA, CALLE, DE, 56",,,,,,,
42,"440757,78","4473584,46",41813,01  CENTRO,01-02 EMBAJADORES,32,BiciMAD,24,40.4107714,-3.6982294,"SANTA ISABEL, CALLE, DE, 32",,,,,,,
43,"440391,04","4473511,6",41813,01  CENTRO,01-02 EMBAJADORES,36,BiciMAD,24,40.4100889,-3.7025446,"LAVAPIES, CALLE, DE, 36",,,,,,,
44,"440274,63","4473482,26",41813,01  CENTRO,01-02 EMBAJADORES,35,BiciMAD,21,40.4098162,-3.7039138,"MESON DE PAREDES, CALLE, DEL, 35",,,,,,,
45,"439659,1","4473168,86",41813,01  CENTRO,01-02 EMBAJADORES,1,BiciMAD,21,40.4069486,-3.7111381,"PUERTA DE TOLEDO, GLORIETA, DE LA, 1",,,,,,,
46,"439998,9","4472999,74",41813,02  ARGANZUELA,02-02 ACACIAS,28,BiciMAD,24,40.4054496,-3.7071178,"RIBERA DE CURTIDORES, CALLE, DE LA, 28",,,,,,,
47,"440368,37","4472905,07",41813,02  ARGANZUELA,02-02 ACACIAS,7 B,BiciMAD,24,40.4046233,-3.702755,"EMBAJADORES, GLORIETA, DE, 7 B",,,,,,,
48,"440424,7","4472996,09",41813,01  CENTRO,01-02 EMBAJADORES,2,BiciMAD,24,40.4054473,-3.7020997,"EMBAJADORES, GLORIETA, DE, 2",,,,,,,
49,"440667,66","4473061,04",41813,01  CENTRO,01-02 EMBAJADORES,36,BiciMAD,24,40.4060497,-3.6992427,"ATOCHA, RONDA, DE, 36",,,,,,,
50,"441180,67","4473307,92",41813,01  CENTRO,01-02 EMBAJADORES,57,BiciMAD,24,40.4083102,-3.69322,"SANTA ISABEL, CALLE, DE, 57",,,,,,,
51,"441148,47","4473243,04",41813,01  CENTRO,01-02 EMBAJADORES,7,BiciMAD,27,40.4077234,-3.6935934,"EMPERADOR CARLOS V, PLAZA, DEL, 7",,,,,,,
52,"440544,34","4474002,06",41813,01  CENTRO,01-03 CORTES,9,BiciMAD,24,40.4145181,-3.7007838,"SANTA ANA, PLAZA, DE, 9",,,,,,,
53,"440543,46","4473309,62",41813,01  CENTRO,01-02 EMBAJADORES,frente 2,BiciMAD,24,40.4082802,-3.7007295,"VALENCIA, CALLE, DE, frente 2",,,,,,,
54,"440592,35","4475345,44",41813,01  CENTRO,01-04 JUSTICIA,7,BiciMAD,21,40.4266233,-3.7003435,"BARCELO, CALLE, DE, 7",,,,,,,
55,"440455,56","4475063,26",41813,01  CENTRO,01-05 UNIVERSIDAD,8,BiciMAD,24,40.4240716,-3.7019295,"SAN ILDEFONSO, PLAZA, DE, 8",,,,,,,
56,"440335,43","4474443,96",41813,01  CENTRO,01-06 SOL,1,BiciMAD,24,40.418484,-3.7032875,"CARMEN, PLAZA, DEL, 1",,,,,,,
57,"439536,86","4475688,34",41813,01  CENTRO,01-05 UNIVERSIDAD,24,BiciMAD,24,40.4296363,-3.7128181,"SANTA CRUZ DE MARCENADO, CALLE, DE, 24",,,,,,,
58,"440791,91","4474859,51",41813,01  CENTRO,01-04 JUSTICIA,33,BiciMAD,24,40.4222601,-3.6979458,"AUGUSTO FIGUEROA, CALLE, DE, 33",,,,,,,
59,"440271,27","4475221,1",41813,01  CENTRO,01-05 UNIVERSIDAD,30,BiciMAD,21,40.4254802,-3.7041167,"ESPIRITU SANTO, CALLE, DEL, 30",,,,,,,
60,"441616,3","4474541,2",41813,03  RETIRO,03-05 JERÓNIMOS,7,BiciMAD,24,40.4194508,-3.6881994,"INDEPENDENCIA, PLAZA, DE LA, 7",,,,,,,
61,"442720,29","4474753,26",41813,03  RETIRO,03-04 IBIZA,30,BiciMAD,24,40.4214379,-3.675206,"O'DONNELL, CALLE, DE, 30",,,,,,,
62,"442956,32","4474735,99",41813,03  RETIRO,03-04 IBIZA,48,BiciMAD,24,40.4212986,-3.6724223,"O'DONNELL, CALLE, DE, 48",,,,,,,
63,"443103,74","4474356,79",41813,03  RETIRO,03-04 IBIZA,64,BiciMAD,24,40.4178926,-3.6706508,"IBIZA, CALLE, DE, 64",,,,,,,
65,"441513,53","4474235,07",41813,03  RETIRO,03-05 JERÓNIMOS,15,BiciMAD,24,40.4166859,-3.6893825,"ANTONIO MAURA, CALLE, DE, 15",,,,,,,
67,"441190,08","4473587,45",41813,01  CENTRO,01-03 CORTES,28,BiciMAD,24,40.410829,-3.6931349,"ALMADEN, CALLE, DE, 28",,,,,,,
68,"441358,92","4473802,81",41813,03  RETIRO,03-05 JERÓNIMOS,1,BiciMAD,21,40.412781,-3.6911649,"ESPALTER, CALLE, DE, 1",,,,,,,
69,"441551,54","4473499,36",41813,03  RETIRO,03-05 JERÓNIMOS,54,BiciMAD,27,40.4100609,-3.6888669,"ALFONSO XII, CALLE, DE, 54",,,,,,,
70,"442494,99","4474064,79",41813,03  RETIRO,03-05 JERÓNIMOS,frente 63,BiciMAD,24,40.4152203,-3.6777994,"MENENDEZ PELAYO, AVENIDA, DE, frente 63",,,,,,,
71,"442816,22","4474149,49",41813,03  RETIRO,03-06 NIÑO JESÚS,28,BiciMAD,24,40.4160054,-3.674021,"DOCE DE OCTUBRE, CALLE, DEL, 28",,,,,,,
72,"443189,11","4474115,08",41813,03  RETIRO,03-06 NIÑO JESÚS,62,BiciMAD,24,40.415721,-3.669623,"DOCTOR ESQUERDO, CALLE, DEL, 62",,,,,,,
73,"443229,99","4473642,11",41813,03  RETIRO,03-03 ESTRELLA,S/N,BiciMAD,24,40.411463,-3.669099,"ASTROS, PLAZA, DE LOS, S/N",,,,,,,
74,"442595,78","4473679,92",41813,03  RETIRO,03-05 JERÓNIMOS,S/N,BiciMAD,24,40.4117601,-3.6765768,"MENENDEZ PELAYO, AVENIDA, DE, S/N",,,,,,,
75,"442436,91","4473301,34",41813,03  RETIRO,03-05 JERÓNIMOS,S/N,BiciMAD,24,40.4083387,-3.6784149,"MENENDEZ PELAYO, AVENIDA, DE, S/N",,,,,,,
76,"442712,67","4473182,27",41813,03  RETIRO,03-06 NIÑO JESÚS,19,BiciMAD,24,40.4072851,-3.6751544,"MEDITERRANEO, AVENIDA, DEL, 19",,,,,,,
77,"443083,53","4473073,95",41813,03  RETIRO,03-01 PACÍFICO,8,BiciMAD,22,40.4063347,-3.6707742,"CONDE DE CASAL, PLAZA, DEL, 8",,,,,,,
78,"442755,86","4472436,57",41813,03  RETIRO,03-02 ADELFAS,2,BiciMAD,24,40.4005704,-3.6745783,"CERRO DE LA PLATA, CALLE, DEL, 2",,,,,,,
79,"442252,73","4472937,49",41813,03  RETIRO,03-01 PACÍFICO,38,BiciMAD,24,40.4050482,-3.6805524,"MENENDEZ PELAYO, AVENIDA, DE, 38",,,,,,,
080 a,"441412,24","4473206,43",41813,02  ARGANZUELA,02-07 ATOCHA,S/N,BiciMAD,24,40.4074122,-3.6904816,"CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N",,,,,,,
080 b,"441391,88","4473230,32",41813,02  ARGANZUELA,02-07 ATOCHA,S/N,BiciMAD,27,40.407626,-3.6907238,"CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N",,,,,,,
81,"441288,14","4473447,57",41813,03  RETIRO,03-05 JERÓNIMOS,S/N,BiciMAD,24,40.4095758,-3.6919663,"CLAUDIO MOYANO, CALLE, DE, S/N",,,,,,,
82,"443177,93","4473311,29",41813,03  RETIRO,03-03 ESTRELLA,frente 2,BiciMAD,24,40.4084793,-3.669683,"LIRA, CALLE, DE LA, frente 2",,,,,,,
83,"442770,38","4473844,96",41813,03  RETIRO,03-06 NIÑO JESÚS,8 B,BiciMAD,24,40.4132589,-3.6745339,"PIO BAROJA, CALLE, DE, 8 B",,,,,,,
84,"442918,27","4472746,05",41813,03  RETIRO,03-02 ADELFAS,191,BiciMAD,24,40.4033695,-3.6726923,"DOCTOR ESQUERDO, CALLE, DEL, 191",,,,,,,
85,"442319,29","4474723,43",41813,03  RETIRO,03-05 JERÓNIMOS,frente 9,BiciMAD,27,40.4211415,-3.6799299,"MENENDEZ PELAYO, AVENIDA, DE, frente 9",,,,,,,
86,"441180,29","4474447,71",41904,01  CENTRO,01-03 CORTES,S/N,BiciMAD,21,40.4185779,-3.6933298,"PRADO, PASEO, DEL, S/N",,,,,,,
87,"442016,68","4475450,66",41813,04  SALAMANCA,04-01 RECOLETOS,44,BiciMAD,24,40.4276717,-3.6835631,"AYALA, CALLE, DE, 44",,,,,,,
88,"442004,11","4475843,28",41813,04  SALAMANCA,04-06 CASTELLANA,73,BiciMAD,24,40.4312077,-3.6837471,"VELAZQUEZ, CALLE, DE, 73",,,,,,,
89,"442728,15","4475399,8",41813,04  SALAMANCA,04-02 GOYA,102,BiciMAD,24,40.4272628,-3.6751716,"AYALA, CALLE, DE, 102",,,,,,,
90,"442000,33","4475163,96",41813,04  SALAMANCA,04-01 RECOLETOS,18,BiciMAD,24,40.4250878,-3.6837297,"GOYA, CALLE, DE, 18",,,,,,,
090 ampliacion,"442014,61","4475162,88",43115,04  SALAMANCA,04-01 RECOLETOS,20,BiciMAD,6,40.4250791,-3.6835613,"GOYA, CALLE, DE, 20",,,,,,,
91,"442417,66","4475274,35",41813,04  SALAMANCA,04-02 GOYA,73,BiciMAD,24,40.4261113,-3.6788203,"HERMOSILLA, CALLE, DE, 73",,,,,,,
92,"441767,83","4475291,85",41813,04  SALAMANCA,04-01 RECOLETOS,45,BiciMAD,24,40.4262237,-3.6864821,"CLAUDIO COELLO, CALLE, DE, 45",,,,,,,
93,"441518,8","4475235,48",41813,04  SALAMANCA,04-01 RECOLETOS,3,BiciMAD,24,40.4256984,-3.6894124,"GOYA, CALLE, DE, 3",,,,,,,
94,"441407,18","4474977,73",41813,04  SALAMANCA,04-01 RECOLETOS,22,BiciMAD,21,40.4233686,-3.6907044,"RECOLETOS, PASEO, DE, 22",,,,,,,
95,"441721,55",4474897,41813,04  SALAMANCA,04-01 RECOLETOS,19,BiciMAD,24,40.4226634,-3.6869914,"CLAUDIO COELLO, CALLE, DE, 19",,,,,,,
96,"442140,46","4474825,84",41813,04  SALAMANCA,04-01 RECOLETOS,111,BiciMAD,27,40.4220516,-3.6820471,"ALCALA, CALLE, DE, 111",,,,,,,
97,"442301,64","4474872,66",41813,04  SALAMANCA,04-02 GOYA,1,BiciMAD,27,40.4224846,-3.6801515,"MENENDEZ PELAYO, AVENIDA, DE, 1",,,,,,,
98,"442705,5","4475058,99",41813,04  SALAMANCA,04-02 GOYA,5,BiciMAD,24,40.4241911,-3.6754079,"FELIPE II, AVENIDA, DE, 5",,,,,,,
99,"442829,62","4475270,48",41813,04  SALAMANCA,04-02 GOYA,2,BiciMAD,24,40.4261048,-3.6739638,"ALCANTARA, CALLE, DE, 2",,,,,,,
100,"442835,81","4475123,85",41813,04  SALAMANCA,04-02 GOYA,99,BiciMAD,24,40.4247843,-3.6738777,"GOYA, CALLE, DE, 99",,,,,,,
101,"443212,16","4474936,49",41813,04  SALAMANCA,04-02 GOYA,131,BiciMAD,24,40.4231223,-3.6694246,"JORGE JUAN, CALLE, DE, 131",,,,,,,
102,"441967,18","4474727,67",41813,04  SALAMANCA,04-01 RECOLETOS,95,BiciMAD,24,40.4211552,-3.6840806,"ALCALA, CALLE, DE, 95",,,,,,,
103,"441766,91","4475752,49",41813,04  SALAMANCA,04-06 CASTELLANA,4,BiciMAD,24,40.4303733,-3.6865351,"JOSE ORTEGA Y GASSET, CALLE, DE, 4",,,,,,,
104,"441505,58","4475354,07",41813,04  SALAMANCA,04-01 RECOLETOS,4,BiciMAD,21,40.4267658,-3.6895792,"CASTELLANA, PASEO, DE LA, 4",,,,,,,
105,"441684,37","4475386,27",41813,04  SALAMANCA,04-01 RECOLETOS,46,BiciMAD,24,40.4270684,-3.6874745,"SERRANO, CALLE, DE, 46",,,,,,,
106 a,"441647,49","4475141,87",41782,04  SALAMANCA,04-01 RECOLETOS,32,BiciMAD,18,40.4248642,-3.6878868,"SERRANO, CALLE, DE, 32",,,,,,,
106 b,"441649,86","4475157,87",41813,04  SALAMANCA,04-01 RECOLETOS,34,BiciMAD,18,40.4250085,-3.6878604,"SERRANO, CALLE, DE, 34",,,,,,,
107,"441599,07","4474779,37",41813,04  SALAMANCA,04-01 RECOLETOS,8,BiciMAD,24,40.4215952,-3.6884243,"SERRANO, CALLE, DE, 8",,,,,,,
108,"443111,6","4475416,83",41813,04  SALAMANCA,04-02 GOYA,2,BiciMAD,27,40.4274425,-3.670653,"MARTIRES CONCEPCIONISTAS, CALLE, DE LAS, 2",,,,,,,
109,"442191,64","4475721,98",41813,04  SALAMANCA,04-06 CASTELLANA,32,BiciMAD,24,40.4301281,-3.6815253,"JOSE ORTEGA Y GASSET, CALLE, DE, 32",,,,,,,
110,"438921,15","4476262,7",41813,09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,S/N,BiciMAD,24,40.4347654,-3.7201316,"MORET, PASEO, DE, S/N",,,,,,,
111 a,"439144,16","4476128,65",41813,07  CHAMBERÍ,07-01 GAZTAMBIDE,8,BiciMAD,24,40.4335742,-3.7174896,"ARCIPRESTE DE HITA, CALLE, DEL, 8",,,,,,,
111 b,"439120,04","4476174,12",41813,07  CHAMBERÍ,07-01 GAZTAMBIDE,12,BiciMAD,24,40.433982,-3.7177783,"ARCIPRESTE DE HITA, CALLE, DEL, 12",,,,,,,
112,"438517,07","4476028,6",41813,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,11,BiciMAD,24,40.4326267,-3.7248727,"MORET, PASEO, DE, 11",,,,,,,
113,"438865,35","4475484,09",41813,09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,frente 38,BiciMAD,24,40.4277472,-3.7207145,"PINTOR ROSALES, PASEO, DEL, frente 38",,,,,,,
114,"439145,29","4475490,01",41813,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,13,BiciMAD,24,40.4278211,-3.7174151,"QUINTANA, CALLE, DE, 13",,,,,,,
115,"439181,48","4475218,76",41813,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,S/N,BiciMAD,24,40.4253802,-3.7169626,"MARQUES DE CERRALBO, PLAZA, DEL, S/N",,,,,,,
116 a,"439621,73",4475069,41813,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,S/N,BiciMAD,24,40.4240632,-3.7117588,"ESPAÑA, PLAZA, DE, S/N",,,,,,,
116 b,"439614,47","4475083,02",41813,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,S/N,BiciMAD,24,40.4241889,-3.7118457,"ESPAÑA, PLAZA, DE, S/N",,,,,,,
117,"439020,83","4475833,31",41816,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,BiciMAD,24,40.4309046,-3.7189152,"ALTAMIRANO, CALLE, DE, 24",,,,,,,
118,"441605,64","4472470,47",41813,02  ARGANZUELA,02-06 PALOS DE MOGUER,16,BiciMAD,24,40.4007959,-3.688135,"JUAN MARTIN EL EMPECINADO, CALLE, DE, 16",,,,,,,
119,"441738,36","4472542,79",41813,02  ARGANZUELA,02-07 ATOCHA,7,BiciMAD,24,40.4014567,-3.6865777,"MENDEZ ALVARO, CALLE, DE, 7",,,,,,,
120,"441043,78","4472723,55",41813,02  ARGANZUELA,02-06 PALOS DE MOGUER,frente 27,BiciMAD,24,40.4030362,-3.6947791,"PALOS DE LA FRONTERA, CALLE, DE, frente 27",,,,,,,
121,"440718,1","4472592,85",41813,02  ARGANZUELA,02-06 PALOS DE MOGUER,58,BiciMAD,24,40.4018356,-3.6986046,"SANTA MARIA DE LA CABEZA, PASEO, DE, 58",,,,,,,
122,"440941,06","4475664,68",41813,07  CHAMBERÍ,07-04 ALMAGRO,16,BiciMAD,24,40.429524,-3.6962626,"SANTA ENGRACIA, CALLE, DE, 16",,,,,,,
123,"439482,59","4475800,04",41813,07  CHAMBERÍ,07-01 GAZTAMBIDE,2,BiciMAD,24,40.4306386,-3.7134685,"GUZMAN EL BUENO, CALLE, DE, 2",,,,,,,
124,"440683,01","4475810,28",42186,07  CHAMBERÍ,07-03 TRAFALGAR,18,BiciMAD,24,40.4308173,-3.6993182,"MANUEL SILVELA, CALLE, DE, 18",,,,,,,
125,"441067,49","4476306,28",42186,07  CHAMBERÍ,07-04 ALMAGRO,29,BiciMAD,24,40.4353128,-3.6948316,"FERNANDEZ DE LA HOZ, CALLE, DE, 29",,,,,,,
126,"440480,69","4476228,15",42186,07  CHAMBERÍ,07-03 TRAFALGAR,4,BiciMAD,24,40.4345672,-3.7017424,"GENERAL ALVAREZ DE CASTRO, CALLE, DEL, 4",,,,,,,
127,"439915,53","4476159,21",42186,07  CHAMBERÍ,07-02 ARAPILES,19,BiciMAD,24,40.4339055,-3.7083987,"FERNANDO EL CATOLICO, CALLE, DE, 19",,,,,,,
128,"439313,53","4476733,24",42186,07  CHAMBERÍ,07-01 GAZTAMBIDE,59,BiciMAD,24,40.4390329,-3.7155506,"CEA BERMUDEZ, CALLE, DE, 59",,,,,,,
128 ampliacion,"439301,59","4476734,02",43539,07  CHAMBERÍ,07-01 GAZTAMBIDE,59,BiciMAD,3,40.4390391,-3.7156915,"CEA BERMUDEZ, CALLE, DE, 59",,,,,,,
129,"440777,63","4476658,85",42186,07  CHAMBERÍ,07-05 RÍOS ROSAS,33,BiciMAD,24,40.4384684,-3.6982818,"JOSE ABASCAL, CALLE, DE, 33",,,,,,,
130,"440489,99","4477022,03",42907,07  CHAMBERÍ,07-05 RÍOS ROSAS,129,BiciMAD,20,40.4417195,-3.7017071,"SANTA ENGRACIA, CALLE, DE, 129",,,,,,,
131,"440293,7","4477027,45",42186,07  CHAMBERÍ,07-05 RÍOS ROSAS,44,BiciMAD,24,40.4417543,-3.704022,"BRAVO MURILLO, CALLE, DE, 44",,,,,,,
132,"440334,34","4477541,61",42186,07  CHAMBERÍ,07-05 RÍOS ROSAS,168,BiciMAD,24,40.4463889,-3.7035911,"SANTA ENGRACIA, CALLE, DE, 168",,,,,,,
133,"440637,08","4477625,61",42186,06  TETUÁN,06-02 CUATRO CAMINOS,3,BiciMAD,24,40.4471673,-3.7000292,"DULCINEA, CALLE, DE, 3",,,,,,,
134,"441017,45","4477274,01",42186,07  CHAMBERÍ,07-05 RÍOS ROSAS,58,BiciMAD,24,40.444027,-3.6955114,"MARIA DE GUZMAN, CALLE, DE, 58",,,,,,,
135,"441237,54","4476990,04",42095,07  CHAMBERÍ,07-05 RÍOS ROSAS,S/N,BiciMAD,24,40.4414845,-3.6928901,"SAN JUAN DE LA CRUZ, PLAZA, DE, S/N",,,,,,,
136,"441417,02","4477410,33",42186,05  CHAMARTÍN,05-01 EL VISO,106,BiciMAD,24,40.4452833,-3.6908127,"CASTELLANA, PASEO, DE LA, 106",,,,,,,
137,"441885,33","4477430,27",42186,05  CHAMARTÍN,05-01 EL VISO,6,BiciMAD,24,40.4454958,-3.6852925,"REPUBLICA ARGENTINA, PLAZA, DE LA, 6",,,,,,,
138,"441352,15","4477455,81",42186,07  CHAMBERÍ,07-05 RÍOS ROSAS,frente 108,BiciMAD,24,40.4456884,-3.6915818,"CASTELLANA, PASEO, DE LA, frente 108",,,,,,,
139,"441442,67","4476752,13",42186,05  CHAMARTÍN,05-01 EL VISO,S/N,BiciMAD,24,40.4393558,-3.6904495,"JOSE GUTIERREZ ABASCAL, CALLE, DE, S/N",,,,,,,
140,"442081,95","4476666,37",42186,05  CHAMARTÍN,05-01 EL VISO,134,BiciMAD,24,40.438628,-3.6829045,"VELAZQUEZ, CALLE, DE, 134",,,,,,,
140 ampliación,"442081,16","4476654,37",44007,05  CHAMARTÍN,05-01 EL VISO,134,BiciMAD,3,40.4385198,-3.6829127,"VELAZQUEZ, CALLE, DE, 134",,,,,,,
141,"441537,59","4476315,08",42186,07  CHAMBERÍ,07-04 ALMAGRO,43,BiciMAD,12,40.4354253,-3.6892902,"CASTELLANA, PASEO, DE LA, 43",,,,,,,
142,"441641,97","4476103,45",42186,04  SALAMANCA,04-06 CASTELLANA,S/N,BiciMAD,24,40.4335262,-3.6880402,"CASTELLANA, PASEO, DE LA, S/N",,,,,,,
143,"442474,52","4476217,99",42186,04  SALAMANCA,04-05 LISTA,54,BiciMAD,24,40.434616,-3.6782355,"DIEGO DE LEON, CALLE, DE, 54",,,,,,,
144,"442707,74","4475961,24",42175,04  SALAMANCA,04-05 LISTA,50,BiciMAD,24,40.4323192,-3.6754628,"JUAN BRAVO, CALLE, DE, 50",,,,,,,
145,"443050,11","4475675,85",42186,04  SALAMANCA,04-05 LISTA,87,BiciMAD,24,40.4297717,-3.671401,"JOSE ORTEGA Y GASSET, CALLE, DE, 87",,,,,,,
146,"442435,7","4477286,68",42175,05  CHAMARTÍN,05-01 EL VISO,1,BiciMAD,18,40.4442406,-3.67879,"MARIA FRANCISCA, CALLE, DE, 1",,,,,,,
147,"442372,1","4477741,71",42186,05  CHAMARTÍN,05-01 EL VISO,45,BiciMAD,24,40.4483353,-3.6795811,"DOCTOR ARCE, AVENIDA, DEL, 45",,,,,,,
148,"442194,78","4478041,13",42186,05  CHAMARTÍN,05-01 EL VISO,210,BiciMAD,24,40.4510203,-3.6816993,"SERRANO, CALLE, DE, 210",,,,,,,
149,"441672,11","4477914,69",42186,05  CHAMARTÍN,05-01 EL VISO,42,BiciMAD,24,40.4498448,-3.6878512,"LA HABANA, PASEO, DE, 42",,,,,,,
150,"441443,38","4477835,19",42186,05  CHAMARTÍN,05-01 EL VISO,S/N,BiciMAD,24,40.4491125,-3.690541,"CASTELLANA, PASEO, DE LA, S/N",,,,,,,
151,"441047,89","4477810,45",42186,06  TETUÁN,06-02 CUATRO CAMINOS,10,BiciMAD,24,40.4488617,-3.6952023,"ORENSE, CALLE, DE, 10",,,,,,,
152,"440733,5","4478240,82",42186,06  TETUÁN,06-02 CUATRO CAMINOS,frente 4,BiciMAD,24,40.4527163,-3.6989497,"GENERAL PERON, AVENIDA, DEL, frente 4",,,,,,,
153,"441230,1","4478196,25",42186,06  TETUÁN,06-02 CUATRO CAMINOS,frente 36,BiciMAD,24,40.45235,-3.6930894,"GENERAL PERON, AVENIDA, DEL, frente 36",,,,,,,
154,"441097,89","4478466,69",42186,06  TETUÁN,06-02 CUATRO CAMINOS,36,BiciMAD,24,40.4547769,-3.6946736,"ORENSE, CALLE, DE, 36",,,,,,,
155,"440575,2","4478749,38",42186,06  TETUÁN,06-02 CUATRO CAMINOS,55,BiciMAD,24,40.4572863,-3.700864,"SAN GERMÁN, CALLE, DE, 55",,,,,,,
156,"441385,88","4478959,93",42186,06  TETUÁN,06-03 CASTILLEJOS,2,BiciMAD,24,40.4592406,-3.6913229,"SOR ANGELA DE LA CRUZ, CALLE, DE, 2",,,,,,,
157,"441554,84","4478963,2",42186,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,S/N,BiciMAD,24,40.459282,-3.6893305,"CASTELLANA, PASEO, DE LA, S/N",,,,,,,
158,"441946,46","4478886,67",42186,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,22 A,BiciMAD,24,40.45862,-3.6847049,"ALBERTO ALCOCER, AVENIDA, DE, 22 A",,,,,,,
159,"442024,96","4478401,51",42186,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,63,BiciMAD,24,40.4542549,-3.6837348,"LA HABANA, PASEO, DE, 63",,,,,,,
160,"442630,95","4478723,71",42186,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,7,BiciMAD,24,40.4571995,-3.6766176,"COLOMBIA, CALLE, DE, 7",,,,,,,
161,"438745,93","4474862,31",42186,09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,8,BiciMAD,24,40.4221372,-3.7220624,"FLORIDA, PASEO, DE LA, 8",,,,,,,
161 ampliacion,"438754,04","4474853,3",43355,09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,6,BiciMAD,3,40.4220566,-3.7219659,"FLORIDA, PASEO, DE LA, 6",,,,,,,
162,"439688,47","4472787,76",42186,02  ARGANZUELA,02-02 ACACIAS,28,BiciMAD,24,40.4035176,-3.7107559,"OLMOS, PASEO, DE LOS, 28",,,,,,,
163,"440055,04","4472797,85",42186,02  ARGANZUELA,02-02 ACACIAS,"0,083333333",BiciMAD,21,40.4036349,-3.7064372,"ESPERANZA, PASEO, DE LA, 0,0833333333333333",,,,,,,
164,"441063,58","4472068,5",42186,02  ARGANZUELA,02-05 DELICIAS,94,BiciMAD,24,40.3971366,-3.6944851,"DELICIAS, PASEO, DE LAS, 94",,,,,,,
165,"440794,37","4471598,57",43718,02  ARGANZUELA,02-03 CHOPERA,frente 49,BiciMAD,27,40.3928841,-3.6976134,"CHOPERA, PASEO, DE LA, frente 49",,,,,,,
166,"439478,68","4473946,37",42544,01  CENTRO,01-01 PALACIO,21,BiciMAD,24,40.4139396,-3.7133382,"SEGOVIA, CALLE, DE, 21",,,,,,,
167,"439113,04","4473926,4",42877,02  ARGANZUELA,02-01 IMPERIAL,47 A,BiciMAD,24,40.4137331,-3.7176456,"SEGOVIA, CALLE, DE, 47 A",,,,,,,
168,"440948,66","4472895,98",43752,02  ARGANZUELA,02-06 PALOS DE MOGUER,frente 32,BiciMAD,24,40.4045828,-3.6959159,"SANTA MARIA DE LA CABEZA, PASEO, DE, frente 32",,,,,,,
169,"439424,51","4472574,58",43699,02  ARGANZUELA,02-02 ACACIAS,181,BiciMAD,24,40.401578,-3.713846,"TOLEDO, CALLE, DE, 181",,,,,,,
170,"440225,41","4472515,53",43649,02  ARGANZUELA,02-02 ACACIAS,21,BiciMAD,24,40.4011039,-3.704403,"ESPERANZA, PASEO, DE LA, 21",,,,,,,
171,"440729,75","4472362,64",43649,02  ARGANZUELA,02-05 DELICIAS,97,BiciMAD,24,40.3997626,-3.6984459,"EMBAJADORES, CALLE, DE, 97",,,,,,,
172,"441146,63","4472482,09",43740,02  ARGANZUELA,02-06 PALOS DE MOGUER,1,BiciMAD,24,40.4008683,-3.6935448,"BUSTAMANTE, CALLE, DE, 1",,,,,,,
173,"440396,07","4472189,13",43699,02  ARGANZUELA,02-02 ACACIAS,59,BiciMAD,24,40.3981757,-3.7023615,"ESPERANZA, PASEO, DE LA, 59",,,,,,,
