ID,Gis_X,Gis_Y,FechadeAlta,Distrito,Barrio,NFinca,TipodeReserva,LineaBateria,NumerodePlazas,LongitudP,Longitud,Latitud,Direccion
20.19,"446359,4200000000","4476106,6700000000",38278,SAN BLAS-CANILLEJAS,SIMANCAS,Fte 4,Taxi,Línea,3,"15,00",-3.6324252,40.4338728,"JULIAN CAMARILLO, CALLE, DE, Fte 4"
20.2,"446001,4500000000","4477646,4400000000",39797,SAN BLAS-CANILLEJAS,SALVADOR,5,Taxi,Línea,3,"15,00",-3.6367763,40.4477207,"JUAN RIZI, CALLE, DE, 5"
20.21,"450586,0600000000","4477438,2700000000",42020,SAN BLAS-CANILLEJAS,REJAS,S/N,Taxi,Línea,2,"10,10",-3.582699,40.4461306,"CAMPEZO, CALLE, DE, S/N"
20.22,"445607,2800000000","4477773,3200000000",39989,SAN BLAS-CANILLEJAS,SALVADOR,40,Taxi,Batería,3,"7,21",-3.6414351,40.448838,"JOSEFA VALCARCEL, CALLE, DE, 40"
20.23,"448520,1500000000","4475068,5700000000",42019,SAN BLAS-CANILLEJAS,ROSAS,8,Taxi,Línea,3,"16,00",-3.6068674,40.4246575,"GINEBRA, PASEO, DE, 8"
20.25,"450622,0000000000","4477640,7300000000",40672,SAN BLAS-CANILLEJAS,REJAS,4,Taxi,Línea,5,"25,00",-3.5822909,40.4479566,"CAMPEZO, CALLE, DE, 4"
20.26,"450617,5800000000","4477596,7400000000",40672,SAN BLAS-CANILLEJAS,REJAS,S/N,Taxi,Línea,5,"20,00",-3.5823396,40.44756,"CAMPEZO, CALLE, DE, S/N"
20.27,"447432,8600000000","4477043,3500000000",40743,SAN BLAS-CANILLEJAS,SIMANCAS,Fte 69,Taxi,Línea,4,"20,10",-3.6198474,40.4423795,"CRONOS, CALLE, DE, Fte 69"
20.28,"448600,8600000000","4476071,2500000000",42993,SAN BLAS-CANILLEJAS,ROSAS,100 E,Taxi,Línea,5,"25,00",-3.605997,40.4336952,"SUECIA, CALLE, DE, 100 E"
20.3,"447057,3200000000","4477651,4700000000",44103,SAN BLAS-CANILLEJAS,SALVADOR,5,Taxi,Batería,8,"21,00",-3.6243261,40.447834,"MARQUESADO DE SANTA MARTA, CALLE, DEL, 5"
20.31,"446519,6500000000","4476410,9000000000",43304,SAN BLAS-CANILLEJAS,SIMANCAS,9,Taxi,Línea,3,"15,00",-3.6305618,40.4366238,"ALBASANZ, CALLE, DE, 9"
20.32,"445991,1600000000","4476395,9600000000",44161,SAN BLAS-CANILLEJAS,SIMANCAS,17 B,Taxi,Línea,2,"10,00",-3.6367913,40.436455,"INSTITUCION LIBRE DE ENSEÑANZA, AVENIDA, DE LA, 17 B"
21.01,"450634,9800000000","4478833,6500000000",40838,BARAJAS,ALAMEDADEOSUNA,27,Taxi,Batería,5,"12,00",-3.5822306,40.4587039,"GALEON, CALLE, DEL, 27"
21.02,"450992,8900000000","4480495,0200000000",38408,BARAJAS,CASCOHISTÓRICODEBARAJAS,2,Taxi,Batería,10,"27,00",-3.5781378,40.4736917,"MAYOR DE BARAJAS, PLAZA, 2"
21.04,"450121,8600000000","4478475,5500000000",38414,BARAJAS,ALAMEDADEOSUNA,S/N,Taxi,Línea,4,"22,00",-3.5882541,40.4554473,"NAVIO, PLAZA, DEL, S/N"
21.05,"450126,0300000000","4478194,5300000000",38414,BARAJAS,ALAMEDADEOSUNA,1,Taxi,Línea,4,"20,00",-3.5881829,40.4529159,"MAR, PLAZA, DEL, 1"
