CODIGO,DESCRIPCION,SameAs_Wikidata_DESCRIPCION,LATITUD,LONGITUD,DIRECCION,C.P.,POBLACION,SameAs_Wikidata_POBLACION,PROVINCIA,SameAs_Wikidata_PROVINCIA,Fichas
35704,Estación de Puente Alcocer,https://wikidata.org/entity/Q5846980,"40,350418","-3,705122","CALLE ALCOCER, 54",28041,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35704.pdf
98305,Aeropuerto T4,https://wikidata.org/entity/Q2605805,"40,491691","-3,593988",CARRETERA M-12 - TERMINAL AEROPUERTO T4 - BARAJAS,28042,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion98305.pdf
35601,Estación de Fanjul,https://wikidata.org/entity/Q5846227,"40,38367","-3,768496","AVENIDA DE LAS AGUILAS, 25",28044,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35601.pdf
35602,Q5846576,https://wikidata.org/entity/Q5846576,"40,381009","-3,780187","AVENIDA DE LAS AGUILAS, 144",28044,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35602.pdf
18000,Atocha-Cercanías railway station,https://wikidata.org/entity/Q2842655,"40,406556","-3,689508","PLAZA DEL EMPERADOR CARLOS V, S/N",28045,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion18000.pdf
18003,Méndez Álvaro,https://wikidata.org/entity/Q2479775,"40,395419","-3,678137","CALLE DEL OMBU, S/N",28045,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion18003.pdf
18004,Delicias,https://wikidata.org/entity/Q3306947,"40,400381","-3,692712","PASEO DE LAS DELICIAS, 61",28045,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion18004.pdf
35701,Méndez Álvaro,https://wikidata.org/entity/Q2479775,"40,395735","-3,677847","CALLE PEDRO BOSCH, S/N",28045,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35701.pdf
18002,Nuevos Ministerios Station,https://wikidata.org/entity/Q2705508,"40,446612","-3,692207","CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 69",28046,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion18002.pdf
35600,Aluche,https://wikidata.org/entity/Q2058531,"40,385738","-3,760807","AVENIDA DE LOS POBLADOS, S/N",28047,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35600.pdf
35608,Laguna,https://wikidata.org/entity/Q2482135,"40,399006","-3,744225","CALLE ALHAMBRA, S/N",28047,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35608.pdf
17003,El Goloso station,https://wikidata.org/entity/Q5846165,"40,558808","-3,713966","CARRETERA COLMENAR VIEJO, KM 18",28049,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion17003.pdf
17009,Cantoblanco station,https://wikidata.org/entity/Q4319104,"40,543818","-3,700217","CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL, S/N",28049,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion17009.pdf
19001,Universidad P. Comillas station,https://wikidata.org/entity/Q2280874,"40,55412","-3,683267","CARRETERA M-616 - ESTACION FERROCARRIL, S/N",28049,Alcobendas,https://wikidata.org/entity/Q487679,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion19001.pdf
98003,Fuente de la Mora Station,https://wikidata.org/entity/Q16891479,"40,484729","-3,662833","CALLE DULCE CHACON, S/N",28050,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion98003.pdf
70100,Vicálvaro - Rey Juan Carlos University,https://wikidata.org/entity/Q2479859,"40,401043","-3,5952733","CALLE SAN CIPRIANO, 85",28052,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70100.pdf
98304,Estación de Valdebebas,https://wikidata.org/entity/Q19753295,"40,48207","-3,616414","AVENIDA DE LAS FUERZAS ARMADAS, S/N",28055,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion98304.pdf
19002,Valdelasfuentes,https://wikidata.org/entity/Q2753748,"40,547425","-3,654149","CALLE MARQUES DE LA VALDAVIA, S/N",28100,Alcobendas,https://wikidata.org/entity/Q487679,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion19002.pdf
19003,Alcobendas-San Sebastián de los Reyes train station,https://wikidata.org/entity/Q1882520,"40,546744","-3,635149","AVENIDA DE ESPAÑA, 52",28100,San Sebastián de los Reyes,https://wikidata.org/entity/Q484717,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion19003.pdf
10007,Majadahonda,https://wikidata.org/entity/Q2263478,"40,474347","-3,845334","CARRETERA DEL PLANTIO, S/N",28221,Majadahonda,https://wikidata.org/entity/Q427505,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10007.pdf
10002,Q5846969,https://wikidata.org/entity/Q5846969,"40,447225","-3,800145","CALLE ANTONIO DIAZ, 1",28224,Almoloya de Juárez estado de México,https://wikidata.org/entity/Q639422,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10002.pdf
10010,El Barrial train station,https://wikidata.org/entity/Q5846138,"40,465299","-3,807828","CALLE RAFAEL BOTI, 62",28224,Almoloya de Juárez estado de México,https://wikidata.org/entity/Q639422,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10010.pdf
10005,Las Rozas,https://wikidata.org/entity/Q1975280,"40,494215","-3,868181","CALLE SAN SEBASTIAN, S/N",28230,Las Rozas de Madrid,https://wikidata.org/entity/Q592747,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10005.pdf
10100,Pinar,https://wikidata.org/entity/Q2537523,"40,522282","-3,882258","AVENIDA DE LOS BOMBEROS, S/N",28230,Las Rozas de Madrid,https://wikidata.org/entity/Q592747,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10100.pdf
10103,Torrelodones,https://wikidata.org/entity/Q4880221,"40,574559","-3,956577","PLAZA SALVADOR SANCHEZ FRASCUELO, 1",28250,Torrelodones,https://wikidata.org/entity/Q542958,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10103.pdf
10203,El Escorial train station,https://wikidata.org/entity/Q11681645,"40,585279","-4,132418","CALLE SANTA ROSA, 85",28280,El Escorial,https://wikidata.org/entity/Q985269,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10203.pdf
10101,Las Matas train station,https://wikidata.org/entity/Q8840909,"40,552415","-3,896791","PLAZA DEL FERROCARRIL, S/N",28290,Las Rozas de Madrid,https://wikidata.org/entity/Q592747,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10101.pdf
10201,Estación de San Yago,https://wikidata.org/entity/Q5847153,"40,617864","-4,031106","AVENIDA SALTOS DEL SIL, 1",28292,Galapagar,https://wikidata.org/entity/Q1615953,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10201.pdf
