ID,Gis_X,Gis_Y,FechadeAlta,Distrito,SameAs_Wikidata_Distrito,Barrio,SameAs_Wikidata_Barrio,NFinca,TipodeReserva,SameAs_Wikidata_TipodeReserva,NumerodePlazas,Longitud,Latitud,Direccion
41,"440694,54","4473746,65",43480,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,56,BiciMAD,https://wikidata.org/entity/Q17402113,18,-36.989.898,40.412.228,"ATOCHA, CALLE, DE, 56"
42,"440757,78","4473584,46",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,32,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.982.294,404.107.714,"SANTA ISABEL, CALLE, DE, 32"
43,"440391,04","4473511,6",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,36,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.025.446,404.100.889,"LAVAPIES, CALLE, DE, 36"
44,"440274,63","4473482,26",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,35,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.039.138,404.098.162,"MESON DE PAREDES, CALLE, DEL, 35"
45,"439659,1","4473168,86",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,1,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.111.381,404.069.486,"PUERTA DE TOLEDO, GLORIETA, DE LA, 1"
46,"439998,9","4472999,74",41813,Arganzuela,https://wikidata.org/entity/Q2000929,Las Acacias,https://wikidata.org/entity/Q3319190,28,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.071.178,404.054.496,"RIBERA DE CURTIDORES, CALLE, DE LA, 28"
47,"440368,37","4472905,07",41813,Arganzuela,https://wikidata.org/entity/Q2000929,Las Acacias,https://wikidata.org/entity/Q3319190,7.1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.702.755,404.046.233,"EMBAJADORES, GLORIETA, DE, 7 B"
48,"440424,7","4472996,09",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,2,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.020.997,404.054.473,"EMBAJADORES, GLORIETA, DE, 2"
49,"440667,66","4473061,04",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,36,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.992.427,404.060.497,"ATOCHA, RONDA, DE, 36"
50,"441180,67","4473307,92",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,57,BiciMAD,https://wikidata.org/entity/Q17402113,24,-369.322,404.083.102,"SANTA ISABEL, CALLE, DE, 57"
51,"441148,47","4473243,04",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,7,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.935.934,404.077.234,"EMPERADOR CARLOS V, PLAZA, DEL, 7"
52,"440544,34","4474002,06",41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,9,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.007.838,404.145.181,"SANTA ANA, PLAZA, DE, 9"
53,"440543,46","4473309,62",41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,2,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.007.295,404.082.802,"VALENCIA, CALLE, DE, frente 2"
54,"440592,35","4475345,44",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,7,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.003.435,404.266.233,"BARCELO, CALLE, DE, 7"
55,"440455,56","4475063,26",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,8,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.019.295,404.240.716,"SAN ILDEFONSO, PLAZA, DE, 8"
56,"440335,43","4474443,96",41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.032.875,40.418.484,"CARMEN, PLAZA, DEL, 1"
57,"439536,86","4475688,34",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.128.181,404.296.363,"SANTA CRUZ DE MARCENADO, CALLE, DE, 24"
58,"440791,91","4474859,51",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,33,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.979.458,404.222.601,"AUGUSTO FIGUEROA, CALLE, DE, 33"
59,"440271,27","4475221,1",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,30,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.041.167,404.254.802,"ESPIRITU SANTO, CALLE, DEL, 30"
60,"441616,3","4474541,2",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,7,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.881.994,404.194.508,"INDEPENDENCIA, PLAZA, DE LA, 7"
61,"442720,29","4474753,26",41813,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,30,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.675.206,404.214.379,"O'DONNELL, CALLE, DE, 30"
62,"442956,32","4474735,99",41813,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,48,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.724.223,404.212.986,"O'DONNELL, CALLE, DE, 48"
63,"443103,74","4474356,79",41813,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,64,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.706.508,404.178.926,"IBIZA, CALLE, DE, 64"
65,"441513,53","4474235,07",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,15,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.893.825,404.166.859,"ANTONIO MAURA, CALLE, DE, 15"
