id;Gis_X;Gis_Y;FechadeAlta;Distrito;Barrio;Calle;NFinca;TipodeReserva;NumerodePlazas;Longitud;Latitud;Direccion
48;440424,7;4472996,09;41813;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, GLORIETA, DE;2;BiciMAD;24;-37.020.997;404.054.473;EMBAJADORES, GLORIETA, DE, 2
49;440667,66;4473061,04;41813;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;36;BiciMAD;24;-36.992.427;404.060.497;ATOCHA, RONDA, DE, 36
50;441180,67;4473307,92;41813;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;57;BiciMAD;24;-369.322;404.083.102;SANTA ISABEL, CALLE, DE, 57
51;441148,47;4473243,04;41813;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;7;BiciMAD;27;-36.935.934;404.077.234;EMPERADOR CARLOS V, PLAZA, DEL, 7
52;440544,34;4474002,06;41813;01  CENTRO;01-03 CORTES;SANTA ANA, PLAZA, DE;9;BiciMAD;24;-37.007.838;404.145.181;SANTA ANA, PLAZA, DE, 9
53;440543,46;4473309,62;41813;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;frente 2;BiciMAD;24;-37.007.295;404.082.802;VALENCIA, CALLE, DE, frente 2
54;440592,35;4475345,44;41813;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;7;BiciMAD;21;-37.003.435;404.266.233;BARCELO, CALLE, DE, 7
55;440455,56;4475063,26;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN ILDEFONSO, PLAZA, DE;8;BiciMAD;24;-37.019.295;404.240.716;SAN ILDEFONSO, PLAZA, DE, 8
56;440335,43;4474443,96;41813;01  CENTRO;01-06 SOL;CARMEN, PLAZA, DEL;1;BiciMAD;24;-37.032.875;40.418.484;CARMEN, PLAZA, DEL, 1
57;439536,86;4475688,34;41813;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24;BiciMAD;24;-37.128.181;404.296.363;SANTA CRUZ DE MARCENADO, CALLE, DE, 24
58;440791,91;4474859,51;41813;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;33;BiciMAD;24;-36.979.458;404.222.601;AUGUSTO FIGUEROA, CALLE, DE, 33
59;440271,27;4475221,1;41813;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;30;BiciMAD;21;-37.041.167;404.254.802;ESPIRITU SANTO, CALLE, DEL, 30
60;441616,3;4474541,2;41813;03  RETIRO;03-05 JERÓNIMOS;INDEPENDENCIA, PLAZA, DE LA;7;BiciMAD;24;-36.881.994;404.194.508;INDEPENDENCIA, PLAZA, DE LA, 7
61;442720,29;4474753,26;41813;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;30;BiciMAD;24;-3.675.206;404.214.379;O'DONNELL, CALLE, DE, 30
62;442956,32;4474735,99;41813;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;48;BiciMAD;24;-36.724.223;404.212.986;O'DONNELL, CALLE, DE, 48
63;443103,74;4474356,79;41813;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;64;BiciMAD;24;-36.706.508;404.178.926;IBIZA, CALLE, DE, 64
65;441513,53;4474235,07;41813;03  RETIRO;03-05 JERÓNIMOS;ANTONIO MAURA, CALLE, DE;15;BiciMAD;24;-36.893.825;404.166.859;ANTONIO MAURA, CALLE, DE, 15
67;441190,08;4473587,45;41813;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;BiciMAD;24;-36.931.349;40.410.829;ALMADEN, CALLE, DE, 28
68;441358,92;4473802,81;41813;03  RETIRO;03-05 JERÓNIMOS;ESPALTER, CALLE, DE;1;BiciMAD;21;-36.911.649;40.412.781;ESPALTER, CALLE, DE, 1
69;441551,54;4473499,36;41813;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;54;BiciMAD;27;-36.888.669;404.100.609;ALFONSO XII, CALLE, DE, 54
