StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,Address,Capacity,CoordinatesID,Longitude,Latitude
78,78,"442755,86","4472436,57",78,3,RETIRO,32,ADELFAS,-CALLEDEL-CERRO-DE-LA-PLATA-2,24,78,-3.6745783,40.4005704
79,79,"442252,73","4472937,49",79,3,RETIRO,31,PACÍFICO,-AVENIDADE-MENENDEZ-PELAYO-38,24,79,-3.6805524,40.4050482
080a,080a,"441412,24","4473206,43",080a,2,ARGANZUELA,27,ATOCHA,-AVENIDADE-LA-CIUDAD-DE-BARCELONA-,24,080a,-3.6904816,40.4074122
080b,080b,"441391,88","4473230,32",080b,2,ARGANZUELA,27,ATOCHA,-AVENIDADE-LA-CIUDAD-DE-BARCELONA-,27,080b,-3.6907238,40.407626
81,81,"441288,14","4473447,57",81,3,RETIRO,35,JERÓNIMOS,-CALLEDE-CLAUDIO-MOYANO-,24,81,-3.6919663,40.4095758
82,82,"443177,93","4473311,29",82,3,RETIRO,33,ESTRELLA,-CALLEDE-LA-LIRA-2,24,82,-3.669683,40.4084793
83,83,"442770,38","4473844,96",83,3,RETIRO,36,NIÑO-JESÚS-,-CALLEDE-PIO-BAROJA-8-B,24,83,-3.6745339,40.4132589
84,84,"442918,27","4472746,05",84,3,RETIRO,32,ADELFAS,-CALLEDEL-DOCTOR-ESQUERDO-191,24,84,-3.6726923,40.4033695
85,85,"442319,29","4474723,43",85,3,RETIRO,35,JERÓNIMOS,-AVENIDADE-MENENDEZ-PELAYO-9,27,85,-3.6799299,40.4211415
86,86,"441180,29","4474447,71",86,1,CENTRO,13,CORTES,-PASEODEL-PRADO-,21,86,-3.6933298,40.4185779
87,87,"442016,68","4475450,66",87,4,SALAMANCA,41,RECOLETOS,-CALLEDE-AYALA-44,24,87,-3.6835631,40.4276717
88,88,"442004,11","4475843,28",88,4,SALAMANCA,46,CASTELLANA,-CALLEDE-VELAZQUEZ-73,24,88,-3.6837471,40.4312077
