Identifier,Description,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address,same_as_wikidata_calle,Housenumber
147565,SITUADO-APARCABICICLETAS-C.P.-GUINDALERA,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"AVENIDA CAMILO JOSE CELA,6",,6
148185,SITUADO-APARCABICICLETAS-AGENCIA-ESTATAL-DE-ADMINISTRACION-TRIBUTARIA,4,Salamanca,https://wikidata.org/entity/Q1773521,46,Castellana,https://wikidata.org/entity/Q4781,OPERATIVO,Núñez de Balboa Street,https://wikidata.org/entity/Q28065000,125
148326,SITUADO-APARCABICICLETAS-EMBAJADA-DE-ALBANIA,4,Salamanca,https://wikidata.org/entity/Q1773521,45,Lista,https://wikidata.org/entity/Q4779,OPERATIVO,María de Molina,https://wikidata.org/entity/Q28058270,62
148778,SITUADO-APARCABICICLETAS-CENTRO-MUNICIPAL-MOSCARDO,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"CALLE PILAR DE ZARAGOZA,93",,93
149445,SITUADO-APARCABICICLETAS-C/PADRE-FRANCISCO-PALAU-Y-QUER,5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,Paseo de la Castellana,https://wikidata.org/entity/Q1473674,272
150558,SITUADO-APARCABICICLETAS-ESCUELA-TECNICA-SUPERIOR-DE-INGENIEROS-INDUSTRIALES-UPM,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"Calle de Pedro de Valdivia, Madrid",https://wikidata.org/entity/Q28059081,6
151223,SITUADO-APARCABICICLETAS-FRENTE-EDIFICIO-DE-COFIDES,5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,Paseo de la Castellana,https://wikidata.org/entity/Q1473674,278
154330,SITUADO-APARCABICICLETAS-I.E.S.-RAMIRO-DE-MAEZTU,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,Serrano Street,https://wikidata.org/entity/Q5740879,131
155190,SITUADO-APARCABICICLETAS-INSTALACION-DEPORTIVA-BASICA-SANTA-HORTENSIA,5,Chamartín,https://wikidata.org/entity/Q1766348,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,"Calle de Santa Hortensia, Madrid",https://wikidata.org/entity/Q28943619,34
155947,SITUADO-APARCABICICLETAS-FRENTE-A-IBM,5,Chamartín,https://wikidata.org/entity/Q1766348,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,"Calle de Santa Hortensia, Madrid",https://wikidata.org/entity/Q28943619,31
155979,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-PROSPERIDAD,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Plaza de Prosperidad, Madrid",https://wikidata.org/entity/Q56672069,3
156151,SITUADO-APARCABICICLETAS-PLAZA-DE-HERMINIO-MINGUEZ,5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,"CALLE CONDE DE TORRALBA,23",,23
156740,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-PINTOR-ROSALES,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,calle del Príncipe de Vergara,https://wikidata.org/entity/Q5741020,139
157887,SITUADO-APARCABICICLETAS-PLAZA-DE-ANDRES-SEGOVIA,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Plaza de Andrés Segovia, Madrid",https://wikidata.org/entity/Q56753702,2
157999,SITUADO-APARCABICICLETAS-AL-LADO-DE-LA-FUENTE-DE-LOS-DELFINES,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"Avenida del Doctor Arce, Madrid",https://wikidata.org/entity/Q29199638,1
158867,SITUADO-APARCABICICLETAS-CERCA-DE-ESTACION-DE-METRO-NUEVOS-MINISTERIOS,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,Paseo de la Castellana,https://wikidata.org/entity/Q1473674,110
159396,SITUADO-APARCABICICLETAS-PLAZA-DE-RODOLFO-Y-ERNESTO-HALFFTER,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Calle de Suero de Quiñones, Madrid",https://wikidata.org/entity/Q29202471,32
161602,SITUADO-APARCABICICLETAS-JARDINES-DE-PROSPERO-SOYNARD,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"CALLE EUGENIO SALAZAR,55",,55
161723,SITUADO-APARCABICICLETAS-ESCUELA-DE-DANZA-BROADWAY,5,Chamartín,https://wikidata.org/entity/Q1766348,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,"CALLE PADRE CLARET,23",,23
161936,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-MUNICIPAL-PRADILLO,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,calle de Pradillo,https://wikidata.org/entity/Q55868790,25
162245,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-LEGAZPI,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,Legazpi,https://wikidata.org/entity/Q5547886,1
162466,SITUADO-APARCABICICLETAS-ENTRADA-PARQUE-BERLIN,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"CALLE DOCTOR MARCO CORERA,2",,2
162728,SITUADO-APARCABICICLETAS-CENTRO-COMERCIAL-MENDEZ-ALVARO,2,Arganzuela,https://wikidata.org/entity/Q2000929,27,Atocha,https://wikidata.org/entity/Q3814594,OPERATIVO,Retama Street,https://wikidata.org/entity/Q28983516,4
162739,SITUADO-APARCABICICLETAS-C/V-CALLE-ARIEL,2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,"CALLE MENESES,4",,4
163739,SITUADO-APARCABICICLETAS-C.P.-PADRE-POVEDA,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Avenida de Alfonso XIII, Madrid",https://wikidata.org/entity/Q29397736,23
164052,SITUADO-APARCABICICLETAS-ENTRADA-PARQUE-BERLIN,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Avenida de Ramón y Cajal, Madrid",https://wikidata.org/entity/Q30467128,5
165831,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-ARGANZUELA-PLANETARIO,2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,"CALLE BRONCE,",,
166022,SITUADO-APARCABICICLETAS-EN-EL-PLANETARIO,2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,Avenida del Planetario,https://wikidata.org/entity/Q17622122,16
166611,SITUADO-APARCABICICLETAS-AL-LADO-DEL-AYUNTAMIENTO,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"CALLE HERREROS DE TEJADA,7",,7
167171,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-PADRE-DAMIAN,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Calle del Padre Damián, Madrid",https://wikidata.org/entity/Q28740210,24
167650,SITUADO-APARCABICICLETAS-ESCUELA-UNIVERSITARIA-DE-DISEÑO,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Avenida de Alfonso XIII, Madrid",https://wikidata.org/entity/Q29397736,97
167812,SITUADO-APARCABICICLETAS-JUNTO-A-ZONA-AJARDINADA,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Calle de Juan Ramón Jiménez, Madrid",https://wikidata.org/entity/Q29018444,9
168626,SITUADO-APARCABICICLETAS-MINISTERIO-DE-HACIENDA.-METRO-CUZCO,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,Paseo de la Castellana,https://wikidata.org/entity/Q1473674,162
168705,SITUADO-APARCABICICLETAS-FRENTE-A-EDIFICIO-COMERCIAL,5,Chamartín,https://wikidata.org/entity/Q1766348,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,avenida de Alberto Alcocer,https://wikidata.org/entity/Q26833742,10
168988,SITUADO-APARCABICICLETAS-PLAZA-REPUBLICA-DOMINICANA,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,calle del Príncipe de Vergara,https://wikidata.org/entity/Q5741020,283
169252,SITUADO-APARCABICICLETAS-CERCANO-A-COLEGIO-SAGRADO-CORAZON,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"CALLE PARAGUAY,8",,8
169332,SITUADO-APARCABICICLETAS-CENTRO-MEDICO-MILENIUM-COSTA-RICA,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"PLAZA JOSE MARIA SOLER,7",,7
169946,SITUADO-APARCABICICLETAS-COLEGIO-NUESTRA-SEÑORA-DE-LA-MERCED,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"Avenida de Alfonso XIII, Madrid",https://wikidata.org/entity/Q29397736,165
170048,SITUADO-APARCABICICLETAS-JUNTO-A-PLAZA-RUTILIO-GARCIS,2,Arganzuela,https://wikidata.org/entity/Q2000929,23,La Chopera,https://wikidata.org/entity/Q3773750,OPERATIVO,"CALLE GUILLERMO DE OSMA,10",,10
170099,SITUADO-APARCABICICLETAS-JUNTO-A-JARDIN-DE-GLORIA-FUERTES,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"Avenida de Alfonso XIII, Madrid",https://wikidata.org/entity/Q29397736,180
170181,SITUADO-APARCABICICLETAS-EMBAJADA-DE-COSTA-RICA,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"Calle de Juan Hurtado de Mendoza, Madrid",https://wikidata.org/entity/Q54486212,1
