COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;SITUADO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;DIR_HORIO
;contenedor de aceite;;;;Calle  Cooperativa Eléctrica , 2 ;;;Situado en vía pública;;Calle;;Cooperativa Eléctrica ;número;2;;;13;Puente de Vallecas;443872;4469578;40,37489238;-3,661175203;Todos los días, 24 horas. ;;Calle  Cooperativa Eléctrica , 2  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Ramón Pérez de Ayala , 92 ;;;Situado en vía pública;;Calle;;Ramón Pérez de Ayala ;número;92;;;13;Puente de Vallecas;444824;4472358;40,39999908;-3,650205471;Todos los días, 24 horas. ;;Calle  Ramón Pérez de Ayala , 92  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Hacienda de Pavones , 224 ;;Galería Municipal M2;Situado en vía pública;;Calle;;Hacienda de Pavones ;número;224;;;14;Moratalaz;445718;4472534;40,40164558;-3,639687143;Todos los días, 24 horas. ;;Calle  Hacienda de Pavones , 224  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Arroyo de la Media Legua , 4 ;;;Situado en vía pública;;Calle;;Arroyo de la Media Legua ;número;4;;;14;Moratalaz;444178;4473213;40,40766174;-3,657883738;Todos los días, 24 horas. ;;Calle  Arroyo de la Media Legua , 4  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Vital Aza , 47 ;;;Situado en vía pública;;Calle;;Vital Aza ;número;47;;;15;Ciudad Lineal;445620;4475951;40,43242686;-3,641134389;Todos los días, 24 horas. ;;Calle  Vital Aza , 47  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Santa Genoveva, 1 frente;frente;;Situado en vía pública;;Calle;;Santa Genoveva;número;1;;;15;Ciudad Lineal;445075;4475285;40,42638381;-3,647493239;Todos los días, 24 horas. ;;Calle  Santa Genoveva, 1 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Gandhi , 14 ;;;Situado en vía pública;;Calle;;Gandhi ;número;14;;;15;Ciudad Lineal;446186;4475026;40,42412269;-3,634375544;Todos los días, 24 horas. ;;Calle  Gandhi , 14  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Alcorisa , 21 ;;;Situado en vía pública;;Calle;;Alcorisa ;número;21;;;16;Hortaleza;445642;4479257;40,46220202;-3,641150991;Todos los días, 24 horas. ;;Calle  Alcorisa , 21  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Carretera  Estación de Hortaleza ,  esquina C/  Santa Adela;esquina C/  Santa Adela;;Situado en vía pública;;Carretera;;Estación de Hortaleza ;número;;;;16;Hortaleza;444796;4481129;40,47901052;-3,651291082;Todos los días, 24 horas. ;;Carretera  Estación de Hortaleza ,  esquina C/  Santa Adela (Todos los días, 24 horas. )
;contenedor de aceite;;;;Paseo  Ferroviarios , 9 ;;;Situado en vía pública;;Paseo;;Ferroviarios ;número;9;;;17;Villaverde;439243;4466651;40,34820365;-3,715423124;Todos los días, 24 horas. ;;Paseo  Ferroviarios , 9  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Benimamet , 24 ;;Centro de Salud;Situado en vía pública;;Calle;;Benimamet ;número;24;;;17;Villaverde;441804;4466116;40,34356214;-3,685221468;Todos los días, 24 horas. ;;Calle  Benimamet , 24  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Enrique García Álvarez , 7 ;;;Situado en vía pública;;Calle;;Enrique García Álvarez ;número;7;;;18;Villa de Vallecas;447884;4470190;40,38066563;-3,613965613;Todos los días, 24 horas. ;;Calle  Enrique García Álvarez , 7  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida  Las Suertes , 62 ;;;Situado en vía pública;;Avenida;;Las Suertes ;número;62;;;18;Villa de Vallecas;449022;4468725;40,36754424;-3,600443242;Todos los días, 24 horas. ;;Avenida  Las Suertes , 62  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Pedernal , 1 ;;;Situado en vía pública;;Calle;;Pedernal ;número;1;;;19;Vicálvaro;449230;4472955;40,40566459;-3,598327824;Todos los días, 24 horas. ;;Calle  Pedernal , 1  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  San Cipriano , 32 ;;;Situado en vía pública;;Calle;;San Cipriano ;número;32;;;19;Vicálvaro;448569;4472777;40,4040153;-3,606111125;Todos los días, 24 horas. ;;Calle  San Cipriano , 32  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Calahorra , 17 ;;;Situado en vía pública;;Calle;;Calahorra ;número;17;;;19;Vicálvaro;447967;4473106;40,40694221;-3,613232999;Todos los días, 24 horas. ;;Calle  Calahorra , 17  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida  Guadalajara , 33 ;;;Situado en vía pública;;Avenida;;Guadalajara ;número;33;;;20;San Blas - Canillejas;447323;4474490;40,41936664;-3,620925638;Todos los días, 24 horas. ;;Avenida  Guadalajara , 33  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Castillo de Uclés , 26 ;;;Situado en vía pública;;Calle;;Castillo de Uclés ;número;26;;;20;San Blas - Canillejas;446951;4475435;40,42786216;-3,625390247;Todos los días, 24 horas. ;;Calle  Castillo de Uclés , 26  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Ayerbe , 9 frente;frente;;Situado en vía pública;;Calle;;Ayerbe ;número;9;;;21;Barajas;450980;4480124;40,47034977;-3,578260183;Todos los días, 24 horas. ;;Calle  Ayerbe , 9 frente (Todos los días, 24 horas. )
