NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
Contenedor de Aceite Andrés Mellado 50,Contenedor de Aceite,Mercado Guzmán el Bueno,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Andrés Mellado,Número,50,7,Chamberí,439412,4476254
Contenedor de Aceite San Cugat del Vallés 9,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,San Cugat del Vallés,Número,9,8,Fuencarral - El Pardo,441166,4483128
Contenedor de Aceite San Leandro 3,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,San Leandro,Número,3,8,Fuencarral - El Pardo,434308,4485433
Contenedor de Aceite Monforte de Lemos 105,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Monforte de Lemos,Número,105,8,Fuencarral - El Pardo,440117,4481144
Contenedor de Aceite San Restituto 22,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,San Restituto,Número,22,9,Moncloa - Aravaca,439681,4479601
Contenedor de Aceite Las Águilas s/n s/n,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Las Águilas s/n,Número,s/n,10,Latina,435261,4470743
Contenedor de Aceite José de Cadalso 78,Contenedor de Aceite,Mercado “Las Águilas”,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,José de Cadalso,Número,78,10,Latina,434742,4469978
Contenedor de Aceite Vía Lusitana 32,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Vía Lusitana,Número,32,11,Carabanchel,438611,4470518
Contenedor de Aceite Camino de las Cruces 6,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Camino,Camino de las Cruces,Número,6,11,Carabanchel,435871,4469602
Contenedor de Aceite Julio Cortázar 1,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Plaza,Julio Cortázar,Número,1,11,Carabanchel,437964,4472112
Contenedor de Aceite Orcasur 60,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Orcasur,Número,60,12,Usera,440543,4468848
Contenedor de Aceite Guetaria 47,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Guetaria,Número,47,12,Usera,439239,4468988
Contenedor de Aceite Doctor Lozano 16,Contenedor de Aceite,Mercado Doña Carlota,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Doctor Lozano,Número,16,13,Puente de Vallecas,443878,4472724
Contenedor de Aceite Cooperativa Eléctrica 2,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Cooperativa Eléctrica,Número,2,13,Puente de Vallecas,443872,4469578
Contenedor de Aceite Ramón Pérez de Ayala 92,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Ramón Pérez de Ayala,Número,92,13,Puente de Vallecas,444824,4472358
Contenedor de Aceite Hacienda de Pavones 224,Contenedor de Aceite,Galería Municipal M2,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Hacienda de Pavones,Número,224,14,Moratalaz,445718,4472534
Contenedor de Aceite Arroyo de la Media Legua 4,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Arroyo de la Media Legua,Número,4,14,Moratalaz,444178,4473213
Contenedor de Aceite Vital Aza 47,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Vital Aza,Número,47,15,Ciudad Lineal,445620,4475951
Contenedor de Aceite Santa Genoveva 1,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Santa Genoveva,Número,1,15,Ciudad Lineal,445075,4475285
Contenedor de Aceite Gandhi 14,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Gandhi,Número,14,15,Ciudad Lineal,446186,4475026
Contenedor de Aceite Alcorisa 21,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Alcorisa,Número,21,16,Hortaleza,445642,4479257
Contenedor de Aceite Estación de Hortaleza ,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Carretera,Estación de Hortaleza,Número,,16,Hortaleza,444796,4481129
Contenedor de Aceite Ferroviarios 9,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Paseo,Ferroviarios,Número,9,17,Villaverde,439243,4466651
Contenedor de Aceite Benimamet 24,Contenedor de Aceite,Centro de Salud,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Benimamet,Número,24,17,Villaverde,441804,4466116
Contenedor de Aceite Enrique García Álvarez 7,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Enrique García Álvarez,Número,7,18,Villa de Vallecas,447884,4470190
Contenedor de Aceite Las Suertes 62,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Las Suertes,Número,62,18,Villa de Vallecas,449022,4468725
Contenedor de Aceite Pedernal 1,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Pedernal,Número,1,19,Vicálvaro,449230,4472955
Contenedor de Aceite San Cipriano 32,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,San Cipriano,Número,32,19,Vicálvaro,448569,4472777
Contenedor de Aceite Calahorra 17,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Calahorra,Número,17,19,Vicálvaro,447967,4473106
Contenedor de Aceite Guadalajara 33,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Guadalajara,Número,33,20,San Blas - Canillejas,447323,4474490
Contenedor de Aceite Castillo de Uclés 26,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Castillo de Uclés,Número,26,20,San Blas - Canillejas,446951,4475435
Contenedor de Aceite Ayerbe 9,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Ayerbe,Número,9,21,Barajas,450980,4480124
