NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
CA-Gandhi-14,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Gandhi,Numero,14,15,Ciudad Lineal,446186,4475026
CA-Alcorisa-21,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Alcorisa,Numero,21,16,Hortaleza,445642,4479257
CA-Estacion-de-Hortaleza,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Carretera,Estacion de Hortaleza,Numero,s/n,16,Hortaleza,444796,4481129
CA-Ferroviarios-9,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Paseo,Ferroviarios,Numero,9,17,Villaverde,439243,4466651
CA-Benimamet-24,Contenedor de Aceite,Centro de Salud,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Benimamet,Numero,24,17,Villaverde,441804,4466116
CA-Enrique-Garcia-Alvarez-7,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Enrique Garcia Alvarez,Numero,7,18,Villa de Vallecas,447884,4470190
CA-Las-Suertes-62,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Las Suertes,Numero,62,18,Villa de Vallecas,449022,4468725
CA-Pedernal-1,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Pedernal,Numero,1,19,Vicalvaro,449230,4472955
CA-San-Cipriano-32,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,San Cipriano,Numero,32,19,Vicalvaro,448569,4472777
CA-Calahorra-17,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Calahorra,Numero,17,19,Vicalvaro,447967,4473106
CA-Guadalajara-33,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Guadalajara,Numero,33,20,San Blas - Canillejas,447323,4474490
CA-Castillo-de-Ucles-26,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Castillo de Ucles,Numero,26,20,San Blas - Canillejas,446951,4475435
CA-Ayerbe-9,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Ayerbe,Numero,9,21,Barajas,450980,4480124
PLF-Distrito-de-Arganzuela,Punto Limpio Fijo,Via Publica,De lunes a sabados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los dias 24 y 31 de diciembre de 9 a 14 horas. Cerrado dias 25 de diciembre y 1 y 6 de enero.,Aceite vegetal de cocina (produccion domestica)\nRopa y calzado usado (produccion domestica)\nCapsulas de cafe (produccion domestica)\nRadiografias (50 unidades)\nAerosoles (10 unidades)\nPilas alcalinas/salinas y baterias usadas (produccion domestica)\nCartuchos de tinta y toner (4 unidades)\nBombillas de bajo consumo y tubos fluorescentes (3 unidades)\nCD´s/DVD´s/casetes... y sus embalajes (50 unidades)\nCintas de video (50 unidades)\nPequeños aparatos elecrtricos y electronicos (RAEE´s): ebooks/MP3/MP4/MP5/Ipods/tablets/mandos de television/USB´s y telefonos moviles/lectores de DVDs y CDs… (produccion domestica)\nEnvases  (produccion domestica)\nEnvases contaminados (produccion domestica)\nBaterias de automovil (2 unidades)\nPintura y disolventes (5 Kg)\nAceite mineral o sintetico de motor (10 Litros)\nJeringuillas y agujas hipodermicas de origen domestico: 50 unidades\nNeumaticos de bicicleta: 3 unidades\nTapones de plastico de recipientes domesticos.\nMetales (produccion domestica)\nVidrio  (produccion domestica)\nPapel y carton (produccion domestica)\nCristal plano de ventanas/cuadros/vitroceramicas o espejos\nFrigorificos y aires acondicionados (1 unidad)\nLavavajillas/cocinas/lavadoras/tv/etc (6 unidades)\nMaderas (hasta 150 Kg)\nMuebles/estanterias/somieres/colchones  y enseres… (5 unidades)\nEscombros de pequeñas obras domesticas (120 Kg/4 sacos pequeños)\nRestos de poda (produccion domestica)\nTermometros (2 unidades)\nMedicamentos y sus envases (1 Kg)\nPequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas/helio...): 1 unidad\nPorexpan  de grandes embalajes domesticos.,Calle,Estrella Denebola,Numero,5,2,Arganzuela,442110,4471943
